shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,cost,time,status,seed
6144,6144,0.1,100,16,1,4,10,10,0.9,1048576,1024,1536,1500,200,85,1000,-249.4227080780924,0.1,SUCCESS,1
8192,30720,0.1,300,8,8,4,4,10,0.9,524288,1536,6656,100,500,95,6000,-0.0,0.1,SUCCESS,1
2048,14336,0.5,1,32,8,8,4,10,0.9,1572864,1024,512,100,150,85,500,-259.92808034186703,0.1,SUCCESS,1
2048,14336,2.0,1,32,8,8,4,10,0.9,1572864,2560,512,100,150,85,1000,-303.0883371110017,0.1,SUCCESS,1
768,12288,2.0,200,24,4,8,4,10,0.9,3145728,10752,15872,2000,500,100,1000,-89.2213421977601,0.1,SUCCESS,1
1792,14336,2.0,1,32,8,8,4,10,0.9,3145728,2560,512,100,150,85,500,-215.49600303526637,0.1,SUCCESS,1
3072,17408,1.1,100,16,8,4,4,5,0.9,524288,1536,2560,100,500,85,6000,-274.910160699708,0.1,SUCCESS,1
1536,27648,2.0,1,32,2,4,10,5,0.9,8388608,7680,14848,1000,150,100,8000,-250.5427469139493,0.1,SUCCESS,1
2048,13312,2.0,1,32,8,8,10,10,0.9,2016383,2560,2560,500,150,85,500,-224.82527350545925,0.1,SUCCESS,1
2048,14336,2.0,1,32,8,8,10,10,0.9,2016383,2560,512,100,150,85,500,-153.4515126926516,0.1,SUCCESS,1
5632,17408,5.5,400,20,4,4,10,10,0.9,524288,512,6656,50,500,95,6000,-248.9166341042223,0.1,SUCCESS,1
2048,14336,2.0,1,64,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-184.86643744399245,0.1,SUCCESS,1
6656,15360,0.5,300,20,4,8,10,10,0.9,524288,2560,2560,50,150,100,3000,-107.8732484230633,0.1,SUCCESS,1
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,1000,150,85,500,-259.25140212091884,0.1,SUCCESS,1
6144,14336,1.0,200,20,8,4,4,10,0.9,2016383,1024,1536,100,200,85,500,-272.483228527655,0.1,SUCCESS,1
7680,13312,1.1,100,4,2,8,10,5,0.9,524288,512,1536,100,500,75,1000,-191.21665846187852,0.1,SUCCESS,1
6656,17408,0.1,400,8,8,8,4,10,0.9,524288,1536,2560,50,500,100,1000,-108.5607275665998,0.1,SUCCESS,1
2560,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-309.3132092729604,0.1,SUCCESS,1
7680,35840,2.5,300,4,2,8,4,10,0.9,4194304,4608,7680,100,300,85,1000,-257.5046981092171,0.1,SUCCESS,1
5120,35840,0.1,300,4,16,4,4,10,0.9,524288,1536,1536,1000,500,95,6000,-248.943400517282,0.1,SUCCESS,1
2048,13312,2.0,1,24,8,8,4,10,0.9,2016383,2560,2560,100,150,85,500,-165.81977385222876,0.1,SUCCESS,1
7680,17408,2.5,200,8,16,8,10,10,0.9,6291456,512,512,50,300,115,1000,-355.9946596631721,0.1,SUCCESS,1
4608,14336,8.0,1,4,16,8,4,5,0.9,6291456,1536,9728,50,200,125,500,-331.8049243949299,0.1,SUCCESS,1
2560,11264,4.5,300,8,8,4,4,5,0.9,524288,15872,6656,50,250,85,8000,-306.79206920754007,0.1,SUCCESS,1
6144,14336,0.1,200,16,1,4,4,5,0.9,2016383,1024,1536,100,300,115,1000,-197.89527517112887,0.1,SUCCESS,1
7680,6144,4.0,400,24,1,8,10,10,0.9,524288,2560,2560,50,300,95,6000,-250.7149845246176,0.1,SUCCESS,1
2048,15360,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-328.51769272587114,0.1,SUCCESS,1
2048,21504,2.0,200,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-384.8583157158025,0.1,SUCCESS,1
2048,21504,2.0,200,32,8,8,4,10,0.9,2016383,1536,512,100,150,85,500,-300.0863532349732,0.1,SUCCESS,1
7680,17408,2.5,200,16,16,8,10,10,0.9,6291456,512,512,50,300,115,1000,-174.20820757271863,0.1,SUCCESS,1
2048,23552,2.0,200,32,2,8,4,10,0.9,2016383,2560,512,100,150,85,500,-314.3644227909003,0.1,SUCCESS,1
1024,6990,5.5,100,64,1,4,4,5,0.9,524288,3584,9728,2000,300,85,8000,-191.84855460498488,0.1,SUCCESS,1
7680,19456,8.0,300,4,16,4,4,10,0.9,2016383,4608,6656,1000,200,95,1000,-356.3611216949796,0.1,SUCCESS,1
4608,6990,8.0,300,4,16,8,4,5,0.9,2016383,512,4608,500,250,115,500,-231.37159262621452,0.1,SUCCESS,1
7168,17408,7.0,300,4,16,8,10,10,0.9,524288,1536,10752,1500,150,75,1000,-394.2167349586081,0.1,SUCCESS,1
768,17408,6.5,200,4,16,4,4,10,0.9,2016383,1536,10752,1000,150,75,1000,-176.06333152288548,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-413.04024504566905,0.1,SUCCESS,1
4608,46080,7.5,300,8,16,4,10,10,0.9,524288,2560,1536,1500,250,75,500,-284.4582812893203,0.1,SUCCESS,1
7168,21504,7.5,400,16,16,8,4,5,0.9,1572864,1024,5632,2000,150,85,6000,-134.69227288088248,0.1,SUCCESS,1
5632,5120,7.5,200,8,8,4,4,10,0.9,1048576,1536,3584,100,300,85,6000,-282.10983616926467,0.1,SUCCESS,1
7680,25600,7.0,400,24,8,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-304.50311925038534,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-403.5098562899647,0.1,SUCCESS,1
7680,29696,8.0,100,24,16,8,10,10,0.9,1048576,7680,10752,1500,250,75,500,-300.4162719784818,0.1,SUCCESS,1
6144,25600,7.0,400,4,16,4,4,10,0.9,524288,1024,9728,1500,150,85,1000,-156.98507115145577,0.1,SUCCESS,1
7680,19456,7.0,400,4,16,8,10,10,0.9,524288,4608,6656,1000,150,95,500,-216.59403049420308,0.1,SUCCESS,1
7168,17408,7.0,300,4,16,8,10,10,0.9,524288,1536,8704,1500,150,100,1000,-242.25496001137748,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,2000,150,75,1000,-168.98484745371684,0.1,SUCCESS,1
6656,17408,7.0,300,4,16,8,10,10,0.9,524288,1536,10752,1500,150,75,1000,-169.18156385813197,0.1,SUCCESS,1
7168,17408,7.5,400,16,16,8,10,10,0.9,1048576,1536,10752,100,150,75,1000,-243.58332117527783,0.1,SUCCESS,1
7168,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,6656,1500,150,95,1000,-180.29125212285945,0.1,SUCCESS,1
7680,25600,7.5,100,24,8,4,4,5,0.9,524288,6656,10752,1500,200,85,3000,-84.40766884131864,0.1,SUCCESS,1
7680,25600,7.5,400,24,8,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-222.28622736304013,0.1,SUCCESS,1
7680,25600,6.0,400,24,16,8,10,5,0.9,524288,6656,8192,1500,150,75,1000,-157.41444267697943,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,3000,-155.9298933174449,0.1,SUCCESS,1
7680,25600,7.0,200,24,16,8,4,10,0.9,524288,6656,8192,1500,150,75,1000,-130.94008200702265,0.1,SUCCESS,1
7680,21504,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-146.79790353329344,0.1,SUCCESS,1
7168,14336,7.0,300,4,16,8,10,10,0.9,524288,1536,10752,1500,150,75,1000,-215.7204555485229,0.1,SUCCESS,1
7168,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-141.2729793752981,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,3000,-169.18801444347946,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-327.5299294025614,0.1,SUCCESS,1
768,9216,6.0,400,64,2,8,4,10,0.9,1048576,1536,11776,2000,250,75,8000,-103.81030715317996,0.1,SUCCESS,1
2560,51200,7.5,1,24,1,8,4,10,0.9,1572864,13824,12800,1500,200,75,6000,-185.30789557643968,0.1,SUCCESS,1
7680,27648,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-269.36123799072874,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1572864,6656,8192,1500,150,75,1000,-226.1648231152403,0.1,SUCCESS,1
1280,17408,8.0,100,16,4,4,4,10,0.9,3145728,9728,11776,1500,300,100,1000,-109.68549976331713,0.1,SUCCESS,1
1024,7168,1.0,300,4,2,8,4,10,0.9,524288,1024,6656,1500,150,125,3000,-121.81831340730878,0.1,SUCCESS,1
2560,46080,1.1,100,32,16,8,4,5,0.9,4194304,6656,3584,50,150,95,8000,-232.6771970452084,0.1,SUCCESS,1
7680,19456,0.5,200,4,8,4,4,5,0.9,3145728,6656,8192,1000,150,95,1000,-137.0931852886874,0.1,SUCCESS,1
7680,25600,7.0,400,20,16,8,10,10,0.9,524288,6656,9728,1500,150,75,1000,-176.19824879223893,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,4,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-211.82465454329085,0.1,SUCCESS,1
5632,21504,0.1,100,8,16,4,10,5,0.9,4194304,512,10752,50,300,125,1000,-263.64723722719253,0.1,SUCCESS,1
7680,25600,7.5,400,32,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-120.5483258892733,0.1,SUCCESS,1
3072,51200,5.5,1,32,2,8,4,10,0.9,2016383,3584,8192,2000,500,125,1000,-183.2512570564737,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-155.6699050696379,0.1,SUCCESS,1
3584,15360,2.5,200,24,1,8,4,5,0.9,4194304,2560,512,100,150,75,500,-119.2798621212266,0.1,SUCCESS,1
7680,27648,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-203.5725365101374,0.1,SUCCESS,1
6656,35840,5.0,1,24,8,8,4,5,0.9,3145728,512,1536,2000,300,100,8000,-168.49832716517125,0.1,SUCCESS,1
1792,29696,2.0,1,16,16,8,10,5,0.9,2016383,12800,12800,500,250,75,500,-127.09489363534264,0.1,SUCCESS,1
640,27648,0.5,300,32,1,4,10,10,0.9,1048576,5632,14848,100,150,115,1000,-84.03491627167111,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,4608,8192,1500,150,75,1000,-162.05496355599942,0.1,SUCCESS,1
7680,40960,2.0,100,8,1,4,4,10,0.9,6291456,1024,9728,50,200,85,1000,-171.90665409971723,0.1,SUCCESS,1
2048,21504,3.0,200,20,16,4,10,10,0.9,2016383,3584,10752,50,500,85,1000,-135.7166491526593,0.1,SUCCESS,1
6656,7168,6.0,400,4,8,4,4,10,0.9,6291456,14848,4608,1000,200,115,500,-111.33783122057646,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,7680,8192,1500,150,75,1000,-274.36817183839827,0.1,SUCCESS,1
5632,6990,2.5,100,4,8,4,4,5,0.9,1048576,1024,8192,100,150,95,500,-107.06322271835786,0.1,SUCCESS,1
7680,25600,7.0,300,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-190.534872730644,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,85,1000,-156.52653518933377,0.1,SUCCESS,1
3072,17408,0.1,100,20,4,8,4,10,0.9,1572864,13824,512,100,300,125,8000,-98.42990891181395,0.1,SUCCESS,1
5120,6990,4.5,400,24,2,8,4,5,0.9,3145728,5632,10752,500,500,85,500,-124.94342439455563,0.1,SUCCESS,1
3072,21504,5.5,1,20,8,8,10,5,0.9,3145728,15872,8704,100,300,115,6000,-188.46829774360825,0.1,SUCCESS,1
7680,15360,0.1,200,4,1,8,4,10,0.9,2016383,4608,8704,100,500,115,6000,-192.1564656582761,0.1,SUCCESS,1
7680,25600,6.5,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-137.0114945213146,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1000,150,75,1000,-217.429431074674,0.1,SUCCESS,1
2048,21504,2.0,200,32,8,8,4,10,0.9,2016383,2560,512,1500,150,85,500,-183.6040502085249,0.1,SUCCESS,1
2048,14336,2.0,1,32,8,8,4,5,0.9,2016383,2560,512,100,150,85,500,-61.469950866760925,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,6656,1500,150,75,1000,-145.47330534984584,0.1,SUCCESS,1
7680,19456,8.0,300,32,8,8,10,10,0.9,1048576,7680,1536,50,500,85,6000,-196.70999482193724,0.1,SUCCESS,1
2048,14336,2.5,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-159.94847448950958,0.1,SUCCESS,1
2560,8192,8.0,1,4,1,4,10,5,0.9,1572864,4608,3584,1500,500,85,500,-166.49157211360549,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-110.59989363257996,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,200,75,1000,-265.559897532178,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,5632,8192,1500,150,75,1000,-138.03831780103175,0.1,SUCCESS,1
7168,51200,2.5,300,4,16,8,10,5,0.9,6291456,3584,6656,50,250,95,500,-180.82996087593105,0.1,SUCCESS,1
2048,21504,2.0,1,32,8,8,4,10,0.9,2016383,2560,2560,100,150,85,500,-231.494304627105,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,500,-159.22130992292207,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,5,0.9,1048576,6656,8192,1500,150,75,1000,-134.71546948317737,0.1,SUCCESS,1
7680,17408,2.5,200,32,16,8,10,10,0.9,6291456,512,512,50,300,115,500,-201.86486301887768,0.1,SUCCESS,1
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8704,1500,150,75,1000,-185.5114832876379,0.1,SUCCESS,1
2048,21504,2.0,200,20,8,8,4,5,0.9,2016383,2560,512,100,150,85,500,-133.0831887948582,0.1,SUCCESS,1
6144,13312,0.5,100,8,8,8,10,10,0.9,2016383,1536,512,100,200,115,3000,-178.08823578252216,0.1,SUCCESS,1
7680,25600,7.0,400,20,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-177.2445368998109,0.1,SUCCESS,1
7680,25600,8.0,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-143.67896033314594,0.1,SUCCESS,1
7680,23552,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-149.95852532655675,0.1,SUCCESS,1
7168,15360,8.0,100,8,4,8,10,10,0.9,1048576,1536,3584,100,250,85,500,-225.69643204356456,0.1,SUCCESS,1
2048,25600,2.0,200,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-165.65322160437668,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,7680,1500,150,75,1000,-138.9416627816262,0.1,SUCCESS,1
7680,25600,7.5,300,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-216.50985393379216,0.1,SUCCESS,1
7168,17408,7.0,300,4,2,8,10,10,0.9,524288,1536,10752,1500,200,75,1000,-239.07655274828312,0.1,SUCCESS,1
5120,6144,0.5,300,8,2,4,10,10,0.9,1048576,512,10752,1000,250,115,500,-131.1081223046616,0.1,SUCCESS,1
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,75,500,-193.43326330404423,0.1,SUCCESS,1
2048,14336,2.0,200,32,8,8,4,10,0.9,1048576,2560,512,100,150,85,500,-199.87199242130592,0.1,SUCCESS,1
6656,17408,2.5,200,8,16,8,10,10,0.9,6291456,512,512,100,150,125,6000,-100.9532727593506,0.1,SUCCESS,1
4096,6990,8.0,200,4,2,4,4,10,0.9,1572864,2560,3584,500,500,95,500,-175.2813195111966,0.1,SUCCESS,1
5120,14336,3.0,400,4,2,4,4,5,0.9,4194304,3584,13824,1000,150,85,3000,-239.43769058373425,0.1,SUCCESS,1
2048,14336,2.0,1,32,16,8,4,10,0.9,2016383,2560,512,100,150,85,500,-206.14313042527576,0.1,SUCCESS,1
6656,17408,2.5,200,8,16,8,10,10,0.9,6291456,512,512,50,300,85,1000,-105.11163821522362,0.1,SUCCESS,1
2048,14336,1.5,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-171.57412441265186,0.1,SUCCESS,1
7168,17408,7.5,300,4,16,8,10,10,0.9,524288,1536,9728,1500,150,75,1000,-236.28328945355747,0.1,SUCCESS,1
1280,9216,1.1,300,16,4,4,10,5,0.9,1572864,13824,6656,50,300,100,3000,-114.05327152729522,0.1,SUCCESS,1
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,1536,512,100,150,85,500,-90.0966471235026,0.1,SUCCESS,1
7680,7168,8.0,300,4,16,4,10,10,0.9,3145728,1536,10752,1500,150,85,6000,-234.30779064143667,0.1,SUCCESS,1
7680,17408,8.0,200,16,16,8,4,5,0.9,1048576,1536,7680,1000,500,75,500,-226.57499152647296,0.1,SUCCESS,1
4096,30720,0.1,100,32,2,4,4,5,0.9,2016383,3584,7680,500,200,95,1000,-137.5640861961938,0.1,SUCCESS,1
7680,5120,1.0,300,64,2,8,4,5,0.9,8388608,1536,9728,1500,250,115,500,-146.69554768991162,0.1,SUCCESS,1
7168,17408,8.0,300,4,16,8,4,10,0.9,3145728,2560,10752,1500,150,75,1000,-186.65900005515587,0.1,SUCCESS,1
7680,19456,7.5,300,4,16,4,4,10,0.9,2016383,5632,6656,1000,200,95,1000,-301.750699536694,0.1,SUCCESS,1
7680,8192,0.5,1,8,16,4,4,5,0.9,3145728,4608,2560,1000,500,95,1000,-49.632304543836334,0.1,SUCCESS,1
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8704,1500,150,75,1000,-198.2915592640265,0.1,SUCCESS,1
2048,21504,2.0,400,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-189.5858524972023,0.1,SUCCESS,1
5120,14336,0.1,300,4,1,8,10,5,0.9,1048576,512,512,50,250,85,500,-133.03171653021386,0.1,SUCCESS,1
