block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-79858.0,982472.0
4096,true,280000,snappy,2,4,4,64,2,4,2097152,-10648.0,1967050.0
32,true,400000,snappy,64,0,128,256,3,9,33554432,-2621.0,2965742.0
128,false,280000,snappy,256,128,512,256,5,3,1073741824,-84307.0,3953972.0
512,false,0,lz4,16,4,32,16,4,5,33554432,-65166.0,4936783.0
512,true,200000,zstd,32,4,1,16,8,0,2048,-958.0,5981109.0
8192,false,400000,snappy,16,64,64,64,2,2,268435456,-85739.0,6962832.0
16,false,200000,zstd,16,32,64,8,3,6,128,-2929.0,8010081.0
16384,false,360000,zstd,32,64,2,16,4,1,8388608,-29337.0,8993813.0
1,true,400000,lz4,256,128,8,128,9,8,4194304,-3598.0,9997312.0
8,false,80000,snappy,8,64,32,1,6,1,16,-2409.0,11009246.0
16384,false,360000,lz4,32,256,256,16,3,6,1024,-31411.0,11998376.0
128,false,200000,snappy,32,32,1,256,9,12,536870912,-80287.0,12982656.0
1,false,40000,snappy,128,1,4,1,5,13,67108864,-73505.0,13968543.0
32,false,120000,snappy,32,32,1,8,2,9,1073741824,-84098.0,14973615.0
32,false,320000,snappy,8,128,128,8,8,1,67108864,-73627.0,15960039.0
1,false,160000,lz4,8,16,8,32,2,1,268435456,-79709,16946170.0
1,false,280000,zstd,1,1024,256,2,0,4,536870912,-75013,17965397.0
16,false,80000,lz4,256,128,32,256,3,9,268435456,-80422,18950429.0
1024,false,0,lz4,16,256,512,32,10,5,1073741824,-87125,19933967.0
4096,true,120000,zstd,1,32,4,4,5,7,8388608,-19264,20916745.0
8192,false,80000,zstd,8,64,64,64,7,15,1073741824,-81378,21899730.0
256,true,40000,lz4,16,8,1024,128,10,7,1073741824,-12211,22884855.0
131072,false,280000,lz4,128,512,1024,128,10,8,268435456,-65277,23866854.0
262144,false,40000,snappy,32,256,64,32,10,6,1073741824,-62814,24849827.0
8192,false,0,snappy,2,1024,128,256,2,5,536870912,-87727,25832260.0
256,false,0,lz4,16,256,1024,128,8,2,536870912,-85151,26817712.0
8192,false,80000,snappy,32,4,64,8,1,0,1073741824,-86638,27798918.0
