block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-120439.0,983877.0
16,false,360000,zstd,2,0,128,256,9,10,2048,-5389.0,2006667.0
4,true,40000,lz4,256,4,1,128,9,6,32768,-414.0,3043215.0
32,true,400000,snappy,1,2,16,256,4,7,16,-260.0,4245347.0
1024,false,120000,lz4,2,64,512,8,3,8,4096,-64319.0,5242369.0
128,true,160000,lz4,16,128,2,1,9,5,1073741824,-562.0,6350967.0
2048,true,0,zstd,4,64,1024,16,4,3,33554432,-3747.0,7361415.0
65536,false,400000,zstd,16,256,1024,2,3,8,16,-5241.0,8373211.0
8,true,240000,zstd,1,2,1024,8,4,0,33554432,-3331.0,9486450.0
1,true,280000,lz4,128,1,64,256,9,8,134217728,-562.0,10594980.0
1024,false,160000,snappy,64,4,64,8,6,0,128,-33297.0,11593731.0
32768,true,0,zstd,16,1,1,64,6,6,32768,-8575.0,12599576.0
262144,false,200000,snappy,1,128,128,1,4,9,8,-3653.0,13609116.0
128,true,240000,zstd,4,0,16,16,0,9,524288,-168.0,14841862.0
1024,false,320000,zstd,1,512,2,4,3,10,67108864,-119341.0,15830126.0
1,false,400000,snappy,4,512,16,1,2,11,134217728,-119854,16828023.0
8,false,160000,zstd,32,512,4,1,2,11,134217728,-79993,17835316.0
4,true,120000,snappy,2,2,4,1,2,10,1048576,-284,18942776.0
1,false,80000,zstd,32,128,16,1,1,10,134217728,-82877,19948681.0
4,false,400000,snappy,1,1024,16,1,6,10,8388608,-60784,20941503.0
65536,false,120000,snappy,8,256,16,2,2,10,33554432,-20053,21941831.0
512,false,80000,snappy,2,1,32,1,1,13,268435456,-154623,22938342.0
1,false,80000,snappy,2,0,8,1,10,14,67108864,-126833,23935623.0
1,false,360000,snappy,1,0,256,16,1,13,536870912,-165590,24933982.0
2048,false,280000,lz4,4,512,128,2,1,13,268435456,-108182,25930297.0
1,false,200000,snappy,8,128,256,1,1,10,268435456,-112311,26925659.0
4,false,80000,lz4,1,4,256,64,1,13,1073741824,-178103,27921375.0
65536,false,400000,lz4,1,1,512,8,6,15,268435456,-81678,28913862.0
1,false,80000,zstd,128,16,16,16,1,6,1073741824,-96416,29919219.0
64,false,120000,zstd,1,1,64,16,10,14,1073741824,-161587,30925762.0
1024,false,160000,zstd,8,16,2,256,6,8,1,-12472,31947653.0
512,false,200000,zstd,1,1,1024,16,4,12,536870912,-162401,32942239.0
4,false,200000,lz4,1,4,512,128,8,13,536870912,-175766,33934918.0
1,false,320000,lz4,128,2,256,4,10,12,536870912,-103373,34928995.0
64,false,120000,lz4,1,4,16,16,4,10,536870912,-175394,35924649.0
8,false,200000,lz4,1,2,256,16,9,1,1073741824,-184878,36917613.0
512,false,280000,lz4,128,2,16,16,1,8,65536,-21394,37919544.0
1,false,240000,lz4,1,2,32,64,6,7,536870912,-174946,38913533.0
8192,false,160000,lz4,1,2,4,32,9,3,536870912,-155569,39906019.0
64,false,400000,lz4,1,2,16,32,0,1,1073741824,-184432,40899893.0
8,false,200000,zstd,1,8,256,16,9,1,1073741824,-167100,41905327.0
4,false,360000,zstd,128,256,256,256,6,2,1,-5364,42931516.0
8,false,400000,lz4,1,2,512,256,3,0,1073741824,-186761,43925673.0
64,true,400000,lz4,1,1,32,64,1,13,1073741824,-1663,45049319.0
128,false,400000,lz4,1,2,1024,256,3,1,536870912,-175489,46042261.0
64,false,160000,lz4,2,2,128,32,3,0,1073741824,-176510,47036946.0
32,false,280000,lz4,2,256,128,16,9,0,1073741824,-173171,48034174.0
32768,false,0,snappy,1,32,2,32,10,9,536870912,-110538,49028989.0
1,false,40000,lz4,1,2,32,128,0,0,1073741824,-176888,50026815.0
16,false,400000,lz4,1,0,8,16,7,0,1073741824,-177961,51027031.0
8,false,200000,lz4,8,2,256,16,9,1,1073741824,-98471,52027100.0
8,false,360000,lz4,2,2,512,256,3,0,1073741824,-176601,53023950.0
8,false,400000,lz4,1,4,32,8,9,1,1073741824,-175819,54019833.0
8,false,200000,lz4,1,2,256,16,10,1,1073741824,-177374,55015498.0
512,false,400000,lz4,1,2,8,32,1,0,1073741824,-182524,56012504.0
64,false,400000,lz4,1,2,8,32,3,12,1073741824,-177074,57008871.0
8,false,400000,lz4,1,2,512,8,5,0,1073741824,-177830,58004933.0
1024,false,400000,lz4,1,2,16,32,1,0,1073741824,-179626,58998857.0
1024,false,320000,lz4,1,16,512,16,6,1,1073741824,-174919,60000643.0
8,false,400000,snappy,1,2,512,256,3,0,1073741824,-172358,60999007.0
8,false,280000,lz4,1,2,256,32,10,7,1073741824,-171987,61996052.0
64,false,0,lz4,2,2,128,8,9,1,1073741824,-159148,62999877.0
4,true,280000,lz4,16,32,2,2,1,10,32768,-302,64064884.0
8,false,200000,lz4,1,1,16,16,9,2,536870912,-152725,65069735.0
256,false,400000,lz4,1,2,8,128,2,12,1073741824,-161042,66074698.0
8,false,400000,lz4,1,64,8,256,1,5,1073741824,-157064,67083483.0
16,false,400000,lz4,1,1,32,256,2,0,1073741824,-156451,68091671.0
65536,false,320000,lz4,1,2,16,256,7,0,1073741824,-76855,69100998.0
128,false,360000,snappy,1,4,128,64,1,12,536870912,-152544,70108028.0
131072,true,40000,lz4,2,1024,1024,4,9,8,65536,-9780,71125562.0
512,false,400000,lz4,1,2,2,32,1,0,134217728,-146673,72132188.0
32,false,360000,lz4,1,2,32,32,1,15,536870912,-149813,73143975.0
2048,false,400000,lz4,1,2,8,256,1,0,1073741824,-152251,74150359.0
16,true,280000,lz4,64,32,512,256,1,4,33554432,-483,75246626.0
4,false,80000,zstd,1,4,64,256,0,13,268435456,-127701,76292488.0
64,false,240000,snappy,1,2,8,16,7,0,1073741824,-160964,77298065.0
64,false,400000,lz4,4,2,4,32,0,0,1073741824,-88396,78302400.0
1,false,400000,zstd,2,1,1024,8,9,6,1073741824,-145320,79318472.0
256,false,0,zstd,32,128,4,128,7,1,2097152,-12076,80328788.0
64,false,400000,zstd,2,2,16,8,0,1,16777216,-49365,81342989.0
8,false,200000,lz4,1,2,16,4,0,1,1073741824,-162552,82350135.0
64,false,400000,lz4,2,0,8,32,0,1,1073741824,-161508,83353444.0
512,false,400000,lz4,1,2,2,32,1,0,1073741824,-168373,84356573.0
8,false,240000,lz4,1,2,512,256,3,0,1073741824,-159886,85362153.0
8,false,400000,zstd,1,16,8,256,9,0,1073741824,-146605,86378761.0
1024,false,400000,lz4,1,64,512,8,1,1,536870912,-159218,87383231.0
8,false,400000,lz4,2,2,512,16,4,13,1073741824,-158037,88388877.0
