block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-80852,982843
2048,false,160000,lz4,128,9,1,-82182,1964253
128,true,120000,lz4,8,1,7,-3645,2972413
2048,true,40000,lz4,128,0,1,-25280,3956017
128,false,320000,zstd,256,6,10,-67101,4954552
16384,false,320000,lz4,16,7,6,-75395,5937128
524288,true,240000,lz4,256,5,2,-32606,6921414
4096,true,40000,snappy,64,5,4,-29409,7903891
4,false,240000,zstd,8,1,12,-67238,8903168
2048,false,40000,snappy,16,8,9,-82244,9887513
2048,false,120000,lz4,1,1,15,-81474,10871895
2048,false,40000,snappy,1,1,6,-82290,11856644
256,true,80000,snappy,4,2,11,-4420,12856755
256,true,400000,snappy,1,6,1,-4469,13855409
1,false,40000,snappy,16,2,8,-73398,14840343
16,false,240000,snappy,16,7,1,-74828,15825692
8,true,360000,snappy,4,7,5,-2831,16834704
4096,false,400000,snappy,8,8,5,-81491,17819044
2048,false,400000,snappy,16,1,6,-81145,18804317
2048,false,280000,zstd,1,8,8,-68002,19790810
2048,false,200000,snappy,32,6,7,-81443,20775237
256,false,280000,lz4,4,7,3,-76996,21758711
1024,false,0,lz4,1,8,4,-80912,22742695
2048,false,400000,lz4,1,8,10,-81387,23726214
2048,false,40000,snappy,256,8,14,-81050,24711394
4096,false,280000,snappy,32,8,1,-80403,25695284
2048,false,400000,lz4,128,9,7,-80996,26679848
2048,false,80000,snappy,1,0,9,-81416,27664372
512,false,160000,lz4,2,9,10,-79475,28651184
4096,false,40000,snappy,128,8,9,-80901,29636177
256,false,360000,snappy,16,8,1,-77706,30622109
1024,false,40000,lz4,8,1,7,-82079,31605900
2048,false,40000,lz4,2,0,3,-81811,32590718
1024,false,40000,zstd,32,1,1,-71562,33577820
2048,false,40000,lz4,1,8,2,-81879,34560844
2048,false,320000,snappy,8,10,12,-81350,35544820
2048,false,280000,lz4,8,8,5,-81901,36528109
2048,false,40000,snappy,4,8,5,-82912,37512238
1024,false,280000,lz4,256,1,2,-81260,38495592
2048,false,400000,lz4,2,8,6,-81250,39480431
2048,false,40000,lz4,16,1,9,-81187,40464687
2048,false,40000,snappy,1,8,5,-81867,41448828
4,true,400000,zstd,32,9,1,-1995,42488602
1,false,120000,lz4,2,8,6,-72118,43475107
2048,false,40000,snappy,64,1,1,-81933,44459240
2048,false,120000,lz4,4,1,0,-82004,45443020
256,false,400000,lz4,4,1,1,-77481,46427896
4096,false,120000,snappy,64,7,10,-81389,47410960
524288,false,120000,snappy,4,2,5,-30014,48397474
262144,false,80000,lz4,2,4,7,-43096,49380805
2048,false,40000,snappy,4,2,5,-82554,50364512
262144,true,160000,snappy,128,3,4,-39330,51347455
32768,false,40000,snappy,8,2,3,-68587,52330822
256,false,320000,snappy,16,9,10,-78573,53314947
256,false,0,snappy,1,1,5,-74868,54298406
65536,false,40000,lz4,4,8,11,-62072,55281784
1024,false,40000,snappy,4,2,5,-83147,56263850
128,false,40000,snappy,64,9,14,-74413,57250493
2048,false,80000,snappy,4,4,5,-83096,58234375
256,false,80000,snappy,32,1,0,-79386,59219266
64,true,120000,zstd,4,6,6,-1995,60255447
2048,false,40000,lz4,4,2,5,-82941,61237969
32,false,280000,zstd,256,8,5,-67503,62238886
1024,false,40000,snappy,2,2,6,-82711,63221444
131072,false,80000,snappy,1,0,5,-50461,64204564
1024,false,80000,snappy,4,2,5,-83700,65186744
8192,false,80000,snappy,4,4,5,-80766,66169603
1024,false,80000,snappy,4,2,7,-84001,67152238
4096,true,40000,snappy,64,6,1,-29661,68134598
1024,false,80000,snappy,4,0,6,-83097,69118105
32768,false,280000,snappy,128,4,9,-68940,70100950
65536,false,80000,snappy,4,5,5,-59291,71084651
32768,false,80000,snappy,1,2,7,-68872,72067158
512,false,120000,snappy,4,2,7,-81453,73050378
1024,false,120000,snappy,4,2,7,-83162,74033918
8192,false,40000,lz4,2,3,6,-79923,75016192
256,false,400000,snappy,64,8,0,-79601,75999456
64,false,400000,snappy,256,6,5,-73533,76983813
1024,false,80000,snappy,2,2,2,-83108,77966479
1024,false,80000,snappy,128,2,3,-82826,78949939
1024,false,240000,snappy,2,2,7,-82945,79934637
1024,false,80000,snappy,4,4,5,-83128,80917815
1024,false,80000,lz4,4,2,7,-81951,81902277
2048,false,240000,snappy,1,2,5,-81434,82886064
4,false,120000,snappy,32,0,0,-74251,83871086
1024,false,160000,snappy,4,2,5,-82797,84856396
32,true,360000,zstd,64,3,9,-2603,85892630
2048,true,200000,lz4,16,1,2,-25267,86876696
1024,false,120000,snappy,4,2,5,-82227,87860006
1024,false,80000,snappy,8,2,7,-82465,88843744
32768,false,400000,zstd,1,1,7,-49782,89829695
1024,false,80000,snappy,2,4,2,-82424,90813515
1024,false,80000,snappy,1,0,5,-82339,91797700
4096,false,120000,snappy,1,2,4,-80980,92782237
4096,false,240000,snappy,2,0,7,-81706,93767645
2048,false,80000,snappy,1,4,5,-80075,94753685
1024,false,40000,snappy,4,2,15,-80304,95739091
32768,false,200000,snappy,4,3,1,-67374,96725028
1024,false,120000,snappy,2,2,2,-80596,97711418
131072,false,320000,lz4,8,8,6,-53747,98696988
