block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-104933,1003749
64,true,360000,snappy,8,128,32,2,3,4,16777216,-336,2242811
4096,false,40000,zstd,64,1,2,32,1,5,1,-19036,3264897
1024,true,360000,snappy,2,2,8,1,2,6,64,-1405,4311359
4096,true,360000,snappy,1,0,8,4,8,1,536870912,-8974,5314295
64,true,160000,snappy,1,1024,4,128,0,8,1024,-221,6723438
512,false,240000,zstd,256,8,8,16,3,9,536870912,-91672,7726825
2048,false,360000,zstd,1,2,8,2,5,6,262144,-3833,8747564
8,false,240000,lz4,32,32,128,128,1,5,131072,-19720,9762926
524288,true,0,snappy,2,2,2,16,1,7,8,-2517,10787007
262144,false,0,zstd,128,256,64,4,0,9,524288,-1380,11859260
4096,false,200000,snappy,128,512,512,256,1,4,262144,-8041,12867891
1,false,0,snappy,256,4,2,32,4,10,67108864,-64658,13870104
16,true,280000,snappy,2,1024,64,8,7,2,2048,-222,15264251
1,false,320000,lz4,4,8,64,256,7,9,67108864,-107735,16266929
131072,false,0,snappy,128,2,16,64,1,9,67108864,-19174,17269219
32,false,160000,lz4,128,0,2,128,2,0,128,-14200,18282076
1,false,160000,snappy,2,1024,64,16,3,9,67108864,-122055,19284221
4,false,200000,lz4,2,256,128,4,7,9,134217728,-131045,20286620
256,false,80000,lz4,2,64,8,16,3,6,16,-45746,21296957
2048,true,240000,snappy,16,256,128,2,4,13,67108864,-3656,22312322
32768,false,40000,zstd,128,0,8,2,5,1,32768,-3551,23350819
16384,false,240000,zstd,2,512,64,1,4,10,32768,-5728,24371564
1,false,400000,snappy,4,128,64,32,2,9,8388608,-60539,25374562
1,false,160000,snappy,8,256,512,16,5,3,134217728,-94652,26376520
4,true,320000,zstd,8,1024,4,4,2,13,2097152,-1092,27503683
4,false,160000,snappy,2,128,64,8,2,10,33554432,-108049,28504863
16,false,160000,lz4,1,512,128,1,7,11,134217728,-134989,29509941
8,false,400000,zstd,2,512,32,32,7,13,67108864,-93898,30527201
32,false,120000,lz4,1,16,32,4,10,6,134217728,-136422,31529829
4,true,80000,lz4,1,16,1024,2,1,13,33554432,-609,32640254
32,false,200000,lz4,1,16,1024,4,9,0,134217728,-134725,33643379
64,false,80000,lz4,1,256,128,2,7,11,134217728,-134378,34647538
64,false,200000,snappy,1,8,512,2,10,11,268435456,-150193,35650028
16,false,240000,snappy,4,0,128,1,7,6,536870912,-92128,36651574
32768,false,120000,snappy,1,1,256,8,9,2,134217728,-93767,37652834
32,false,120000,snappy,1,8,8,4,10,6,268435456,-149152,38656633
4,false,200000,snappy,2,8,4,1,10,9,33554432,-107650,39656708
