block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-105178,1001468
4096,false,200000,lz4,128,512,16,2,6,10,64,-11528,2016232
16384,false,280000,lz4,256,128,32,1,9,8,268435456,-74263,3015361
32,false,280000,lz4,16,64,32,8,6,8,32768,-19836,4027355
8192,false,360000,snappy,1,4,8,64,4,7,64,-4503,5045412
1024,false,320000,lz4,16,128,128,8,0,2,1,-35658,6052832
128,false,120000,snappy,256,0,1024,64,8,7,32,-6157,7067747
16,true,40000,zstd,64,64,4,8,9,1,16384,-158,8386816
4096,false,320000,lz4,1,16,1,32,6,4,1,-58447,9394191
8,false,0,lz4,1,128,2,128,4,10,8192,-37520,10406378
4096,false,280000,snappy,1,256,4,16,9,9,1048576,-66865,11406518
16,true,400000,zstd,8,64,128,4,0,7,32768,-157,12760004
2048,true,80000,snappy,256,64,4,1,5,5,4194304,-4737,13769902
32,true,240000,snappy,4,32,1,2,7,11,67108864,-314,15006423
4096,false,40000,zstd,4,1,512,1,1,10,262144,-8455,16015692
16384,false,0,snappy,64,8,2,32,9,13,2097152,-5743,17025020
1,false,280000,snappy,4,8,2,4,2,6,67108864,-114777,18024232
1,false,0,snappy,128,16,256,4,3,13,67108864,-66602,19025093
65536,true,80000,snappy,1,4,8,2,7,9,8,-4231,20044217
64,false,240000,zstd,128,1,1,32,3,6,67108864,-63740,21058556
8,false,320000,lz4,1,256,1024,1,2,15,134217728,-138908,22059523
1,false,240000,zstd,4,256,32,128,2,15,33554432,-70914,23067486
4,false,360000,snappy,1,0,512,8,2,8,16777216,-82855,24065534
8,true,320000,lz4,1,256,1024,1,2,15,134217728,-425,25234791
1,false,360000,zstd,128,1024,256,8,3,1,16,-5168,26270159
512,false,0,snappy,1,2,1024,2,4,2,67108864,-149230,27269957
1024,false,40000,lz4,2,512,1024,1,8,2,67108864,-143446,28271481
64,false,120000,zstd,64,128,1024,8,4,1,33554432,-50048,29281676
128,false,320000,lz4,2,4,1024,1,6,14,67108864,-122536,30280974
512,false,400000,zstd,1,1,1024,2,5,15,67108864,-120015,31283827
512,false,160000,lz4,1,512,1024,2,4,2,16777216,-111545,32280884
512,false,0,zstd,1,512,1024,2,4,2,8388608,-64340,33283422
8,false,0,snappy,2,8,1024,2,7,0,134217728,-134251,34283767
256,false,40000,zstd,8,2,1024,4,4,2,134217728,-82135,35290958
32,false,0,zstd,1,512,1024,1,7,6,67108864,-91723,36301008
524288,false,40000,snappy,2,16,1024,1,8,2,67108864,-13146,37304688
1024,false,40000,lz4,2,2,1,1,6,1,67108864,-143641,38303555
1024,false,0,snappy,1,16,128,1,8,1,67108864,-153495,39300778
1024,false,40000,snappy,1,16,1024,1,8,2,67108864,-156016,40300151
1024,false,0,snappy,1,32,4,2,8,2,67108864,-155642,41297229
16384,false,40000,snappy,1,4,16,1,7,2,67108864,-116287,42295805
1024,false,0,snappy,2,256,1024,1,8,2,67108864,-141340,43295937
32,false,200000,snappy,16,1024,16,1,8,8,8192,-5749,44312543
32768,false,0,lz4,1,64,32,1,9,2,134217728,-100939,45311426
1024,false,40000,snappy,4,8,16,2,8,0,67108864,-122406,46308383
