block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-78303,985962
128,false,40000,lz4,256,0,5,-70221,1971766
128,true,0,snappy,128,5,8,-3061,2984424
1024,false,0,zstd,4,7,0,-70062,3970391
1,true,80000,lz4,2,9,8,-3750,4979339
8,false,40000,lz4,32,4,0,-70949,5966020
262144,true,40000,snappy,8,6,3,-38710,6950890
512,false,200000,snappy,128,8,6,-78439,7934695
1,false,0,snappy,1,2,14,-67350,8922395
512,false,200000,snappy,256,9,10,-78041,9908645
65536,false,0,zstd,64,8,11,-40770,10895412
512,false,200000,snappy,64,10,11,-77851,11881247
1,false,200000,snappy,64,8,8,-71190,12868778
8192,false,80000,snappy,4,1,8,-77234,13854085
256,false,0,snappy,16,7,7,-72573,14841375
2048,false,80000,snappy,128,8,11,-79600,15826402
1,false,160000,snappy,128,9,9,-71304,16813442
32768,false,80000,snappy,8,4,7,-66781,17798938
1024,false,120000,lz4,128,10,10,-79465,18785931
512,false,120000,zstd,256,9,14,-69411,19775522
64,false,0,lz4,2,10,10,-67202,20762888
2048,false,0,lz4,256,10,11,-78614,21749020
4096,false,0,lz4,128,10,11,-78743,22734146
32768,false,40000,lz4,256,10,12,-67933,23719754
2048,false,40000,zstd,128,9,11,-66959,24706982
8192,false,0,zstd,16,2,6,-62262,25692837
2048,false,0,lz4,64,10,5,-78307,26679135
65536,false,160000,snappy,128,1,8,-56885,27664172
128,false,0,lz4,128,10,8,-67392,28651784
1024,false,120000,snappy,128,7,10,-80070,29636880
128,false,80000,snappy,4,5,6,-71455,30624916
4096,false,160000,snappy,128,4,11,-78381,31610415
8192,false,80000,zstd,32,0,10,-62503,32596840
2048,false,120000,snappy,128,3,10,-79364,33582952
1024,false,120000,lz4,128,4,11,-79298,34568396
1024,false,80000,snappy,128,7,8,-80014,35553820
1024,false,80000,snappy,256,2,10,-79838,36539211
2048,true,80000,snappy,128,8,10,-20476,37525492
16384,false,40000,snappy,128,10,11,-74026,38509768
16,false,280000,snappy,4,1,2,-71805,39494704
1024,false,80000,snappy,256,1,10,-79826,40479356
8192,false,120000,snappy,256,9,11,-77914,41464168
1024,false,80000,snappy,64,7,11,-80107,42448593
1024,false,0,snappy,128,7,10,-79397,43433890
32768,false,120000,lz4,128,7,9,-68858,44418494
2048,false,80000,snappy,64,7,8,-81769,45403122
256,true,160000,zstd,32,9,8,-3183,46420958
1024,false,80000,lz4,1,10,7,-81196,47406002
512,false,80000,snappy,64,5,6,-80261,48390788
1024,false,80000,lz4,1,2,8,-81076,49375776
4096,false,120000,snappy,64,4,8,-81289,50360340
256,false,0,zstd,128,6,7,-68300,51354221
2048,false,120000,lz4,2,4,7,-79476,52339192
4096,false,120000,lz4,256,2,8,-79234,53324679
8192,false,200000,zstd,256,10,10,-62778,54311635
1,false,80000,zstd,1,4,12,-64622,55313682
1024,false,0,snappy,64,6,11,-78782,56298298
8,false,80000,lz4,4,7,8,-70624,57286647
16384,true,320000,snappy,128,7,5,-53069,58271456
1024,false,120000,lz4,1,1,10,-80238,59256332
1024,false,80000,snappy,1,0,6,-80437,60242026
32768,true,40000,snappy,128,6,5,-64862,61226223
512,false,0,lz4,128,2,10,-76332,62211725
4096,true,160000,zstd,16,4,5,-16821,63198825
1024,false,80000,lz4,1,2,5,-80780,64184025
4096,false,80000,snappy,1,8,8,-80163,65168694
1024,false,80000,lz4,16,1,8,-80848,66153745
1024,false,80000,snappy,64,1,8,-80829,67137695
2048,false,80000,snappy,32,4,8,-80314,68122987
1024,false,240000,lz4,64,2,7,-81051,69105787
256,false,200000,zstd,256,6,7,-68779,70096697
524288,false,0,snappy,64,7,10,-29234,71082225
2048,false,160000,snappy,64,4,8,-80308,72067856
16384,false,40000,lz4,64,3,10,-73980,73053008
4096,false,0,snappy,64,8,6,-78700,74039447
32768,false,0,snappy,1,7,8,-67212,75024777
8192,false,200000,lz4,1,2,7,-78780,76009716
2048,false,120000,snappy,64,6,6,-80585,76993973
512,false,160000,lz4,64,1,8,-79154,77978710
1024,false,80000,snappy,8,7,8,-81516,78962871
16384,true,320000,lz4,256,0,4,-59872,79946811
65536,false,0,snappy,64,9,12,-57646,80931139
1024,false,160000,snappy,8,0,7,-80410,81915624
8192,true,0,snappy,128,1,5,-37358,82900501
4096,false,80000,snappy,16,8,5,-80470,83884955
1024,false,80000,snappy,8,7,5,-80705,84870028
8192,false,200000,lz4,16,2,9,-78927,85855118
2048,false,0,snappy,64,7,9,-80818,86839932
1024,false,80000,snappy,128,1,7,-81450,87824884
8192,false,80000,snappy,128,0,6,-78956,88808976
1024,false,240000,zstd,64,4,9,-71381,89796157
1024,false,160000,lz4,1,9,14,-81395,90781662
1024,false,160000,lz4,1,3,14,-81072,91765363
1024,false,80000,lz4,2,5,15,-80875,92750623
1024,false,160000,snappy,128,1,7,-81374,93736826
1024,false,0,lz4,1,9,14,-79060,94722052
64,false,240000,zstd,32,4,7,-66047,95722564
1024,false,0,snappy,64,7,15,-79633,96707918
1024,false,160000,snappy,128,2,7,-79029,97693067
1024,false,280000,lz4,32,7,8,-80234,98679342
