block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-80465,979993
8192,false,80000,snappy,4,4,4,-75513,1958714
4,false,240000,zstd,16,3,9,-67759,2946585
32,false,0,lz4,64,9,1,-75597,3927140
16,false,200000,snappy,2,3,5,-79667,4907105
32768,true,320000,lz4,8,0,0,-56078,5886147
32,true,240000,lz4,1,4,1,-1279,6940336
64,false,0,snappy,8,6,2,-76822,7920307
16,false,200000,lz4,1,1,5,-77805,8902388
16,false,240000,snappy,1,1,10,-78840,9884327
2048,false,320000,snappy,1,0,0,-84145,10865042
8192,false,320000,lz4,2,4,0,-76582,11844213
1024,true,160000,snappy,1,3,1,-4186,12841863
16,true,280000,lz4,2,1,15,-1449,13895214
2048,false,280000,snappy,1,0,14,-83923,14874814
256,false,360000,snappy,1,0,0,-83390,15855825
16,false,400000,lz4,1,0,15,-77557,16838408
16384,false,240000,lz4,1,0,0,-68027,17820361
524288,false,320000,snappy,1,0,10,-11702,18805699
32768,false,400000,snappy,16,1,0,-55372,19785568
256,false,360000,snappy,1,0,6,-83327,20766828
128,false,360000,snappy,1,0,8,-78716,21748613
256,false,320000,snappy,1,0,7,-83068,22728684
8192,false,320000,snappy,1,0,14,-75256,23708380
2048,false,320000,snappy,1,0,14,-84105,24687956
512,false,160000,snappy,1,0,15,-85501,25667388
256,false,160000,snappy,1,0,10,-82610,26649407
2048,false,320000,snappy,1,0,9,-83932,27629608
2048,false,400000,snappy,1,0,14,-83494,28609917
2048,false,320000,snappy,1,0,13,-83135,29590136
2048,false,160000,snappy,1,0,10,-84437,30570363
131072,false,120000,snappy,2,1,13,-34027,31552995
2048,false,0,snappy,2,0,15,-83399,32532851
512,false,280000,snappy,2,0,10,-85492,33513639
128,false,400000,lz4,256,9,6,-77658,34495256
512,false,280000,snappy,1,0,10,-85209,35476339
512,false,280000,snappy,1,0,1,-85566,36456480
512,false,320000,snappy,1,0,10,-85462,37436299
512,false,320000,snappy,2,0,10,-86060,38415694
512,false,120000,snappy,1,3,15,-85773,39395972
512,false,320000,snappy,1,3,13,-85684,40376441
1024,false,320000,snappy,2,0,10,-86815,41356880
512,false,280000,snappy,2,1,13,-86142,42337311
1024,false,120000,snappy,2,0,12,-87114,43317564
65536,false,320000,snappy,8,0,6,-44543,44297947
1024,false,280000,snappy,64,0,0,-87018,45277780
1024,false,280000,snappy,64,0,1,-86751,46259043
1024,false,320000,snappy,1,0,10,-86919,47238573
1024,false,280000,snappy,8,3,1,-87046,48217934
1024,false,320000,snappy,64,1,12,-86384,49198024
32768,false,200000,snappy,1,3,14,-55389,50178576
1024,false,80000,snappy,2,1,13,-86225,51158979
16,false,360000,lz4,8,1,14,-76747,52142186
256,true,0,snappy,4,7,0,-1786,53161044
16384,false,320000,snappy,2,0,2,-66377,54141526
1024,false,200000,snappy,8,0,13,-85394,55122744
1024,false,320000,snappy,64,0,2,-86198,56102795
1024,false,120000,snappy,4,2,11,-87221,57082730
1024,false,280000,snappy,32,0,9,-86900,58062343
524288,false,360000,zstd,32,2,15,-5895,59051918
1024,false,360000,snappy,4,2,9,-85388,60032439
1024,false,160000,zstd,4,2,12,-70906,61019301
1024,false,320000,zstd,8,0,3,-71055,62005229
1024,false,280000,snappy,16,3,15,-84400,62987690
32768,false,360000,lz4,64,0,15,-57038,63969777
4096,false,360000,snappy,32,1,0,-79319,64951940
1024,false,320000,snappy,64,1,0,-83995,65935536
1024,false,320000,snappy,16,0,12,-84575,66916777
1024,false,400000,snappy,2,0,10,-84312,67898552
32,false,360000,zstd,32,0,5,-66148,68892197
8192,false,360000,zstd,4,3,15,-51194,69875907
1024,false,320000,snappy,1,2,11,-84617,70857793
1024,false,320000,snappy,4,0,10,-84858,71839424
512,false,360000,snappy,4,1,15,-83785,72822144
4096,false,160000,snappy,128,2,15,-78798,73804238
512,false,400000,zstd,256,5,13,-74130,74790016
512,false,400000,snappy,64,2,10,-83611,75772775
32768,false,400000,snappy,128,8,5,-54775,76752522
1024,false,0,lz4,1,3,10,-84023,77734899
1024,false,40000,lz4,1,1,15,-85062,78718057
1024,false,280000,snappy,64,2,13,-84712,79700376
512,false,40000,snappy,1,4,0,-83504,80683120
1024,false,80000,lz4,128,3,15,-84529,81666036
1024,false,80000,snappy,2,8,12,-83900,82649158
512,false,320000,snappy,8,0,1,-83031,83633513
256,false,80000,zstd,4,2,15,-70210,84624038
512,false,400000,lz4,8,1,15,-82077,85608691
1024,false,280000,snappy,16,2,2,-82168,86592805
1024,false,0,snappy,4,1,13,-81299,87577567
1024,false,120000,snappy,2,4,1,-82777,88562019
512,false,80000,zstd,1,4,15,-71403,89550821
1024,false,320000,snappy,1,3,10,-82609,90535735
1024,false,120000,snappy,32,7,14,-83901,91518785
1024,false,160000,snappy,32,0,9,-84267,92502201
1024,false,400000,snappy,64,5,2,-84027,93484388
1024,false,280000,snappy,128,0,0,-84129,94466822
1024,false,400000,snappy,32,9,6,-80937,95452602
1024,false,320000,snappy,2,0,6,-82858,96438024
512,false,240000,snappy,1,8,14,-82266,97422235
1024,false,280000,snappy,64,1,15,-82806,98407455
