block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
8,false,40000,zstd,2,1,256,64,1,10,33554432,-72062,1621497948916
64,false,120000,snappy,2,2,4,1,0,5,1073741824,-176502,1621499003323
16,false,120000,zstd,1,2,128,1,10,4,1073741824,-159805,1621500064682
1,false,80000,lz4,2,1,1024,256,6,6,536870912,-165221,1621501121577
64,false,120000,snappy,1,1,256,4,9,0,1073741824,-175133,1621502174333
32,false,400000,lz4,1,4,2,128,3,8,1073741824,-173573,1621503230410
4096,true,120000,zstd,64,8,8,4,8,0,4194304,-3454,1621504291658
4,false,0,lz4,2,8,1024,1,1,5,1073741824,-173892,1621505346655
8,false,240000,snappy,2,32,4,8,2,5,1073741824,-178221,1621506399160
16,false,360000,snappy,2,512,512,128,10,13,268435456,-156128,1621507449785
128,false,360000,snappy,1,1,8,4,10,6,268435456,-161620,1621508501633
16384,false,80000,lz4,1,0,128,8,10,1,268435456,-127628,1621509552724
32768,false,240000,zstd,8,1024,4,2,9,3,64,-9844,1621510615313
128,false,400000,lz4,1,64,1024,1,10,6,536870912,-172448,1621511666662
32,false,400000,lz4,1,1,8,128,1,2,1073741824,-181229,1621512727716
16,false,160000,lz4,2,1024,256,16,0,2,1073741824,-180412,1621513784567
128,false,400000,lz4,1,64,128,128,10,3,268435456,-156003,1621514844552
16,false,240000,lz4,2,2,128,32,0,0,1073741824,-172065,1621515899370
16,false,240000,lz4,2,2,128,32,0,0,1073741824,-172065,1621515899370
