block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-76837,982382
16384,false,280000,lz4,128,9,5,-66277,1963336
512,true,120000,lz4,1,1,4,-3233,2964275
1024,false,240000,snappy,1,7,6,-83316,3944159
262144,true,40000,lz4,1,6,8,-23035,4927892
32,true,400000,lz4,2,3,10,-929,6000715
524288,false,200000,lz4,128,0,4,-12834,6988138
4,false,120000,zstd,2,2,8,-65449,7982587
32,false,120000,snappy,8,3,3,-76032,8967302
1024,false,0,snappy,128,7,10,-83210,9947872
32,false,0,snappy,1,9,3,-73696,10931985
65536,false,40000,snappy,2,6,6,-43770,11914386
128,false,200000,snappy,1,0,6,-75798,12898222
4096,false,0,snappy,2,0,10,-77758,13881031
1024,false,120000,snappy,32,8,11,-82446,14864119
1024,false,240000,snappy,16,6,11,-83284,15846969
1024,false,200000,snappy,128,8,12,-83085,16829843
131072,true,200000,zstd,128,3,7,-12202,17817946
1,false,0,lz4,1,7,10,-72007,18803641
32768,false,400000,snappy,8,5,10,-54148,19786352
64,false,40000,lz4,1,7,11,-75857,20769506
1024,false,400000,snappy,16,6,10,-84182,21752217
1024,false,400000,snappy,2,0,6,-83683,22732970
2048,false,320000,lz4,2,0,9,-80808,23716681
1024,false,360000,snappy,16,6,4,-83449,24698490
131072,false,400000,snappy,16,9,6,-33371,25682575
1024,false,400000,snappy,16,8,8,-83544,26664851
1024,false,240000,lz4,1,0,4,-83166,27648004
65536,true,80000,lz4,4,5,9,-45149,28630522
1024,false,120000,lz4,16,0,0,-81324,29615202
1024,false,400000,snappy,128,6,8,-79929,30600766
1024,false,360000,snappy,128,6,5,-80012,31586908
1024,false,160000,lz4,128,1,11,-82887,32571691
512,false,0,snappy,128,7,5,-79570,33555482
1024,false,400000,snappy,16,9,10,-80329,34539910
8192,false,120000,snappy,64,6,10,-71316,35524233
1024,false,400000,snappy,4,8,7,-82817,36508187
512,false,400000,snappy,16,8,7,-82152,37492062
2048,false,280000,snappy,1,1,1,-80476,38474581
1024,false,240000,lz4,32,8,8,-80379,39459630
1024,false,160000,lz4,32,3,4,-82019,40445726
1024,false,200000,lz4,64,2,10,-81180,41429915
1024,false,160000,lz4,128,0,5,-81581,42414238
1024,false,400000,snappy,8,7,10,-83523,43397167
32,true,400000,snappy,4,9,10,-665,44454815
1024,false,200000,zstd,8,3,14,-69391,45441643
4096,false,0,snappy,256,3,6,-76554,46424364
1024,false,200000,lz4,64,1,3,-81357,47409992
512,false,80000,lz4,32,9,11,-81271,48395152
1024,false,200000,snappy,128,3,6,-82212,49379324
1024,false,200000,snappy,16,0,4,-81903,50363328
32,false,280000,snappy,64,8,13,-76488,51347798
1024,false,400000,snappy,16,0,4,-81981,52331282
128,true,400000,snappy,8,8,7,-993,53381072
128,false,80000,zstd,128,9,11,-66239,54378561
65536,true,160000,zstd,16,4,9,-22399,55361740
16,false,400000,snappy,2,5,6,-76031,56344846
1024,false,240000,snappy,8,8,6,-82639,57328472
16384,false,40000,lz4,16,8,0,-66100,58311342
8,false,240000,snappy,2,1,7,-76813,59292748
1024,false,160000,lz4,128,8,11,-82423,60275591
1024,false,400000,snappy,2,2,14,-83715,61258226
1024,false,160000,snappy,128,9,13,-84490,62240961
512,false,320000,snappy,8,5,13,-84067,63222893
1024,false,160000,snappy,2,9,4,-84824,64204091
1024,false,200000,lz4,2,4,4,-84573,65186322
1024,false,160000,snappy,1,9,4,-84514,66168794
512,false,120000,snappy,2,9,4,-82896,67150408
1024,false,80000,lz4,1,4,0,-84296,68131663
4096,false,240000,lz4,1,0,4,-80011,69113242
1024,false,280000,snappy,16,9,0,-84688,70094970
512,false,200000,lz4,128,4,13,-83311,71076891
512,false,160000,snappy,64,10,14,-84149,72058328
1024,false,160000,lz4,128,0,1,-84394,73039900
1024,false,400000,snappy,2,10,0,-85006,74020501
4,false,400000,lz4,64,5,6,-77121,75002298
1024,false,40000,lz4,2,4,0,-84107,75983216
1024,false,160000,snappy,128,0,0,-84149,76966290
1024,false,40000,snappy,2,7,4,-85717,77945852
512,false,40000,snappy,2,7,0,-84382,78926693
1024,false,200000,lz4,128,4,1,-83804,79909292
32768,false,40000,snappy,2,5,14,-54621,80891869
256,false,400000,snappy,2,9,0,-80907,81875396
524288,false,0,lz4,4,2,9,-12823,82862753
1024,false,0,lz4,2,7,4,-84143,83844571
1024,true,40000,snappy,4,5,5,-4154,84839277
1024,false,0,lz4,4,2,0,-85037,85820150
1024,false,0,snappy,2,2,4,-84387,86801142
1024,false,160000,snappy,8,9,14,-85842,87781732
2048,false,400000,snappy,2,10,4,-81464,88762308
65536,false,0,snappy,2,1,1,-43969,89745384
1024,false,200000,lz4,128,0,1,-85306,90727521
1024,false,160000,snappy,16,10,0,-84632,91708230
1024,false,40000,snappy,1,10,4,-84922,92689919
1024,false,0,lz4,4,4,4,-84207,93671909
1024,false,40000,snappy,2,5,4,-85423,94653197
1024,false,120000,lz4,128,0,1,-85597,95634240
1024,false,40000,lz4,8,4,11,-85638,96616098
64,false,400000,lz4,4,6,4,-76099,97599569
16384,false,0,snappy,1,0,3,-62923,98582773
