block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-79550,984293
32768,true,360000,zstd,1,0,128,256,8,2,512,-161,2258992
64,false,320000,zstd,64,16,64,8,6,2,8192,-1477,3293076
64,false,0,zstd,1,32,128,128,9,1,16777216,-51803,4287094
128,false,360000,zstd,16,1,1024,64,8,1,4194304,-15342,5303636
1024,false,120000,zstd,8,1024,128,16,7,6,32768,-28816,6295834
4096,false,360000,lz4,1,16,256,256,0,8,262144,-50007,7280905
2048,true,320000,zstd,4,4,16,2,8,2,524288,-2129,8294953
128,false,40000,lz4,64,64,256,2,0,0,4096,-3932,9289298
131072,false,120000,snappy,64,1,256,64,0,4,33554432,-32957,10272345
128,true,40000,snappy,16,0,4,8,0,10,131072,-1171,11321132
64,true,160000,lz4,8,256,128,2,9,5,64,-2869,12330954
32,false,0,snappy,16,0,128,1,5,5,2048,-777,13382147
8192,false,160000,snappy,4,0,32,1,2,7,536870912,-82877,14366106
1,true,320000,zstd,2,0,1024,16,4,8,268435456,-1750,15388293
8,true,280000,snappy,128,0,16,1,6,5,67108864,-2922,16392997
8192,false,40000,snappy,1,0,8,1,8,9,268435456,-83050,17376669
32768,true,120000,snappy,1,0,8,4,9,13,1073741824,-78801,18361596
4096,true,360000,snappy,1,4,1,8,9,8,67108864,-33042,19347118
262144,true,0,snappy,2,0,256,2,3,2,134217728,-46129,20332960
262144,true,240000,zstd,2,2,32,1,7,6,268435456,-32440,21318990
4096,false,80000,snappy,8,0,2,4,8,9,1073741824,-83171,22308119
2048,false,80000,snappy,1,8,16,16,1,5,33554432,-72111,23291127
4096,false,40000,lz4,1,0,32,4,3,10,1073741824,-84645,24280349
4096,false,40000,snappy,64,0,64,16,0,9,536870912,-83990,25267583
8192,false,160000,lz4,8,0,32,4,2,7,536870912,-82069,26252404
4096,true,40000,snappy,64,2,4,16,8,12,1073741824,-32202,27237259
32,false,120000,zstd,2,0,4,4,2,10,1073741824,-74134,28232426
65536,true,40000,zstd,256,4,32,256,1,6,2097152,-4152,29234289
4096,false,120000,snappy,4,0,8,4,1,6,268435456,-83616,30219184
4096,false,280000,snappy,4,0,8,32,1,7,1073741824,-83029,31208387
4096,false,40000,snappy,4,0,64,1,1,6,268435456,-82908,32193662
4096,false,40000,zstd,1,0,2,2,4,10,268435456,-74086,33179502
2048,false,40000,snappy,4,0,32,4,3,10,1073741824,-82690,34168838
256,false,40000,lz4,1,0,8,4,0,6,536870912,-80729,35154451
64,false,280000,snappy,32,0,16,8,0,9,268435456,-78459,36140198
32768,false,360000,snappy,4,2,16,16,9,5,134217728,-69846,37125248
4,false,240000,snappy,1,0,64,32,9,11,1073741824,-80819,38111115
4,false,280000,lz4,16,0,32,4,4,14,268435456,-76968,39102897
4096,false,40000,lz4,1,0,128,2,0,6,268435456,-83834,40088401
4096,false,0,lz4,4,0,128,2,1,6,268435456,-82864,41074650
4096,false,40000,lz4,1,0,256,16,3,9,536870912,-84767,42059184
4096,true,80000,snappy,8,1024,16,8,3,5,8,-25295,43049755
4096,false,40000,lz4,1,0,1024,16,3,9,536870912,-84581,44035851
4096,false,40000,lz4,128,0,64,16,0,9,536870912,-83911,45021911
1024,false,320000,snappy,2,0,256,16,3,9,268435456,-85123,46006797
4096,false,40000,lz4,64,0,256,16,0,5,536870912,-83831,46990971
4096,false,240000,lz4,1,0,64,4,7,5,268435456,-83660,47978501
1,false,0,snappy,4,0,64,32,2,10,268435456,-74998,48964569
1024,true,360000,lz4,128,128,1024,128,6,8,8388608,-13884,49949974
4,false,360000,snappy,1,0,1024,16,2,6,268435456,-74868,50935794
1024,false,240000,snappy,1,0,512,32,6,5,268435456,-83398,51924301
64,true,280000,zstd,16,0,128,32,8,14,1073741824,-1775,52937527
1024,true,320000,snappy,2,2,32,16,7,4,16384,-333,54137254
2048,true,360000,zstd,16,64,1024,32,5,6,262144,-10714,55127065
1024,false,240000,snappy,2,0,256,16,3,9,67108864,-78915,56111616
1024,false,320000,zstd,1,0,256,16,3,9,268435456,-74226,57098416
2048,false,360000,snappy,4,2,4,8,5,9,524288,-5198,58087603
8,false,40000,snappy,2,0,512,1,5,12,1073741824,-81780,59073562
4096,false,0,lz4,1,0,256,64,3,9,536870912,-84530,60058719
4,false,40000,snappy,2,0,128,1,6,5,1073741824,-82361,61045177
4096,false,320000,lz4,2,1,256,4,3,9,536870912,-84427,62030304
2048,false,320000,lz4,4,1,256,8,3,9,536870912,-84154,63017995
4096,false,360000,lz4,1,0,256,1,3,8,33554432,-60411,64002152
4096,false,40000,lz4,128,0,256,16,0,9,134217728,-80361,64987115
262144,false,40000,lz4,1,0,256,16,3,9,536870912,-60712,65971052
4096,false,40000,snappy,1,1,8,4,3,10,1073741824,-85480,66956277
2048,false,40000,snappy,256,1,256,256,9,5,536870912,-83848,67945200
4,false,320000,snappy,128,1,64,4,5,6,67108864,-72466,68930350
2048,false,240000,snappy,1,4,16,2,3,9,536870912,-85306,69915318
2048,false,280000,snappy,1,256,16,2,4,12,536870912,-85545,70899465
2048,false,40000,snappy,8,1,64,2,6,11,536870912,-84250,71887325
524288,true,280000,snappy,1,1,256,256,9,14,134217728,-39043,72872295
4096,false,280000,snappy,2,1,8,8,6,4,536870912,-84904,73857633
4096,false,320000,snappy,1,4,4,8,5,4,268435456,-84888,74841401
16,false,80000,snappy,128,256,64,4,3,4,33554432,-65825,75825116
4,false,280000,snappy,16,256,16,128,9,8,134217728,-77305,76809823
4096,false,280000,zstd,1,0,32,128,3,9,268435456,-74968,77795609
4096,false,160000,snappy,2,0,256,2,3,0,536870912,-84811,78780683
2048,false,240000,lz4,2,1024,8,8,5,2,1073741824,-85861,79764441
1,true,400000,lz4,8,1,8,64,2,5,8192,-438,80884733
2048,false,0,snappy,16,256,16,16,0,2,1073741824,-83188,81877224
64,false,360000,snappy,64,8,1,1,9,13,67108864,-71982,82863583
2048,false,120000,zstd,2,8,8,16,2,7,32768,-965,83908355
4096,false,0,snappy,2,1,8,4,3,5,1073741824,-85315,84893749
256,true,40000,lz4,8,32,1024,2,0,8,8192,-5153,85895885
8,false,160000,zstd,1,1,4,1,7,0,268435456,-51940,86896887
4096,false,160000,snappy,128,1,8,1,9,5,536870912,-84267,87884159
4096,false,280000,lz4,256,32,1,1,9,2,1073741824,-83170,88874390
2048,false,280000,lz4,2,1,8,64,5,4,536870912,-85031,89860129
8192,false,280000,snappy,2,512,16,4,5,15,1073741824,-85115,90846123
1024,false,160000,snappy,2,1024,8,1,3,0,1073741824,-85792,91830334
2048,false,200000,snappy,8,512,1024,8,8,1,536870912,-84091,92817544
16384,false,160000,snappy,1,1024,8,8,5,4,268435456,-81629,93802553
1,false,320000,snappy,1,0,32,16,5,8,1073741824,-81396,94789189
1024,false,280000,snappy,2,128,8,16,3,0,268435456,-84635,95775760
2048,false,160000,snappy,16,1024,4,1,3,0,536870912,-83619,96763019
128,false,120000,zstd,32,0,2,4,0,9,536870912,-71911,97804807
2048,false,360000,snappy,1,1024,16,2,4,12,536870912,-84982,98789914
512,false,40000,zstd,2,4,1024,4,3,10,1073741824,-80341,99778018
