block_size,compaction_readahead_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,0,4,0,32,1,1,10,2,1,67108864,-112885,92092
65536,120000,4,64,1,16,8,9,128,32,4096,-24297,184696
1024,120000,64,16,1,1,9,6,4,8,8,-25393,281265
524288,80000,1,2,2,32,4,4,64,16,1073741824,-10671,372960
2048,360000,1,256,2,32,4,10,32,8,32768,-58943,465939
1,0,8,256,16,1,1,15,2,8,524288,-32985,558970
1,0,256,1,1024,1,4,5,128,1,131072,-5878,653090
2048,360000,2,0,256,2,2,10,4,4,512,-4952,748247
1,200000,128,1,2,1,1,13,1,32,131072,-10966,842498
4,240000,16,0,2,1,8,12,128,1,67108864,-72392,935476
1,240000,8,0,16,2,6,10,32,1,1073741824,-85287,1029167
256,400000,2,0,8,1,8,9,1,1,536870912,-169423,1122757
2048,400000,32,256,512,2,5,9,1,16,16777216,-35678,1216730
8,360000,1,0,512,16,9,10,1,1,1073741824,-161282,1311027
16384,320000,8,8,512,2,8,15,1,1,536870912,-67601,1404758
256,360000,1,0,512,4,1,9,1,16,1073741824,-158573,1499219
16,400000,2,0,32,1,6,6,1,2,134217728,-134730,1593445
4096,360000,128,0,512,8,4,0,1,32,536870912,-81376,1687329
8,240000,1,0,512,16,9,6,1,1,1073741824,-161987,1781568
8,240000,1,1,512,16,9,6,1,1,1073741824,-161886,1875072
524288,240000,4,64,128,256,7,10,4,2,4,-6425,1968431
1,0,64,8,1024,256,9,2,16,16,128,-13463,2062816
8,360000,1,1,512,32,9,10,1,1,536870912,-159132,2156523
256,400000,2,0,8,1,8,4,1,1,536870912,-163704,2250284
512,400000,2,0,2,1,8,4,1,1,536870912,-161968,2343506
16,400000,2,512,1,1,7,1,1,1,1073741824,-161248,2437778
256,160000,2,64,8,1,7,5,1,32,536870912,-163756,2531539
2048,320000,2,0,8,2,7,10,1,1,536870912,-163179,2625651
1,80000,2,16,8,2,4,12,1,4,536870912,-159641,2718933
1024,0,8,64,16,2,0,10,128,1,1073741824,-85042,2810611
1024,400000,2,0,16,1,7,10,1,2,536870912,-165671,2904250
32,80000,2,4,8,32,7,6,1,8,268435456,-154939,2998400
