Throughput,Latency
79524,402.307  
79931,400.2316666666666  
81700,391.5666666666666  
58196,549.6743333333333  
66005,484.6993333333333  
40976,780.6273333333334  
2843,11147.166333333333  
9737,3282.854  
66755,479.24033333333335  
72163,443.28133333333335  
78383,408.1273333333333  
81969,390.288  
72071,443.846  
80909,395.4146666666666  
72592,440.6966666666667  
81910,390.56233333333336  
81336,393.324  
54290,589.1536666666667  
80499,397.39866666666666  
76721,416.96000000000004  
82746,386.6073333333334  
82240,388.992  
42413,754.1460000000001  
82796,386.3833333333334  
82835,386.221  
83090,385.0040000000001  
68432,467.4693333333334  
77465,412.9576666666667  
63893,500.663  
82164,389.377  
80570,397.04400000000004  
46392,689.453  
76125,420.3183333333333  
80734,396.2543333333333  
69349,461.2643333333333  
65274,490.093  
77739,411.4986666666667  
81458,392.801  
81934,390.453  
81700,391.5656666666667  
80940,395.25066666666663  
81801,391.08666666666664  
80571,397.0566666666667  
81105,394.3533333333333  
81094,394.50233333333335  
72270,442.66533333333336  
80329,398.238  
78943,405.26033333333334  
65687,487.0376666666666  
77382,413.3993333333333  
78358,408.27400000000006  
62828,509.171  
80784,396.00066666666663  
68977,463.7763333333333  
80877,395.56800000000004  
80713,396.3956666666666  
80746,396.2046666666667  
72488,441.296  
81081,394.564  
67151,476.3906666666667  
3719,8531.808333333332  
79874,400.51933333333335  
80793,396.02866666666665  
81179,394.0996666666667  
67792,471.87600000000003  
79246,403.67699999999996  
20377,1568.692  
80723,396.33099999999996  
72166,443.276  
79819,400.79766666666666  
72324,442.3113333333334  
72465,441.439  
72962,438.4466666666667  
81353,393.25800000000004  
71149,449.6206666666667  
74390,430.0536666666667  
74933,426.96000000000004  
81508,392.4783333333333  
81123,394.34833333333336  
81836,390.92333333333335  
41140,777.4476666666666  
80561,397.106  
81303,393.50600000000003  
72322,442.3183333333333  
80969,395.09633333333335  
81826,390.9403333333333  
80999,394.962  
80546,397.1863333333333  
81301,393.4983333333333  
66063,484.3883333333333  
9925,3220.204  
68377,467.84233333333333  
80720,396.34  
74525,429.27  
58029,551.2543333333334  
80788,396.0246666666667  
79778,401.09999999999997  
68666,465.87433333333337  
78427,407.907  
82060,389.86133333333333  
