block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-99618,1008031
131072,false,0,snappy,16,0,1,-30042,2009235
2048,true,360000,zstd,1,9,1,-4118,3038869
32768,true,40000,snappy,4,8,6,-51119,4039467
64,false,160000,zstd,32,1,3,-85076,5052143
2048,true,40000,zstd,32,0,5,-4074,6082968
8192,true,360000,snappy,8,8,4,-17153,7084788
32768,true,160000,lz4,256,2,1,-53216,8085282
1,false,160000,snappy,64,9,13,-110004,9090903
2048,false,160000,zstd,2,3,9,-72506,10094670
1,false,280000,lz4,4,4,7,-111258,11094021
1,false,360000,lz4,4,8,4,-110725,12094061
1,false,360000,lz4,256,8,2,-111223,13094949
16384,false,360000,lz4,128,6,6,-77925,14093275
1,false,0,lz4,16,0,13,-108117,15093822
1,false,320000,snappy,4,5,5,-113557,16095264
1,false,360000,snappy,1,8,1,-113377,17094235
1,false,400000,snappy,1,7,1,-113378,18093553
1,false,280000,snappy,1,2,0,-113550,19092118
1,false,320000,snappy,1,0,4,-113898,20091007
1,true,400000,snappy,2,0,6,-308,21302014
1,false,320000,zstd,1,7,1,-87345,22310564
1,false,240000,snappy,1,0,0,-113634,23312448
1,false,240000,snappy,2,5,1,-113958,24312106
1,false,240000,snappy,16,6,1,-114738,25313043
1,false,200000,snappy,8,6,2,-113942,26312679
4,false,240000,snappy,16,2,1,-114775,27314735
32,false,400000,snappy,16,0,1,-112705,28314391
1,false,40000,snappy,16,6,2,-112495,29315501
1,false,160000,snappy,16,5,1,-111876,30317192
4,false,400000,snappy,16,1,1,-112298,31319457
1,false,0,snappy,8,3,5,-109725,32321878
32,false,40000,snappy,2,0,3,-112703,33325792
1,false,0,snappy,64,1,0,-108301,34328294
4,false,400000,snappy,16,2,1,-112226,35329393
1,false,0,lz4,4,0,2,-107730,36332072
1,false,0,snappy,8,0,7,-110238,37335483
64,false,200000,snappy,1,0,6,-112884,38338754
512,false,200000,snappy,16,5,5,-120431,39337411
1024,false,200000,snappy,1,3,5,-120323,40336084
2048,false,240000,snappy,2,3,7,-112909,41335952
32768,false,200000,snappy,16,9,11,-55755,42336272
2048,false,240000,snappy,1,4,5,-112501,43334711
512,false,200000,snappy,64,10,5,-121116,44333554
2048,false,200000,snappy,4,1,4,-113273,45331671
2048,false,80000,snappy,16,10,7,-112951,46332368
1024,false,0,snappy,256,3,1,-120592,47330290
8192,false,0,snappy,64,5,0,-96639,48331067
2048,false,0,snappy,256,0,2,-112402,49329812
512,false,0,snappy,256,6,1,-119993,50327477
512,false,240000,snappy,256,0,1,-120734,51324851
8192,true,40000,lz4,2,3,3,-24442,52322961
2048,false,200000,snappy,64,5,1,-112775,53321087
16,true,40000,lz4,2,1,6,-429,54523432
16384,true,240000,zstd,1,7,4,-13141,55524268
256,false,360000,snappy,256,10,8,-119241,56524632
16384,false,200000,snappy,32,8,9,-76395,57522277
8192,false,200000,lz4,16,8,1,-97084,58519948
1024,true,0,lz4,256,4,9,-4489,59534444
512,false,240000,snappy,16,10,10,-121009,60534822
512,false,240000,snappy,8,10,6,-121107,61534520
512,false,0,snappy,256,0,1,-119859,62534195
128,false,200000,snappy,8,10,9,-111897,63537134
512,false,40000,lz4,4,10,10,-118767,64535551
512,false,0,snappy,128,7,11,-117870,65534971
256,false,280000,lz4,1,10,6,-116534,66537910
8192,false,320000,lz4,256,1,7,-94861,67537221
1024,false,80000,lz4,128,10,1,-117773,68538346
512,false,400000,snappy,128,10,6,-119687,69542033
512,false,200000,snappy,16,9,5,-120213,70542742
524288,true,240000,zstd,32,0,9,-3867,71554698
512,false,200000,lz4,8,1,14,-119828,72556792
2048,false,280000,snappy,16,10,10,-111756,73560285
1024,false,0,snappy,256,0,1,-119019,74561501
1024,false,240000,snappy,256,8,1,-119754,75562546
131072,false,320000,snappy,64,10,5,-30254,76563186
1024,true,80000,lz4,8,2,3,-4156,77581576
512,false,320000,snappy,64,10,6,-118749,78583388
512,false,200000,snappy,16,0,5,-118917,79583311
1024,false,360000,snappy,128,2,1,-118018,80586306
1024,false,200000,snappy,1,9,10,-118021,81587803
256,false,200000,lz4,32,10,5,-115471,82589651
8,false,360000,zstd,1,2,7,-84167,83605712
512,false,160000,lz4,8,10,10,-117301,84609973
16384,true,240000,lz4,4,4,6,-38018,85610956
524288,false,320000,zstd,2,7,4,-3886,86623049
512,false,320000,snappy,256,7,1,-117375,87626055
512,false,280000,snappy,32,10,9,-118400,88628483
8192,false,120000,snappy,2,9,1,-94155,89630628
262144,false,80000,lz4,128,1,3,-21881,90637580
512,false,200000,snappy,32,10,4,-115638,91641744
256,false,240000,snappy,4,10,11,-114976,92647194
8192,false,240000,zstd,256,9,1,-51041,93650623
512,false,200000,lz4,8,7,14,-117087,94655146
512,false,0,snappy,128,3,1,-118023,95655801
512,false,0,lz4,256,1,1,-117371,96657621
8192,false,240000,snappy,256,3,5,-95502,97658480
512,false,320000,snappy,8,10,5,-117436,98661299
512,false,200000,lz4,16,6,15,-114744,99666280
1024,false,320000,snappy,128,10,10,-114340,100671117
