block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_slowdown_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,0,1,1,10,-91323,997234
16384,false,40000,zstd,64,2,3,0,-52670,1991793
16,true,120000,zstd,128,128,7,7,-281,3125591
65536,true,80000,snappy,8,2,3,6,-49143,4119886
4,true,120000,snappy,16,4,1,6,-590,5195019
256,true,0,snappy,0,4,9,6,-2810,6214034
32768,false,320000,snappy,16,32,6,8,-63574,7209717
32768,false,160000,zstd,4,32,9,7,-42859,8206159
8,false,360000,snappy,0,256,4,5,-93872,9201337
64,true,40000,lz4,32,128,0,6,-845,10264008
16,true,120000,snappy,16,16,0,2,-596,11337814
16384,true,0,zstd,8,16,3,8,-27200,12335456
64,false,80000,lz4,512,128,1,1,-94219,13331636
1024,false,320000,lz4,0,2,7,6,-97904,14326323
1,false,0,snappy,0,16,8,5,-91387,15324028
1,false,280000,lz4,1,32,5,6,-94529,16322857
1,false,120000,lz4,0,16,9,5,-94231,17321430
1,false,160000,lz4,2,32,9,9,-94472,18320484
1024,false,80000,lz4,0,1,0,11,-98287,19317436
256,false,80000,snappy,2,1,0,10,-97384,20314622
256,false,0,lz4,0,4,0,6,-94704,21312167
128,false,0,lz4,0,1,0,14,-90025,22310245
4096,false,200000,lz4,16,1,0,5,-90721,23308229
1024,false,400000,lz4,4,2,10,8,-97030,24307146
1024,false,80000,zstd,0,1,9,12,-83529,25307437
2048,false,320000,lz4,2,4,5,7,-92740,26306036
4096,true,0,snappy,2,256,8,6,-16883,27305990
128,false,400000,snappy,4,1,8,11,-93328,28306203
512,false,40000,snappy,4,64,0,7,-94982,29305354
512,false,400000,lz4,1,1,7,0,-95253,30304961
8192,false,360000,lz4,1,2,10,0,-85139,31304637
1024,false,120000,snappy,0,2,5,2,-94404,32302507
2048,false,80000,zstd,4,256,9,9,-72732,33301081
16,false,80000,snappy,8,16,0,9,-93276,34301705
256,false,40000,lz4,0,128,1,10,-95739,35301985
1024,false,40000,lz4,128,2,1,10,-96800,36301126
1024,false,40000,snappy,8,2,0,6,-96247,37298882
2048,false,80000,snappy,8,2,5,0,-92054,38296426
1024,false,200000,snappy,0,256,1,12,-94757,39294764
4096,false,160000,lz4,2,2,5,6,-89354,40293451
1024,false,40000,lz4,0,128,0,10,-95120,41292257
256,false,0,lz4,4,1,10,7,-93237,42292647
1024,false,200000,lz4,128,2,9,11,-95654,43291013
256,false,0,lz4,8,256,4,11,-93474,44291028
32,false,200000,lz4,32,2,0,13,-92389,45291449
1,false,40000,lz4,64,2,1,6,-92022,46290754
1024,false,80000,lz4,1,256,0,1,-95789,47288705
16,false,80000,snappy,512,256,1,9,-91476,48289284
256,false,40000,snappy,32,1,5,2,-94101,49291511
1024,false,240000,lz4,0,1,2,11,-94652,50290174
