block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-80142,980330
1,true,320000,snappy,64,6,9,-707,2009214
32,true,0,snappy,2,9,3,-1061,3051232
16384,false,320000,zstd,128,0,7,-44126,4031037
64,true,280000,lz4,1,9,10,-918,5066724
2048,false,280000,snappy,64,7,10,-84564,6044703
2048,true,120000,lz4,256,3,4,-8905,7029344
32,true,320000,snappy,2,7,5,-696,8066642
1,false,200000,snappy,4,5,13,-78264,9049771
2048,false,360000,snappy,128,1,10,-84294,10029007
1,false,240000,snappy,32,9,11,-78583,11010719
8192,false,320000,snappy,64,2,12,-74967,11991442
1,false,360000,snappy,64,4,7,-78626,12972864
64,false,320000,snappy,256,8,7,-78976,13954592
2048,false,400000,snappy,8,2,6,-83870,14935079
256,false,360000,snappy,16,10,5,-82390,15915067
131072,true,160000,zstd,8,3,1,-12287,16899570
256,false,280000,snappy,2,4,10,-83841,17879685
2048,false,400000,snappy,32,0,9,-84517,18859745
128,false,360000,snappy,16,1,1,-77931,19843105
1,false,400000,snappy,1,2,10,-78986,20824538
2048,false,360000,lz4,32,7,10,-84640,21804291
2048,false,400000,lz4,32,0,9,-83821,22785218
256,false,80000,lz4,32,7,9,-82412,23768662
2048,false,360000,snappy,256,0,9,-84144,24748534
2048,false,400000,snappy,32,10,4,-83658,25729045
65536,false,360000,snappy,64,9,10,-44435,26709626
1024,false,360000,snappy,2,7,10,-86867,27690442
512,false,360000,zstd,2,6,10,-76261,28674533
2048,false,400000,zstd,128,7,6,-63868,29655380
1024,false,240000,snappy,2,5,6,-85646,30636179
1024,false,360000,snappy,64,9,10,-87124,31616284
512,false,360000,snappy,64,9,10,-85256,32597061
512,false,240000,snappy,2,4,5,-85676,33578405
32768,false,320000,snappy,8,2,2,-55453,34557140
1024,false,200000,snappy,2,3,1,-87206,35537323
1024,false,320000,snappy,2,9,7,-86363,36517353
1024,false,80000,snappy,2,3,4,-86428,37499330
1024,false,360000,lz4,128,9,10,-87021,38478686
512,false,160000,snappy,2,0,3,-85430,39459801
1024,false,360000,lz4,2,7,1,-87129,40440050
32,false,320000,lz4,2,9,1,-77204,41422688
8192,false,360000,snappy,2,6,0,-75561,42401876
1024,false,360000,lz4,4,7,1,-86988,43381444
1024,false,360000,lz4,16,8,1,-87118,44362192
1024,false,120000,lz4,4,1,1,-87647,45342166
1024,false,280000,lz4,256,8,10,-87445,46322476
1024,false,160000,zstd,256,1,8,-73462,47304183
16384,false,280000,lz4,8,5,1,-68343,48283714
1024,false,120000,lz4,64,9,1,-86829,49264392
1024,false,360000,snappy,256,9,10,-86330,50243363
1024,false,280000,snappy,2,2,1,-86869,51222598
4,false,160000,snappy,2,6,0,-78728,52205725
1024,false,360000,snappy,8,8,1,-87659,53185527
1024,false,160000,lz4,4,1,0,-87292,54167560
1024,false,40000,snappy,8,0,1,-87069,55147757
1024,false,160000,lz4,2,1,0,-86710,56130632
1024,false,360000,snappy,64,9,2,-87425,57111237
8192,false,360000,lz4,8,8,1,-76696,58090920
8,false,160000,lz4,2,6,3,-78385,59070856
1024,false,280000,snappy,16,2,2,-87811,60049091
1024,false,360000,snappy,8,7,0,-87887,61028878
1024,false,360000,snappy,64,7,10,-87423,62009217
1024,false,400000,snappy,64,8,2,-87292,62988247
1024,false,360000,snappy,256,7,0,-87196,63968821
1024,false,320000,snappy,8,2,2,-87041,64949994
128,false,360000,zstd,256,0,0,-68038,65942004
1024,false,40000,lz4,64,8,10,-86928,66922975
1024,false,360000,snappy,16,6,0,-87568,67901190
1024,false,80000,lz4,1,3,2,-87628,68880767
32,false,40000,snappy,256,2,0,-79767,69861759
1024,false,40000,lz4,1,3,2,-87090,70843291
8192,false,320000,snappy,256,8,0,-75466,71822931
16,false,0,lz4,256,10,12,-75522,72804480
32,false,120000,snappy,2,3,10,-78685,73785202
1024,false,360000,snappy,128,1,0,-86280,74765167
2048,false,320000,snappy,8,9,10,-84122,75744146
4,false,400000,snappy,256,2,0,-78332,76726807
65536,true,280000,lz4,1,2,10,-46100,77705411
8192,false,80000,lz4,4,0,2,-76539,78685627
1024,false,0,lz4,8,0,1,-86132,79666040
256,true,280000,zstd,32,9,9,-1350,80716396
1024,false,320000,snappy,16,2,0,-86963,81696466
1024,false,400000,snappy,128,6,0,-86694,82676082
16384,false,40000,snappy,64,9,1,-66660,83655662
131072,false,120000,lz4,2,0,15,-37267,84635634
1024,false,360000,snappy,128,7,14,-86777,85616958
1024,false,360000,lz4,256,3,15,-87164,86596770
1024,false,360000,lz4,256,4,15,-86697,87576838
1024,false,120000,lz4,2,0,2,-86852,88557975
1024,false,400000,lz4,256,3,15,-86806,89538534
16384,false,40000,lz4,1,4,14,-67907,90519798
1024,false,280000,lz4,128,0,9,-86670,91499818
128,true,320000,lz4,1,2,5,-1325,92559339
1024,false,320000,snappy,8,8,15,-86592,93539270
1024,false,280000,snappy,1,6,15,-86875,94519876
1024,false,120000,snappy,64,3,15,-86647,95500321
1024,false,400000,lz4,8,7,2,-87034,96480088
1024,false,40000,snappy,4,0,1,-86282,97460579
4096,true,160000,zstd,256,6,10,-5897,98450415
