block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
8,false,80000,zstd,1,4,4,8,5,9,134217728,-89426,90236533
128,false,80000,zstd,1,128,2,1,7,4,134217728,-71240,91265825
16,false,80000,zstd,1,16,512,2,9,2,268435456,-133575,92281850
1,false,80000,zstd,1,8,1024,1,10,2,268435456,-136738,93280132
262144,false,80000,zstd,1,8,16,128,9,1,134217728,-18515,94277469
1,false,0,zstd,1,1,1,1,10,0,134217728,-65330,95298526
16,false,280000,zstd,1,16,512,1,9,1,536870912,-97251,96310723
2048,false,80000,snappy,1,16,32,1,9,1,536870912,-94317,97317205
32768,false,80000,zstd,1,8,1024,64,9,2,268435456,-74932,98325663
1,false,40000,lz4,1,8,512,1,10,5,268435456,-99631,99333395
131072,false,160000,lz4,1,32,1024,2,10,9,268435456,-73340,100339311
1,false,40000,lz4,1,8,512,1,10,1,67108864,-122636,101345649
32,false,0,lz4,8,16,1024,1,10,1,33554432,-89597,102354623
