Throughput,Latency
99618,321.3096666666667  
30042,1064.107  
4118,7682.424333333333  
51119,625.6566666666666  
85076,376.08366666666666  
4074,7778.698666666667  
17153,1862.786  
53216,601.0006666666667  
110004,290.8523333333333  
72506,441.45433333333335  
111258,287.54999999999995  
110725,288.92333333333335  
111223,287.6556666666667  
77925,410.5506666666667  
108117,295.89000000000004  
113557,281.72066666666666  
113377,282.17233333333326  
113378,282.1623333333333  
113550,281.74966666666666  
113898,280.8793333333333  
308,96558.509  
87345,366.54733333333337  
113634,281.5316666666667  
113958,280.7463333333333  
114738,278.82033333333334  
113942,280.8156666666667  
114775,278.73533333333336  
112705,283.85366666666664  
112495,284.4026666666666  
111876,285.96900000000005  
112298,284.88266666666664  
109725,291.576  
112703,283.86333333333334  
108301,295.3966666666667  
112226,285.099  
107730,296.981  
110238,290.20033333333333  
112884,283.405  
120431,265.68233333333336  
120323,265.878  
112909,283.336  
55755,573.6196666666666  
112501,284.45099999999996  
121116,264.15166666666664  
113273,282.4316666666667  
112951,283.23499999999996  
120592,265.2943333333333  
96639,331.0556666666667  
112402,284.63466666666665  
119993,266.626  
120734,264.98866666666663  
24442,1308.0056666666667  
112775,283.7193333333333  
429,73021.38799999999  
13141,2431.4539999999997  
119241,268.311  
76395,418.8243333333333  
97084,329.5083333333334  
4489,7086.926666666666  
121009,264.3996666666667  
121107,264.18100000000004  
119859,266.92633333333333  
111897,285.9113333333333  
118767,269.38433333333336  
117870,271.4113333333333  
116534,274.538  
94861,337.25333333333333  
117773,271.6356666666666  
119687,267.3296666666667  
120213,266.135  
3867,8245.396666666667  
119828,266.98966666666666  
111756,286.2866666666667  
119019,268.80400000000003  
119754,267.15633333333335  
30254,1056.8573333333334  
4156,7653.485666666667  
118749,269.42766666666665  
118917,269.03066666666666  
118018,271.1223333333333  
118021,271.09766666666667  
115471,277.0763333333333  
84167,380.12466666666666  
117301,272.7683333333334  
38018,841.3046666666665  
3886,8210.123666666666  
117375,272.56300000000005  
118400,270.22499999999997  
94155,339.766  
21881,1460.7830000000001  
115638,276.6666666666667  
114976,278.23966666666666  
51041,626.6003333333334  
117087,273.22433333333333  
118023,271.084  
117371,272.6263333333333  
95502,334.981  
117436,272.42900000000003  
114744,278.82166666666666  
114340,279.801  
