block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,1,1,10,-105877,1000824
1024,true,360000,lz4,256,7,2,-4338,2016010
32,true,280000,lz4,64,2,3,-2826,3190004
16384,false,80000,snappy,2,1,9,-76767,4187555
131072,false,80000,snappy,2,1,9,-30415,5186909
32,false,360000,lz4,128,9,1,-110787,6185709
256,true,160000,zstd,256,5,6,-2467,7406478
131072,true,240000,snappy,16,8,7,-28593,8406134
4,false,80000,snappy,32,9,1,-112807,9406892
32,false,40000,zstd,256,8,1,-86293,10418743
32,false,320000,lz4,128,9,2,-107883,11422009
16,false,40000,lz4,256,9,2,-108210,12426920
1,false,120000,lz4,16,10,8,-109894,13430523
65536,false,40000,lz4,128,9,0,-44750,14434071
256,false,160000,snappy,16,9,1,-115378,15439518
4,false,120000,snappy,16,9,0,-110276,16445238
4,false,0,lz4,32,9,1,-104405,17447371
2048,false,160000,zstd,4,7,1,-72017,18449665
256,false,160000,snappy,16,10,12,-117617,19449952
512,false,40000,snappy,32,9,0,-119893,20449935
1024,false,40000,snappy,32,9,7,-119217,21450172
2048,false,0,snappy,128,9,6,-112833,22450645
16384,false,80000,snappy,32,9,0,-75917,23451376
2048,false,40000,snappy,32,9,0,-112575,24451714
8192,true,320000,lz4,32,7,2,-24175,25452010
4096,false,40000,snappy,2,10,11,-106344,26451873
256,false,80000,snappy,16,9,0,-117287,27451766
128,false,40000,snappy,16,8,9,-112778,28453518
512,false,80000,snappy,32,8,12,-119560,29455304
512,false,40000,snappy,32,7,14,-120585,30458151
512,false,80000,snappy,32,1,15,-120438,31456179
256,false,240000,snappy,32,7,12,-117129,32455447
512,false,40000,snappy,128,1,15,-120681,33455051
8192,false,40000,snappy,64,5,14,-95878,34457299
512,false,80000,snappy,8,9,9,-120492,35456722
1024,false,80000,snappy,2,7,14,-117593,36456321
512,false,40000,snappy,4,7,7,-119136,37456036
512,false,80000,snappy,4,5,9,-120599,38454893
512,false,280000,snappy,4,9,15,-120047,39454463
512,false,40000,snappy,2,1,14,-119542,40457336
512,false,80000,snappy,2,9,10,-120323,41456482
512,false,200000,snappy,16,2,14,-119632,42456251
256,false,160000,snappy,4,1,10,-118250,43455534
32,false,240000,zstd,32,3,3,-86854,44466754
512,false,80000,snappy,1,2,9,-119085,45466395
512,false,80000,snappy,8,1,9,-120693,46467437
256,false,200000,lz4,16,9,0,-117693,47467133
512,false,80000,snappy,2,1,9,-120913,48467541
512,false,0,lz4,32,10,15,-118192,49467427
512,false,80000,snappy,2,0,9,-120185,50467889
512,false,80000,snappy,2,2,9,-116382,51470279
8,false,360000,zstd,1,9,0,-84969,52485428
1024,false,160000,snappy,2,1,9,-116830,53492100
512,false,40000,snappy,2,1,9,-115699,54497640
32,true,320000,lz4,256,3,0,-406,55678971
512,false,80000,lz4,256,1,10,-115652,56684750
512,false,280000,lz4,1,3,0,-115111,57687575
1024,false,40000,lz4,128,7,12,-113671,58694105
512,false,280000,snappy,256,1,15,-115893,59699806
1024,false,40000,lz4,32,9,0,-113768,60705402
4096,true,280000,lz4,2,7,6,-14035,61710710
2048,false,400000,snappy,2,4,7,-110271,62712552
512,false,80000,snappy,2,1,15,-116594,63717091
2048,false,40000,lz4,16,7,15,-108046,64721927
1024,false,320000,snappy,256,2,3,-116150,65730045
512,false,40000,snappy,128,2,0,-115866,66736049
8192,false,0,lz4,256,10,0,-90721,67737292
1024,false,80000,snappy,2,0,9,-116238,68739202
4096,false,200000,snappy,2,9,9,-102823,69744856
4096,false,280000,lz4,1,2,10,-101876,70750415
512,false,80000,snappy,2,10,5,-117157,71753519
256,false,0,lz4,256,10,10,-111037,72758128
512,false,80000,snappy,1,1,9,-116346,73763494
512,false,80000,snappy,4,4,2,-118176,74765495
256,false,80000,snappy,2,1,9,-113624,75771505
256,false,80000,lz4,128,0,0,-113089,76777254
1024,false,0,lz4,128,7,0,-113905,77782185
8192,false,240000,snappy,1,3,15,-91689,78785149
256,false,200000,lz4,256,1,12,-112388,79789664
512,false,0,snappy,8,4,15,-115852,80792917
512,false,240000,snappy,8,9,8,-116339,81795315
512,false,40000,snappy,128,9,0,-116902,82800026
64,false,200000,lz4,1,6,0,-107140,83805818
512,false,80000,lz4,16,9,0,-115693,84810464
512,false,280000,snappy,1,9,10,-116284,85813634
512,false,240000,snappy,4,9,15,-116446,86820389
4096,false,40000,snappy,1,3,5,-104394,87823899
256,false,280000,lz4,1,9,15,-113406,88829860
8192,false,280000,snappy,1,0,0,-94479,89831093
2048,false,200000,lz4,16,9,0,-109702,90832667
4096,false,400000,snappy,4,8,3,-103036,91836505
8192,false,320000,snappy,4,3,9,-96120,92836835
512,false,80000,snappy,1,0,9,-119860,93837575
512,false,40000,lz4,2,8,0,-119219,94839494
512,false,400000,lz4,8,10,0,-114504,95841722
8,false,0,snappy,128,2,14,-97922,96856652
2048,false,80000,snappy,64,1,10,-102935,97868916
512,false,40000,lz4,128,8,0,-109809,98882479
16384,false,80000,lz4,2,7,7,-66055,99894295
256,false,40000,lz4,2,10,7,-113113,100900183
