block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_slowdown_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,Throughput,Timestamp
4096,false,0,snappy,0,1,1,10,-176261,998470
262144,true,80000,zstd,128,1,0,6,-8752,2001547
4,false,0,snappy,256,1,0,7,-184001,3001720
64,true,200000,lz4,256,32,1,9,-2863,4133497
8192,true,400000,snappy,1,64,6,2,-35119,5131723
256,false,280000,snappy,0,2,3,10,-193490,6129780
4096,false,40000,lz4,0,4,8,9,-173815,7128550
512,false,280000,lz4,16,1,6,9,-198946,8128164
2048,false,40000,snappy,0,2,1,6,-184867,9124350
256,true,200000,zstd,512,128,7,3,-4116,10290915
131072,false,0,snappy,8,64,3,9,-39794,11290833
262144,true,0,snappy,256,2,6,8,-22955,12291527
8192,true,0,lz4,32,256,1,2,-52168,13292548
262144,false,360000,lz4,2,2,2,2,-28775,14293826
262144,false,120000,snappy,0,1,0,1,-25058,15294454
1,false,240000,lz4,2,2,1,11,-175221,16296796
8,false,280000,zstd,1024,8,0,9,-157630,17302917
256,false,360000,snappy,8,1,3,5,-192209,18301981
256,false,280000,lz4,64,1,3,4,-190520,19302067
16,false,400000,snappy,16,1,7,3,-185175,20303548
256,false,280000,lz4,256,1,2,10,-168261,21307115
64,false,280000,lz4,4,32,3,7,-169586,22312612
512,false,280000,snappy,64,1,3,2,-178848,23317376
4,false,360000,lz4,2,2,3,2,-168069,24320893
512,false,360000,snappy,8,32,3,7,-169297,25329399
256,false,240000,zstd,0,1,3,0,-150221,26343420
32,false,0,snappy,128,32,3,9,-154165,27352091
256,false,280000,zstd,4,1,4,5,-159645,28361196
8192,false,200000,lz4,16,1,3,15,-151497,29361239
256,false,40000,snappy,1,1,0,1,-187768,30362306
512,true,40000,lz4,4,8,4,3,-4169,31391418
128,false,320000,lz4,32,1,1,1,-176751,32394891
256,false,40000,snappy,32,8,1,5,-186016,33396806
4096,false,40000,snappy,8,1,2,1,-164062,34398315
256,false,240000,snappy,1,2,3,1,-179560,35404207
256,false,360000,snappy,0,2,0,2,-184571,36411450
1024,false,0,snappy,4,1,8,11,-180486,37414546
256,false,240000,snappy,64,256,6,6,-172193,38418971
1024,false,320000,lz4,64,8,3,4,-189318,39421465
32,false,40000,snappy,16,256,1,5,-176247,40422076
2048,false,400000,lz4,16,1,5,9,-173249,41429057
128,false,320000,snappy,2,8,0,2,-174165,42434838
256,false,280000,lz4,1,2,2,2,-178778,43436375
262144,true,160000,lz4,64,128,0,8,-28015,44439556
512,false,200000,lz4,32,1,6,9,-178080,45442866
1024,false,120000,snappy,0,256,1,7,-183911,46446122
512,false,320000,lz4,0,1,1,5,-179780,47452278
16384,false,40000,lz4,4,2,3,2,-110187,48454307
4096,false,320000,lz4,16,256,3,5,-158890,49457253
64,false,0,snappy,0,64,0,1,-173047,50464874
