block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,0,32,1,1,10,67108864,-77190,985538
16,false,200000,lz4,32,128,32,1,0,7,4194304,-42504,1969916
1024,false,320000,zstd,8,256,16,16,4,10,2048,-28134,2964395
1,true,280000,lz4,4,256,2,16,3,0,32768,-2578,3975315
1,false,200000,snappy,4,1024,512,128,6,7,16384,-28035,4969084
32768,false,200000,snappy,256,4,16,4,7,3,33554432,-47013,5953475
131072,true,40000,snappy,256,4,8,8,4,2,16384,-8931,6949895
1,true,160000,snappy,16,32,32,32,3,7,128,-2461,7969595
512,false,200000,snappy,32,256,512,128,6,6,32768,-32258,8962264
16,true,120000,lz4,16,16,128,32,2,3,32768,-715,10022862
8,false,0,zstd,32,4,128,2,2,6,262144,-2350,11050927
4096,true,400000,lz4,4,2,2,8,7,3,1024,-717,12105511
8,false,0,zstd,32,1024,32,128,1,12,536870912,-69399,13127855
16,false,40000,zstd,2,0,1024,256,1,9,2097152,-1822,14147414
1,false,40000,lz4,256,1,1,32,2,12,268435456,-75600,15134485
1,false,80000,zstd,128,128,4,256,7,11,67108864,-63967,16138787
8,true,120000,zstd,8,4,2,4,9,15,536870912,-1652,17161429
4,false,0,snappy,64,1,4,4,2,15,1073741824,-79182,18148371
32768,false,0,snappy,16,0,4,1,1,9,268435456,-73553,19134730
4,true,0,snappy,64,32,1024,4,1,9,512,-1311,20149518
4,false,0,snappy,8,0,2,16,9,14,536870912,-75118,21137042
131072,false,200000,lz4,32,8,4,16,2,1,512,-5565,22137208
4,false,160000,snappy,128,4,64,4,4,15,1073741824,-79955,23123183
65536,false,120000,snappy,128,1,64,1,9,15,1073741824,-75641,24109233
8192,false,0,snappy,8,2,1,4,3,9,1073741824,-84038,25099184
256,false,0,zstd,256,4,1024,16,8,14,1073741824,-77224,26091997
8192,false,40000,snappy,1,4,256,4,4,12,1073741824,-86071,27078875
32,false,120000,zstd,64,4,64,16,2,8,1073741824,-75362,28076303
128,false,0,lz4,1,0,512,8,10,11,1073741824,-81117,29062787
16,false,200000,zstd,32,4,8,64,0,10,131072,-1357,30088290
1,false,80000,snappy,4,2,1,4,10,9,1073741824,-79788,31074728
64,true,320000,snappy,16,16,64,16,6,8,268435456,-4015,32068788
8192,false,40000,snappy,1,4,1024,4,4,12,1073741824,-85874,33053855
4,false,0,zstd,1,0,256,32,7,5,1073741824,-74445,34050343
