shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
7680,5120,2.0,200,64,1,4,4,5,0.9,2016383,1536,9728,50,300,115,1000,-282.91526667438296,110763765
8192,17408,2.5,200,20,16,8,10,10,0.9,6291456,512,512,50,300,115,1000,-0.0,112624103
4096,12288,3.5,400,32,16,4,4,10,0.9,6291456,3584,2560,500,500,100,500,-299.3977464964793,114226813
7680,11264,1.1,200,4,2,8,10,5,0.9,2016383,1024,512,50,150,75,1000,-324.2680710686412,116323582
4608,14336,1.5,200,4,1,8,10,10,0.9,1048576,1024,512,50,150,115,1000,-142.35665676552392,118287702
4096,35840,7.5,200,20,8,8,10,5,0.9,1572864,512,2560,50,300,100,8000,-120.4399757845392,120828810
7680,11264,1.1,200,24,2,8,4,10,0.9,2016383,1024,512,50,200,75,1000,-143.61327956069178,123451605
5632,11264,2,1,24,8,8,10,10,0.9,524288,2560,9728,1500,150,85,500,-76.11657400602843,126058386
6144,14336,2,1,32,1,8,10,10,0.9,524288,2560,512,100,150,95,500,-107.85166473971692,128590521
2048,12288,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,200,85,500,-170.7148970466825,131168665
1024,13312,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-77.55333276977912,133592278
4096,17408,2.0,1,32,8,8,4,10,0.9,2016383,1024,512,100,300,100,500,-140.396023384426,135602689
2048,14336,2.0,1,32,2,8,4,10,0.9,2016383,2560,512,100,150,95,500,-203.3943870384154,138053422
6144,6144,0.1,100,16,1,4,10,10,0.9,1048576,1024,1536,1500,200,85,1000,-249.42270807809237,140400640
8192,30720,0.1,300,8,8,4,4,10,0.9,524288,1536,6656,100,500,95,6000,-0.0,142334600
2048,14336,0.5,1,32,8,8,4,10,0.9,1572864,1024,512,100,150,85,500,-259.92808034186703,143881051
2048,14336,2.0,1,32,8,8,4,10,0.9,1572864,2560,512,100,150,85,1000,-303.08833711100175,146360428
768,12288,2.0,200,24,4,8,4,10,0.9,3145728,10752,15872,2000,500,100,1000,-89.2213421977601,148490411
1792,14336,2.0,1,32,8,8,4,10,0.9,3145728,2560,512,100,150,85,500,-215.49600303526634,150388063
