shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
6656,25600,8.0,400,20,1,4,10,5,0.9,524288,2560,512,50,500,125,3000,-1001.9632181042234,189214599.0
896,10240,3.5,300,64,8,4,4,5,0.9,2016383,12800,12800,2000,500,75,1000,-889.778271175045,192375136.0
5632,40960,3.0,1,8,8,8,4,10,0.9,8388608,512,11776,500,300,85,3000,-1010.6094069316849,195138448.0
3584,15360,1.0,300,20,2,4,4,10,0.9,2016383,12800,14848,500,150,75,8000,-980.0960151837774,197963773.0
4096,6990,1.1,300,8,2,4,4,5,0.9,2016383,1024,8192,100,200,100,1000,-1071.3915174202268,201233137.0
1536,12288,3.5,200,8,1,4,4,5,0.9,4194304,12800,512,500,500,85,1000,-1007.2638801945266,204319894.0
3584,46080,3.5,1,16,4,4,4,5,0.9,524288,14848,10752,100,200,95,1000,-1109.1064902374003,207696842.0
896,27648,6.5,100,16,16,4,4,5,0.9,524288,7680,4608,100,500,95,6000,-989.617326464981,210968265.0
3584,51200,3.0,1,64,8,8,4,5,0.9,2016383,10752,2560,100,250,95,3000,-1024.3866147740969,214329128.0
3072,5120,5.0,200,16,1,8,10,5,0.9,4194304,5632,15872,500,500,85,6000,-996.3899783401425,217177036.0
3584,5120,3.0,1,16,2,4,4,10,0.9,3145728,12800,2560,2000,150,75,6000,-1122.2567087976681,220167360.0
5120,4096,0.1,1,64,1,4,4,10,0.9,3145728,12800,512,2000,200,75,8000,-1071.4897565646706,223143118.0
4096,25600,7.0,100,8,4,4,10,5,0.9,1572864,12800,3584,100,200,115,500,-1069.2850386801865,226353816.0
3072,6990,4.0,200,64,1,4,10,5,0.9,1048576,9728,13824,50,300,75,3000,-1052.8946940603887,229426136.0
4096,11264,1.0,200,32,8,8,10,5,0.9,524288,512,512,2000,150,85,1000,-1071.4792096515698,232449671.0
4096,19456,7.0,100,20,1,4,10,10,0.9,6291456,3584,512,100,200,75,6000,-1055.629822676658,235905923.0
1024,9216,8.0,100,4,2,8,4,10,0.9,2016383,12800,2560,2000,200,95,1000,-1012.0541331219886,239069692.0
3584,6144,4.5,300,64,2,4,4,5,0.9,8388608,13824,12800,2000,150,115,3000,-1056.012277129214,242139769.0
3584,9216,3.0,200,8,16,4,10,10,0.9,3145728,9728,8192,1500,150,75,1000,-1036.531210159563,245255599.0
2048,13312,1.0,200,64,1,4,4,10,0.9,4194304,9728,1536,100,500,75,500,-1047.0899088291249,248641811.0
1024,10240,3.0,300,24,8,4,4,10,0.9,2016383,13824,10752,2000,250,75,6000,-1035.5039917558663,251743909.0
3072,5120,4.0,200,16,1,8,4,5,0.9,4194304,5632,15872,500,300,85,6000,-993.5778182592805,254960311.0
6144,5120,4.5,1,8,4,8,4,10,0.9,2016383,12800,3584,1500,200,100,6000,-952.7936916598551,258241436.0
3072,27648,0.5,400,20,1,4,4,10,0.9,4194304,9728,5632,500,500,100,500,-1009.2004381446428,261499248.0
5120,11264,0.5,300,8,8,4,4,10,0.9,6291456,1536,512,1000,150,85,8000,-1060.2347632637138,264799051.0
4096,5120,2.5,1,8,1,4,4,5,0.9,2016383,1536,9728,100,200,100,6000,-905.0952616096872,268601062.0
5120,13312,5.0,200,32,16,4,4,10,0.9,1572864,1536,15872,500,150,95,500,-1047.1733736800654,271822495.0
3584,14336,2.5,400,64,1,4,4,5,0.9,6291456,14848,5632,50,200,75,8000,-972.1182865773569,275047254.0
3584,4096,8.0,200,16,2,4,4,5,0.9,3145728,11776,15872,500,250,85,6000,-1027.4545111710108,278504773.0
3584,5120,3.0,1,16,2,4,4,5,0.9,3145728,12800,3584,2000,150,75,6000,-1028.4216043374613,281738464.0
1792,35840,6.5,1,16,1,8,4,5,0.9,4194304,512,6656,1000,200,75,8000,-1089.1847503160693,285033996.0
4096,6990,4.5,1,20,8,8,4,5,0.9,3145728,3584,1536,100,300,125,6000,-823.4557645531958,288337714.0
3584,8192,2.0,200,24,16,4,4,5,0.9,2016383,3584,8192,100,200,100,1000,-1025.7240885822669,291599483.0
4608,12288,4.0,1,32,2,8,4,10,0.9,524288,4608,1536,100,200,115,500,-1081.3285029588037,295042846.0
1024,46080,3.5,100,16,4,4,4,5,0.9,524288,6656,10752,1000,250,100,500,-995.4921533338384,298216402.0
1536,5120,2.0,1,24,1,8,4,10,0.9,4194304,11776,1536,1000,150,85,3000,-1067.9728415905784,301440391.0
1280,13312,2.5,1,20,1,4,4,5,0.9,3145728,13824,11776,1000,200,115,8000,-1008.3774643077196,304641928.0
768,6144,2.5,1,4,16,4,10,10,0.9,8388608,7680,512,50,250,100,500,-1008.9498828693265,308285130.0
3072,35840,6.0,300,20,8,8,4,10,0.9,3145728,1024,2560,500,200,100,3000,-1010.286872456237,311381889.0
3584,35840,3.5,1,16,16,8,4,5,0.9,524288,14848,512,100,200,115,8000,-973.2913645866287,314598165.0
3584,6990,6.0,1,32,4,4,4,10,0.9,3145728,10752,7680,2000,200,85,3000,-1097.0651863605513,317735904.0
3584,5120,6.0,1,24,2,8,4,10,0.9,3145728,512,2560,1500,250,75,8000,-1060.9546446155593,320965439.0
2560,9216,0.5,1,16,8,4,4,10,0.9,3145728,3584,13824,1500,200,125,6000,-1099.6329258350293,324286114.0
4608,11264,0.1,1,64,2,4,10,10,0.9,6291456,1024,7680,1500,150,75,6000,-999.4446691102122,327684268.0
2048,7168,1.5,1,8,8,4,4,10,0.9,3145728,13824,6656,2000,300,75,500,-1045.5575792109887,330826308.0
4096,35840,1.5,1,20,1,4,4,10,0.9,1572864,8704,11776,100,250,125,1000,-1036.7930428466395,334126162.0
2560,7168,3.0,100,16,2,8,10,10,0.9,3145728,512,9728,1000,250,95,3000,-984.6781641253727,337329885.0
