shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
5120,5120,4.5,400,4,16,8,10,5,0.9,524288,512,3584,2000,300,100,8000,-1089.535115702534,681608871.0
4096,6990,8.0,1,32,4,4,10,10,0.9,8388608,2560,11776,1000,300,75,3000,-1061.3207956760866,684340727.0
2048,14336,1.1,200,24,4,4,4,5,0.9,2016383,2560,4608,2000,150,125,6000,-1100.7539843841214,687235078.0
2048,27648,5.5,1,64,4,4,4,10,0.9,1572864,13824,9728,1500,200,85,3000,-1150.001680492805,689775464.0
1280,46080,4.0,1,64,4,4,4,10,0.9,1572864,14848,9728,1500,300,85,3000,-1091.4711891953327,692239797.0
1280,46080,8.0,1,64,8,4,10,10,0.9,524288,12800,7680,2000,500,115,1000,-1046.484997880868,694772946.0
1280,25600,5.5,1,64,2,4,4,10,0.9,2016383,13824,1536,2000,200,75,6000,-1088.1841221092732,697286779.0
2048,27648,5.5,1,64,4,4,4,10,0.9,1572864,13824,9728,1500,200,75,3000,-1097.152837860804,699970434.0
5120,17408,1.1,400,64,8,4,10,10,0.9,1572864,512,2560,50,150,100,1000,-1102.125567979128,702498223.0
4096,27648,8.0,1,32,4,4,4,5,0.9,1572864,2560,3584,2000,300,115,1000,-1040.2996769748136,705193603.0
6144,10240,1.0,300,64,4,4,10,10,0.9,1048576,512,2560,1500,300,100,500,-1130.2023764945832,707875751.0
5120,21504,1.0,300,64,4,4,4,10,0.9,2016383,9728,2560,1500,500,125,500,-1087.2583134954873,710456430.0
7168,29696,1.1,300,64,8,4,4,10,0.9,1048576,512,2560,1500,300,95,500,-1065.6737474909307,712875612.0
5632,10240,2.0,300,64,4,4,10,10,0.9,1048576,512,1536,50,250,100,3000,-1104.9388738764637,715478501.0
2048,9216,0.1,400,64,4,4,4,10,0.9,1048576,512,9728,1500,500,85,500,-1141.4654729810509,718300250.0
2048,9216,0.1,400,64,4,4,4,10,0.9,1572864,512,9728,2000,500,85,500,-1118.0198017164691,720952470.0
1536,19456,1.1,400,64,4,4,4,10,0.9,1572864,512,8704,2000,500,85,500,-1059.6932763462555,723875983.0
3072,6990,0.1,400,64,4,4,10,10,0.9,2016383,512,6656,2000,500,100,500,-1084.5764347318036,726806660.0
2048,25600,6.5,200,64,8,8,4,10,0.9,1572864,3584,8704,1500,150,125,6000,-1107.8037492858737,729358445.0
2048,9216,0.5,400,64,16,4,10,10,0.9,524288,512,9728,2000,500,75,500,-1027.5795921605104,732080255.0
2048,10240,2.0,200,64,4,4,10,10,0.9,1048576,1024,10752,1000,300,100,6000,-1069.568653896306,734451676.0
2048,9216,0.1,400,64,4,4,4,10,0.9,2016383,512,9728,1500,500,85,500,-1132.8210806120678,737038215.0
4096,27648,6.5,300,64,4,4,4,10,0.9,1048576,4608,512,2000,150,75,1000,-1062.3674423996285,739780736.0
6144,10240,1.0,300,24,4,4,10,10,0.9,1048576,512,2560,1500,300,115,500,-1094.706253517343,742237204.0
3584,4096,7.5,1,4,8,8,10,5,0.9,8388608,7680,8192,2000,200,75,500,-1058.8814081107694,744682241.0
7168,15360,4.0,1,64,16,4,4,10,0.9,2016383,6656,5632,100,150,75,1000,-1087.684803183435,747289260.0
6144,35840,5.5,400,64,8,4,10,5,0.9,2016383,512,8704,50,150,85,6000,-1110.5682316469772,749763843.0
1280,9216,1.5,400,64,4,4,4,10,0.9,1048576,512,9728,1500,500,85,500,-1003.3603633444664,752371301.0
4608,29696,5.5,1,64,16,8,4,10,0.9,2016383,13824,9728,2000,150,75,3000,-1043.8901015396198,754851431.0
6656,9216,1.0,400,32,4,4,4,10,0.9,2016383,512,1536,2000,150,125,500,-1116.0761884307306,757367039.0
6144,9216,5.5,400,64,8,4,10,5,0.9,8388608,3584,8704,1500,200,115,3000,-1081.7078966785234,760091091.0
2048,29696,5.5,400,64,8,4,10,5,0.9,2016383,512,8704,50,150,85,6000,-1117.1974022589263,762671043.0
2048,35840,1.1,400,32,4,8,4,5,0.9,1048576,512,1536,100,500,125,1000,-1164.602459762373,765120552.0
2048,35840,1.1,400,32,4,8,4,5,0.9,1048576,512,1536,100,500,100,1000,-1083.2144483441564,767695336.0
2048,7168,5.5,400,24,4,4,10,10,0.9,2016383,512,512,100,500,125,6000,-1030.6129472098917,770197618.0
2048,27648,1.1,400,64,4,4,4,10,0.9,1572864,512,1536,50,500,125,1000,-1085.0331608742174,772755385.0
2048,51200,0.1,400,64,4,4,10,10,0.9,2016383,512,10752,500,150,85,1000,-1149.7075619063858,775368355.0
5632,40960,1.5,400,24,4,4,4,10,0.9,8388608,512,11776,500,300,85,6000,-987.0010229606262,777914147.0
2048,46080,0.5,400,24,4,8,4,5,0.9,1048576,512,1536,100,150,125,1000,-1107.9474010137753,780422047.0
2048,35840,0.1,300,32,4,4,4,10,0.9,2016383,512,7680,1500,300,85,6000,-1125.486417975729,783157877.0
2048,30720,0.1,200,64,4,4,10,10,0.9,1048576,512,9728,100,500,85,8000,-1081.8177104873048,785834437.0
2048,35840,0.1,400,32,4,4,10,10,0.9,2016383,512,7680,2000,300,85,500,-1056.9962812276876,788618709.0
7168,9216,6.0,400,32,16,8,10,10,0.9,1048576,512,14848,1000,500,125,6000,-1108.2210860150915,791326502.0
1536,19456,3.0,1,16,16,4,10,10,0.9,1048576,7680,5632,100,200,115,1000,-1148.9312995429038,793828088.0
2048,46080,0.1,400,24,4,4,10,5,0.9,2016383,512,10752,500,150,85,1000,-1072.6990258730755,796002069.0
2048,29696,0.5,400,32,8,8,4,5,0.9,1048576,512,1536,100,500,125,1000,-1141.7598001537926,798136716.0
2048,51200,0.5,400,64,4,4,10,10,0.9,2016383,512,10752,500,150,85,1000,-1141.086767980996,800260706.0
5632,51200,1.1,400,24,16,4,10,10,0.9,1572864,512,10752,2000,500,85,1000,-1184.2795922485889,802288120.0
7168,51200,0.1,400,64,16,4,10,10,0.9,3145728,512,1536,50,250,125,6000,-1115.966875895473,804523883.0
5120,51200,0.5,300,24,16,4,4,10,0.9,1572864,512,10752,1000,500,85,500,-1113.5872001856537,806872586.0
1792,51200,1.1,400,24,4,4,4,10,0.9,6291456,512,6656,50,500,75,8000,-1147.0030806829648,809028680.0
1792,51200,0.5,300,64,8,8,10,10,0.9,8388608,512,1536,2000,250,75,1000,-1151.9532247298303,811149045.0
6656,51200,1.1,400,32,16,4,10,10,0.9,1048576,8704,11776,2000,300,125,8000,-1148.4770660819224,813289182.0
896,6990,6.0,300,64,2,8,10,5,0.9,1572864,5632,4608,2000,150,115,500,-1123.0375158743254,815410739.0
1280,51200,1.1,1,64,1,4,10,10,0.9,1048576,512,10752,2000,500,85,1000,-1089.9236565642814,817563141.0
1024,5120,4.0,300,8,2,4,10,10,0.9,1572864,4608,10752,100,300,100,8000,-1112.4057023777837,819591539.0
1024,51200,1.1,400,24,4,8,4,5,0.9,4194304,8704,9728,2000,200,95,3000,-1119.4726936554414,821707814.0
2048,51200,1.1,300,64,4,4,10,5,0.9,1048576,9728,14848,2000,500,75,1000,-1068.6049463053362,823978546.0
1792,51200,1.1,400,64,8,8,10,10,0.9,8388608,512,1536,2000,300,75,500,-1134.5078255720398,826074075.0
5632,19456,1.0,200,32,2,8,4,10,0.9,1048576,10752,7680,1500,250,125,3000,-1098.0847915785707,828248706.0
5632,51200,1.1,400,24,16,4,4,10,0.9,1572864,512,10752,2000,500,75,1000,-1151.9965823610785,830396075.0
5632,51200,1.5,400,24,16,4,4,10,0.9,1572864,512,11776,2000,500,75,1000,-1170.5619211342657,832550469.0
5632,51200,3.0,400,24,16,4,10,10,0.9,1572864,512,10752,2000,500,85,1000,-1165.1067855511078,834683972.0
5632,51200,1.1,400,24,16,4,4,10,0.9,1572864,512,10752,2000,500,75,500,-1143.1129200543305,836980517.0
4096,13312,4.5,200,16,8,4,10,10,0.9,3145728,1536,13824,500,500,100,1000,-1125.0053263501943,839073382.0
5632,29696,1.1,300,20,4,4,10,5,0.9,524288,1536,10752,2000,200,125,3000,-1104.186457752065,841338106.0
6144,51200,1.5,300,24,8,4,10,10,0.9,4194304,2560,4608,1500,500,85,3000,-1052.3977319098587,843545815.0
3584,51200,1.5,400,64,2,4,10,10,0.9,2016383,512,12800,100,200,75,500,-1127.340927366995,845833153.0
1536,51200,0.1,400,16,8,4,10,10,0.9,524288,512,7680,100,500,125,1000,-1122.31159961993,848165809.0
5632,51200,1.1,400,16,16,4,10,10,0.9,524288,512,8192,2000,500,85,8000,-1148.2521025158355,850250272.0
4096,51200,2.0,400,8,16,8,10,10,0.9,524288,1024,11776,2000,500,85,1000,-1090.4883043468767,852286527.0
896,51200,7.5,300,32,16,4,4,5,0.9,524288,5632,512,50,250,75,500,-1122.8093658391417,854475897.0
5632,51200,6.0,400,20,4,4,4,10,0.9,1572864,512,1536,2000,500,85,1000,-1137.8002823579066,856537423.0
1280,51200,3.5,400,20,16,4,4,10,0.9,6291456,512,1536,500,500,85,1000,-1103.3386525542696,858734851.0
4608,51200,3.0,400,20,16,4,4,10,0.9,1572864,512,9728,2000,500,85,1000,-1115.32884393377,860853117.0
5632,51200,1.5,400,24,16,4,4,5,0.9,1572864,512,11776,2000,500,75,1000,-1162.9282354419108,863129182.0
1792,51200,0.5,300,64,8,8,4,10,0.9,8388608,512,1536,100,150,75,1000,-1161.9234349303715,865311220.0
5632,51200,6.0,200,24,8,4,10,10,0.9,1572864,512,11776,2000,150,95,6000,-1070.7885356956888,867593019.0
2560,51200,1.0,1,4,4,4,10,5,0.9,2016383,11776,4608,1500,300,85,1000,-1105.2448697882983,869638780.0
5632,51200,3.0,400,24,1,8,10,10,0.9,1572864,512,10752,2000,500,85,1000,-1096.127523678738,872096872.0
5632,51200,1.5,400,20,16,4,10,10,0.9,1572864,512,10752,2000,150,85,1000,-1021.6124523636221,874667472.0
5632,51200,1.0,400,24,16,4,4,10,0.9,1572864,1024,11776,2000,150,85,1000,-1090.8594124637837,877470574.0
896,12288,5.5,400,16,1,4,10,5,0.9,2016383,10752,11776,2000,150,75,1000,-1057.5993618864595,880286915.0
5632,51200,1.5,1,24,16,8,4,10,0.9,1572864,512,11776,2000,500,75,1000,-1092.9009028584137,882487102.0
5632,51200,1.5,400,32,16,4,4,10,0.9,1572864,512,10752,1500,500,85,1000,-1037.602869337379,885252702.0
5120,7168,0.5,1,8,4,8,10,5,0.9,4194304,9728,14848,1500,200,100,1000,-1116.1345931547253,887894281.0
640,11264,1.1,300,32,8,4,4,5,0.9,3145728,14848,15872,1500,300,115,8000,-1006.4549222127765,890844426.0
5632,51200,1.1,400,20,16,4,10,10,0.9,1572864,512,8704,1500,500,85,3000,-1090.6655734471178,892913846.0
2048,51200,1.1,300,24,4,4,10,10,0.9,2016383,512,10752,500,150,75,500,-1062.814743731376,895486095.0
2048,29696,1.1,400,32,4,8,4,5,0.9,2016383,512,1536,100,500,125,1000,-1104.8910614424178,898174216.0
2560,51200,7.0,400,20,4,4,4,10,0.9,1048576,5632,3584,2000,300,115,1000,-1059.8730591653705,900989891.0
1536,51200,0.5,300,64,8,8,10,10,0.9,2016383,512,1536,2000,300,75,1000,-1100.3177814235278,903708233.0
1024,51200,1.1,400,24,16,4,10,10,0.9,1048576,2560,4608,2000,500,95,8000,-1001.1149924365762,906352286.0
5632,51200,1.5,400,24,16,4,4,5,0.9,1572864,512,11776,2000,150,75,1000,-1090.4404752895687,908982569.0
5632,46080,1.5,400,24,16,4,10,10,0.9,1572864,512,11776,2000,500,75,1000,-1109.4614501774538,911843661.0
1792,51200,0.5,300,64,16,4,10,10,0.9,4194304,512,1536,2000,500,85,500,-1072.4346708751618,914644864.0
2048,35840,1.0,400,64,4,8,4,5,0.9,1048576,512,1536,100,500,125,1000,-1051.3196804401894,917150841.0
5632,51200,1.1,400,24,16,4,10,10,0.9,1572864,512,8704,2000,500,85,1000,-1151.0004546298585,919543578.0
6656,51200,1.5,400,24,16,4,4,10,0.9,1572864,1024,11776,2000,500,75,8000,-1068.6645135959977,922734728.0
5632,51200,1.1,400,64,16,4,4,10,0.9,1572864,512,10752,2000,500,85,1000,-1100.669016809056,925272279.0
1280,51200,1.0,200,16,16,8,4,5,0.9,3145728,4608,13824,50,150,125,3000,-1014.2611380603049,928039954.0
1792,46080,4.5,300,32,4,4,10,5,0.9,6291456,512,1536,100,150,75,1000,-1083.5267574063419,930696939.0
1280,51200,4.0,400,4,4,8,4,5,0.9,2016383,512,3584,500,500,75,6000,-1134.0713388458498,933281262.0
7168,12288,6.5,100,16,4,4,10,5,0.9,524288,13824,9728,50,300,100,3000,-1126.126482659476,936265351.0
2560,51200,0.5,400,16,4,4,4,10,0.9,2016383,512,12800,100,200,100,8000,-1128.999671227769,938384800.0
1792,51200,0.5,300,16,8,4,10,10,0.9,8388608,512,1536,2000,500,75,500,-1126.3716766041587,940862265.0
2048,35840,1.1,400,32,8,8,4,5,0.9,1048576,1536,1536,100,150,125,6000,-1141.3338828634855,943480173.0
1536,7168,4.0,1,8,16,8,10,10,0.9,1048576,1536,9728,500,250,125,3000,-1024.358228442255,946147132.0
1280,6990,6.0,400,32,4,4,4,10,0.9,8388608,3584,2560,1000,200,115,500,-1086.5546956352441,948676913.0
1536,51200,4.5,400,20,4,4,4,10,0.9,8388608,512,6656,50,300,75,8000,-1116.841770610685,950953328.0
2048,30720,0.5,400,32,4,4,4,5,0.9,1048576,1536,1536,100,500,125,1000,-1059.9809463654476,953416920.0
1792,51200,0.5,300,64,8,8,4,10,0.9,8388608,512,1536,100,150,75,500,-1131.0015168730558,956127929.0
5632,51200,0.5,400,24,2,4,10,10,0.9,1572864,512,10752,2000,500,85,1000,-1089.351094641059,959207606.0
2048,35840,1.0,400,32,8,8,10,5,0.9,2016383,1536,3584,2000,250,125,3000,-1058.210905137687,961986801.0
3072,46080,1.0,300,64,8,8,4,10,0.9,8388608,512,1536,100,150,75,1000,-1122.1316293185323,964748527.0
7168,6990,7.5,200,20,8,4,10,5,0.9,2016383,2560,12800,1000,300,115,6000,-1122.2421777280883,967269551.0
5632,29696,1.1,400,24,16,4,4,10,0.9,1572864,512,10752,2000,500,75,1000,-1159.5765421440492,969872475.0
5632,51200,1.1,400,24,16,4,4,10,0.9,1572864,512,8704,2000,500,75,500,-1098.2735126233465,972683406.0
5632,30720,1.0,400,24,16,4,4,5,0.9,1572864,512,9728,2000,500,75,1000,-1120.125950408057,975280433.0
2048,15360,0.5,400,32,16,8,4,10,0.9,2016383,512,1536,1500,300,125,500,-1119.659218623421,977826079.0
4096,19456,3.5,400,4,4,4,10,5,0.9,8388608,12800,13824,1000,300,125,500,-1045.5673384498389,980634472.0
1792,29696,1.1,300,32,8,8,4,10,0.9,2016383,512,2560,100,250,75,1000,-1100.0098521513426,983185751.0
5632,29696,1.1,400,24,16,4,4,5,0.9,1572864,512,10752,2000,500,75,500,-1057.7164878346723,985889885.0
2048,35840,5.5,400,32,16,8,4,5,0.9,1048576,512,1536,2000,150,125,3000,-1087.4412271809197,988495854.0
4608,51200,3.0,300,8,4,8,4,10,0.9,4194304,512,1536,50,500,125,6000,-1134.4768759729936,991153222.0
1792,51200,0.5,300,64,4,8,4,10,0.9,8388608,512,1536,100,150,75,1000,-1068.474819793385,993900601.0
5632,27648,1.1,400,32,16,4,4,10,0.9,2016383,512,10752,2000,500,75,1000,-980.8502576962674,996456419.0
1536,51200,5.5,400,24,16,8,10,5,0.9,6291456,512,14848,2000,500,85,1000,-1100.0632793836573,999291208.0
1792,51200,3.5,300,20,2,8,4,5,0.9,1048576,1536,9728,500,500,125,6000,-1043.152476075844,1001822314.0
2560,46080,0.5,300,64,8,8,10,10,0.9,8388608,512,1536,2000,500,75,8000,-1106.6396508607233,1004359269.0
5632,29696,1.1,400,64,16,4,4,10,0.9,1572864,512,10752,2000,150,75,1000,-1044.8452955805112,1007140550.0
1536,12288,6.0,1,16,4,4,10,5,0.9,1048576,2560,4608,50,150,115,3000,-1025.0805131378218,1009662457.0
2048,29696,0.5,400,32,8,4,4,5,0.9,1048576,512,1536,1000,500,125,1000,-1098.4041394022497,1012253071.0
2048,27648,6.5,300,64,4,4,4,5,0.9,1048576,9728,1536,100,200,100,6000,-1053.857067101357,1014860739.0
7168,19456,2.0,100,20,8,8,10,10,0.9,1048576,7680,3584,100,250,125,6000,-1123.7158498785166,1016899190.0
1792,51200,0.5,300,64,8,4,10,10,0.9,8388608,512,1536,2000,150,75,1000,-1054.6490978883166,1019498585.0
1792,17408,3.5,400,24,16,4,4,10,0.9,1048576,512,1536,500,500,75,1000,-1133.7449533860763,1022116060.0
6144,46080,5.0,300,16,8,8,4,10,0.9,4194304,512,1536,2000,500,125,3000,-1059.23204634423,1024936318.0
1792,51200,0.5,400,64,4,8,10,10,0.9,8388608,512,1536,2000,250,75,1000,-1062.2801895349262,1027384680.0
5632,51200,1.5,400,24,16,4,10,5,0.9,2016383,512,10752,2000,500,75,1000,-1067.2117441040689,1030161879.0
5632,51200,1.5,400,24,16,4,10,10,0.9,1572864,512,11776,2000,500,95,1000,-1041.0929209611415,1032505016.0
1792,14336,0.1,300,24,4,4,4,10,0.9,2016383,512,5632,2000,500,75,6000,-1139.230692094312,1035230390.0
1792,21504,0.1,300,24,4,4,4,10,0.9,1572864,512,1536,2000,500,75,500,-1107.7083574383546,1037779560.0
1792,9216,0.1,400,64,8,4,4,5,0.9,2016383,512,2560,1500,500,85,500,-1142.40329998909,1040105100.0
2048,29696,1.1,400,32,4,8,4,5,0.9,2016383,512,1536,100,150,125,500,-1098.5196666432219,1042578323.0
2048,40960,4.5,400,24,16,8,10,10,0.9,4194304,512,2560,2000,200,75,500,-1111.7130997711804,1045075735.0
5632,29696,1.1,400,24,4,4,4,10,0.9,1572864,512,8704,2000,500,75,1000,-1131.1714721466496,1047618665.0
1792,29696,0.1,400,24,16,4,4,10,0.9,2016383,512,10752,2000,500,75,3000,-1037.36040444975,1050243472.0
4608,12288,0.1,300,32,4,4,4,5,0.9,4194304,512,1536,1500,500,75,8000,-1119.1631680665082,1052728778.0
4608,40960,1.1,300,32,8,8,10,10,0.9,1572864,512,10752,2000,200,75,500,-1086.9480794929136,1055275443.0
1280,51200,1.0,300,16,8,8,10,10,0.9,4194304,512,1536,2000,250,75,1000,-1171.6666598905279,1056813832.0
896,51200,3.0,400,24,16,4,10,10,0.9,1572864,512,10752,2000,500,85,1000,-1083.4467417768653,1058865610.0
1792,30720,0.5,400,64,8,8,10,10,0.9,1048576,512,1536,1500,250,75,500,-1089.01357021916,1060893598.0
1792,46080,1.0,300,64,8,8,4,10,0.9,8388608,512,1536,2000,250,75,8000,-1127.9476470053887,1063071738.0
1280,51200,1.0,200,16,8,8,10,10,0.9,4194304,512,1536,2000,200,75,1000,-1091.332510232165,1065111234.0
2048,35840,0.5,300,20,8,8,10,5,0.9,1048576,512,1536,100,500,125,1000,-1158.681398088181,1067112211.0
2048,35840,0.5,200,20,8,8,10,5,0.9,1048576,512,1536,100,500,125,1000,-1149.339187007264,1069191600.0
5632,35840,1.0,300,20,8,8,10,10,0.9,2016383,512,1536,100,500,125,3000,-1107.8112528706774,1071311190.0
2048,35840,0.5,1,20,8,8,4,5,0.9,1048576,512,1536,100,500,125,1000,-1154.7450057197716,1073297855.0
2048,35840,0.1,1,20,8,8,4,5,0.9,1048576,512,1536,100,300,125,1000,-1106.3828512306939,1075271068.0
5632,35840,1.1,400,20,16,4,4,10,0.9,1572864,512,10752,2000,500,75,1000,-1104.0623885373184,1077445150.0
768,35840,0.5,300,4,16,8,10,10,0.9,2016383,512,4608,50,250,125,1000,-1132.370291627291,1079491261.0
1792,46080,1.0,400,64,8,8,4,10,0.9,8388608,512,1536,100,500,75,1000,-1129.0949368817112,1081460319.0
1280,46080,1.0,300,16,8,8,10,10,0.9,4194304,512,1536,100,250,75,1000,-1139.0570249763643,1083514854.0
1792,30720,0.5,300,64,8,8,4,5,0.9,2016383,512,1536,100,500,75,1000,-1107.1539167661613,1085558333.0
1792,29696,1.0,300,24,8,8,10,10,0.9,4194304,512,1536,2000,250,75,6000,-1137.4824886824408,1087645212.0
2048,35840,1.1,400,32,8,8,4,5,0.9,1048576,512,1536,100,500,125,500,-1118.6274319986987,1089745081.0
1792,46080,4.0,1,20,16,4,10,5,0.9,1048576,512,8192,50,500,125,500,-1156.6627424579547,1091810765.0
1792,35840,7.0,100,20,4,4,4,5,0.9,2016383,512,5632,100,500,115,500,-1129.7857129691788,1093819607.0
1792,30720,4.0,1,20,16,4,10,5,0.9,1048576,512,8192,50,500,125,500,-1137.3550494672086,1096100738.0
1792,30720,7.0,300,20,4,8,4,10,0.9,524288,512,5632,50,500,115,6000,-1146.134861713407,1098252023.0
5632,51200,1.5,400,24,4,4,4,5,0.9,2016383,512,11776,2000,500,75,500,-1163.062095927616,1100351378.0
5632,8192,6.0,1,20,8,4,4,5,0.9,6291456,512,2560,50,500,75,500,-1144.7003269354136,1102400536.0
2048,25600,1.0,300,24,4,8,10,10,0.9,2016383,512,8704,2000,500,75,500,-1076.0031928126964,1104427042.0
6144,23552,8.0,1,20,4,4,4,10,0.9,4194304,512,5632,100,500,125,1000,-1150.5374181112986,1105927887.0
5632,8192,4.5,100,20,16,8,4,10,0.9,3145728,512,7680,100,500,115,1000,-1112.3784983872558,1107496338.0
5632,30720,1.1,400,24,4,4,4,5,0.9,524288,512,11776,2000,500,75,500,-1138.7423359475908,1109656080.0
5632,30720,1.1,400,24,16,4,10,10,0.9,2016383,512,9728,2000,500,85,1000,-1104.7774195964212,1111740585.0
5632,29696,1.1,400,24,4,4,4,10,0.9,2016383,512,8704,2000,500,75,3000,-1074.5632358369396,1113780615.0
5632,11264,2.0,1,20,8,4,4,5,0.9,6291456,512,1536,50,500,75,500,-1125.5395187841943,1115919160.0
2560,30720,1.1,400,24,8,4,10,10,0.9,524288,512,10752,2000,500,75,1000,-1162.1745958479169,1117911339.0
2560,30720,0.5,400,64,4,4,4,10,0.9,524288,512,10752,500,250,75,1000,-1133.557529556028,1120145827.0
5632,51200,1.5,400,64,4,4,4,5,0.9,2016383,512,11776,2000,500,75,1000,-1106.5122779345459,1122169276.0
5632,29696,2.5,400,64,16,4,4,5,0.9,1572864,512,11776,100,500,75,500,-1136.1025405704481,1124182718.0
5632,29696,1.1,400,64,16,4,4,10,0.9,4194304,512,10752,100,500,75,1000,-1116.4487998493862,1126205616.0
768,51200,4.0,1,20,4,8,10,5,0.9,1048576,512,14848,50,500,125,1000,-1097.5998097950996,1128436913.0
1280,51200,1.0,300,4,8,8,10,10,0.9,6291456,512,1536,2000,250,75,1000,-1120.3832462758205,1130464519.0
5120,9216,6.0,1,20,8,8,4,5,0.9,6291456,512,3584,100,300,85,500,-1113.7814070497898,1132626470.0
1792,7168,3.0,400,64,8,4,4,5,0.9,3145728,512,4608,100,500,75,500,-1129.3635773508154,1134800926.0
2560,14336,1.5,200,64,4,4,4,5,0.9,2016383,512,1536,1500,500,100,500,-1063.2414711108563,1136844996.0
2560,23552,6.0,400,64,4,4,4,10,0.9,2016383,512,1536,500,500,75,500,-1137.024424421181,1139052572.0
2560,25600,5.0,400,8,8,4,4,5,0.9,4194304,512,1536,1500,500,85,500,-1136.002903465026,1141728254.0
5632,29696,2.0,400,24,4,4,4,10,0.9,1048576,512,9728,2000,500,75,500,-1074.6115734953098,1143781458.0
2560,30720,1.0,400,32,8,4,10,10,0.9,524288,512,10752,1000,500,75,1000,-1129.4664272144912,1145763328.0
3072,7168,7.0,300,8,4,4,4,5,0.9,6291456,512,6656,1000,500,75,1000,-1079.0089829297294,1147891684.0
7168,6990,5.5,100,32,4,8,4,10,0.9,1572864,8704,1536,100,250,125,3000,-1062.892978428928,1149993694.0
7168,27648,0.5,1,20,8,4,10,10,0.9,3145728,512,1536,100,500,125,500,-1094.0373890134936,1152070642.0
5632,51200,1.0,400,24,8,4,4,5,0.9,1572864,512,12800,2000,500,75,1000,-1085.8032390352587,1154261604.0
3584,51200,1.5,400,24,4,4,4,10,0.9,2016383,512,11776,2000,500,75,500,-1084.1398818312284,1156325903.0
7168,10240,4.5,1,16,4,4,10,10,0.9,1048576,4608,4608,500,300,100,1000,-1105.776913778573,1158575423.0
4096,8192,3.5,400,16,16,4,10,5,0.9,524288,10752,1536,2000,300,75,1000,-1159.7654958126202,1160635349.0
5632,30720,2.5,400,24,4,8,4,5,0.9,2016383,512,11776,2000,500,75,500,-1095.6363330243337,1162825085.0
2048,29696,7.0,1,20,4,4,4,10,0.9,524288,512,11776,500,500,125,1000,-1079.2030235575594,1165050391.0
1280,40960,1.0,300,16,8,8,10,10,0.9,4194304,512,1536,2000,250,75,1000,-1113.8806634166308,1167161050.0
1792,29696,0.1,300,64,8,4,4,10,0.9,4194304,512,1536,100,150,75,500,-1110.054198196752,1169501595.0
4096,7168,8.0,1,20,4,8,4,10,0.9,1048576,512,1536,100,500,125,1000,-1117.5662575527283,1171569136.0
5632,6990,3.5,1,4,16,8,10,5,0.9,524288,7680,3584,50,300,125,1000,-1132.5144508852684,1173659124.0
5120,5120,2.0,100,4,16,4,10,10,0.9,1048576,3584,3584,100,200,95,6000,-1064.3892739407593,1175757585.0
7168,27648,2.5,1,4,8,8,10,5,0.9,524288,3584,1536,1500,300,125,8000,-1146.4069045937438,1177845963.0
896,7168,1.5,200,24,4,8,10,5,0.9,3145728,3584,8704,1000,500,85,3000,-1062.9477666563914,1180226036.0
7168,12288,2.5,1,20,16,8,10,5,0.9,2016383,3584,1536,2000,300,125,1000,-1054.8135437147623,1182364981.0
2560,6990,2.0,100,24,8,8,10,5,0.9,4194304,512,8192,50,500,125,1000,-1135.2954697665339,1184563317.0
5632,46080,2.5,400,32,4,4,4,5,0.9,524288,512,11776,2000,500,75,500,-1063.977957543412,1186765620.0
2048,35840,1.5,1,32,16,4,4,5,0.9,2016383,3584,2560,500,150,125,8000,-1120.3042763459478,1188832918.0
3584,9216,5.5,200,8,4,4,10,10,0.9,524288,7680,512,1000,150,125,8000,-1130.637040913438,1191272072.0
1792,29696,1.1,400,20,8,8,4,5,0.9,524288,512,1536,2000,500,75,6000,-1137.527441870188,1193369870.0
2560,30720,0.5,400,64,4,4,4,5,0.9,524288,512,10752,2000,500,75,500,-1118.6732871255829,1195438274.0
5120,11264,3.5,400,16,16,8,10,5,0.9,524288,10752,2560,1500,300,85,8000,-1026.3696937398363,1197587826.0
4096,6990,6.0,300,20,8,8,10,5,0.9,524288,11776,1536,100,150,75,1000,-1110.4343750442206,1199703035.0
2560,13312,5.0,100,32,16,8,4,5,0.9,6291456,512,5632,100,500,125,500,-1074.4994780275715,1201921334.0
1792,27648,0.5,400,24,8,8,10,10,0.9,2016383,512,10752,2000,200,75,1000,-1131.0693745196363,1204024935.0
2048,29696,1.1,400,24,8,8,10,10,0.9,524288,512,8704,2000,500,85,6000,-1135.9714327301567,1206120171.0
2048,25600,1.1,400,64,4,4,4,5,0.9,2016383,512,2560,1500,500,85,500,-1078.3483453418696,1208333929.0
6656,27648,3.5,1,8,16,8,10,5,0.9,524288,13824,1536,100,300,100,3000,-1142.9235025362896,1210417668.0
5120,29696,1.0,400,16,4,8,10,5,0.9,524288,512,14848,500,500,125,1000,-1102.2815306264085,1212523995.0
2048,40960,4.5,300,20,8,4,10,5,0.9,1048576,512,1536,50,500,125,500,-1060.4536749366218,1214813315.0
4608,51200,1.5,400,32,4,4,4,10,0.9,1048576,512,11776,1500,300,75,1000,-1095.751166105619,1216969899.0
1280,19456,2.0,1,4,16,4,10,5,0.9,524288,7680,1536,500,250,125,3000,-1080.6144951577148,1219147688.0
