block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
2048,true,40000,snappy,1,32,256,4,10,12,32,8,65536,-748,78095074
65536,true,240000,zstd,16,20,4,2,-1,10,1,2,512,-3622,79076081
8,false,400000,zstd,8,32,32,8,7,5,8,16,4,-1398,80056612
262144,true,320000,lz4,128,64,512,4,1,15,16,4,16384,-3385,81031331
256,true,320000,zstd,128,0,2,16,1,13,64,4,32,-79,82046421
1,true,280000,lz4,32,0,4,-1,0,8,128,4,1024,-68,83047549
1024,true,320000,snappy,4,64,16,2,10,13,128,1,4096,-1255,84023314
4,false,400000,snappy,64,1024,256,-1,6,5,64,8,1073741824,-894,84988525
256,false,40000,lz4,2,1024,32,-1,1,6,2,16,1,-1185,85963692
1,true,160000,zstd,8,1024,8,32,2,12,2,8,16777216,-415,86931484
16,false,320000,zstd,8,20,8,8,10,12,8,4,131072,-1271,87905752
2048,false,120000,zstd,128,64,128,32,1,6,2,1,2097152,-1011,88869647
8,true,200000,lz4,128,20,16,256,5,11,4,2,32768,-61,89873693
256,false,160000,zstd,16,32,128,256,3,7,4,2,128,-1351,90853806
64,false,0,lz4,16,128,512,1,3,6,1,2,134217728,-838,91818882
512,true,80000,zstd,16,20,256,8,9,8,2,2,128,-115,92808176
65536,false,0,lz4,128,512,2,2,9,14,64,2,268435456,-1142,93772553
2048,true,240000,zstd,16,1,256,-1,1,15,4,2,8,-2136,94751242
128,false,0,snappy,128,1,128,4,4,6,64,2,16777216,-562,95716964
4096,true,40000,zstd,16,512,1024,2,6,9,2,1,134217728,-926,96681677
4,false,400000,lz4,1,2,128,256,10,6,64,8,8,-1198,97662488
64,true,120000,zstd,64,8,1,256,-1,9,128,1,268435456,-61,98657754
1,true,400000,zstd,1,1,64,1,5,5,1,16,1,-34,99688708
16,true,400000,lz4,256,32,2,1,4,11,1,8,536870912,-110,100674840
1024,true,240000,snappy,8,8,2,8,7,6,64,32,524288,-3129,101640054
8,false,240000,zstd,16,64,2,32,4,12,32,2,131072,-1356,102614010
1024,true,120000,snappy,1,32,8,8,4,7,8,2,32,-980,103591492
2048,true,320000,lz4,256,2,4,2,8,6,32,4,1024,-4385,104567797
2048,false,0,lz4,16,64,36,8,4,11,16,1,16384,-1744,105545505
8192,false,160000,lz4,32,64,256,32,9,13,16,4,1073741824,-1242,106511231
128,false,320000,zstd,1,20,256,4,9,13,2,1,4,-475,107498936
32,true,400000,snappy,2,512,2,256,6,9,4,8,4,-46,108524625
256,false,40000,lz4,64,20,64,2,1,8,16,2,16384,-1520,109502545
262144,false,280000,snappy,1,20,128,256,9,6,8,32,4194304,-3668,110463793
32,false,200000,zstd,128,256,2,4,6,12,16,2,4,-1213,111443648
524288,true,400000,zstd,2,256,16,2,7,14,16,2,33554432,-2034,112406909
512,false,160000,zstd,16,256,4,1,10,12,8,4,64,-1431,113387975
131072,false,120000,lz4,16,20,32,4,2,12,32,1,131072,-4513,114356466
131072,false,80000,lz4,256,1024,128,16,0,7,4,8,33554432,-989,115318817
256,true,320000,lz4,64,4,1024,-1,5,11,64,1,524288,-116,116293065
16384,true,40000,lz4,32,20,1024,8,9,9,1,2,33554432,-773,117256144
1024,false,280000,snappy,64,128,32,1,1,14,2,8,1024,-1483,118233036
32768,false,200000,snappy,256,16,32,8,6,11,8,16,1073741824,-1104,119194828
1024,false,160000,zstd,256,0,512,256,3,15,64,2,33554432,-715,120160017
8,true,80000,lz4,32,20,16,256,5,5,16,1,1048576,-61,121148542
16384,false,120000,lz4,16,64,64,2,5,11,64,32,16777216,-600,122114863
8192,true,320000,zstd,256,256,36,128,-1,15,32,32,131072,-6320,123085876
1024,false,320000,lz4,32,20,256,8,8,11,2,1,16384,-1258,124064070
16,false,280000,snappy,2,8,32,8,9,8,4,1,16384,-713,125042736
8192,true,280000,snappy,1,0,2,64,8,8,64,4,65536,-1051,126025569
4096,false,200000,lz4,32,8,8,128,3,9,16,1,268435456,-978,126993706
4096,false,0,snappy,4,20,16,-1,-1,10,2,1,67108864,-14437,127957741
