block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
8,false,160000,lz4,8,512,512,8,7,9,16,32,4,-43171,79366989
2048,false,280000,lz4,8,2,8,-1,3,3,64,1,32768,-12025,80338872
524288,false,0,lz4,16,1,1024,-1,1,6,4,16,268435456,-27796,81298015
1,false,360000,lz4,32,64,8,128,4,1,4,4,16384,-21903,82267375
2048,false,320000,lz4,2,128,128,1,0,2,8,2,4194304,-109760,83224632
1024,false,0,lz4,16,1024,36,32,6,0,16,4,524288,-42173,84185281
128,false,40000,zstd,2,256,1024,2,4,10,16,16,536870912,-203067,85152448
65536,false,160000,zstd,1,512,32,128,6,7,32,1,32768,-12606,86123482
64,false,160000,zstd,4,16,4,32,1,7,64,16,256,-41797,87107354
1024,false,280000,zstd,32,1024,1024,1,9,6,64,1,2048,-6293,88087643
8,false,200000,zstd,2,64,16,128,3,2,32,2,4194304,-35254,89055679
512,false,120000,zstd,256,2,32,16,2,9,16,32,1073741824,-122888,90017023
8192,false,160000,zstd,2,512,128,1,11,1,32,4,16,-14981,90988255
65536,false,400000,zstd,256,0,2,2,10,3,2,8,268435456,-46377,91947735
131072,false,120000,zstd,4,512,2,256,4,6,2,8,524288,-6725,92915168
32768,false,280000,zstd,1,8,36,32,5,10,1,2,1073741824,-83508,93873871
16,false,200000,zstd,1,1,1,16,4,2,32,8,536870912,-209382,94841626
4,false,400000,zstd,16,8,4,256,6,4,8,8,1024,-15956,95869130
4,false,0,zstd,2,1024,32,1,3,8,4,2,33554432,-104833,96837008
512,false,280000,zstd,128,256,32,16,0,6,4,2,2097152,-17435,97802397
16,false,80000,zstd,128,64,4,128,4,8,1,1,33554432,-68026,98769730
1,false,0,zstd,64,1024,4,16,8,7,16,1,262144,-4200,99747277
4096,false,160000,zstd,4,16,4,8,1,9,2,1,1048576,-50298,100706355
4,false,160000,zstd,16,4,1024,16,8,9,64,32,16384,-6817,101687158
4,false,240000,zstd,64,20,64,1,7,10,16,32,64,-22254,102666659
131072,false,360000,zstd,8,8,256,2,0,2,16,2,1073741824,-24493,103626302
32768,false,0,zstd,1,128,1024,64,8,2,16,2,4194304,-36827,104585304
262144,false,160000,snappy,32,512,2,16,4,3,32,1,128,-13406,105553836
32,false,240000,snappy,128,64,2,-1,5,7,8,8,4,-13967,106525066
16,false,0,snappy,8,512,2,128,2,4,128,8,16384,-44399,107493472
