block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,120000,snappy,4,4,32,2,-1,10,2,1,268435456,-11975,74548384
4096,false,0,snappy,4,20,32,-1,-1,6,2,1,67108864,-11811,75510616
4096,false,0,snappy,4,20,8,4,-1,10,2,1,67108864,-12178,76473135
4096,false,0,snappy,4,32,32,4,-1,10,2,2,67108864,-11941,77435279
4096,false,0,snappy,4,20,36,2,9,10,8,1,268435456,-13280,78397708
4096,false,0,snappy,2,16,16,-1,1,12,8,2,67108864,-13631,79360150
4096,false,0,snappy,4,20,32,-1,9,10,32,2,268435456,-12971,80322623
4096,false,0,snappy,2,512,128,2,-1,0,8,2,1073741824,-12135,81285376
1024,true,120000,zstd,32,0,128,128,7,10,128,8,268435456,-903,82250482
4096,false,40000,zstd,1,32,512,-1,0,5,2,4,1073741824,-12665,83214729
4096,false,0,snappy,4,20,32,4,2,10,2,1,67108864,-13553,84176814
4096,false,0,snappy,4,20,36,16,9,10,2,1,67108864,-13267,85140486
4096,false,200000,snappy,1,20,1024,2,8,12,128,1,1073741824,-13442,86102903
4096,false,400000,snappy,4,16,16,2,2,15,16,4,134217728,-13556,87065127
4096,false,0,snappy,2,16,32,-1,1,8,2,1,67108864,-13866,88031544
4096,false,400000,snappy,4,16,16,2,2,15,1,4,67108864,-14328,88994336
4096,false,80000,snappy,2,20,16,-1,1,2,4,4,67108864,-12988,89956825
4096,false,120000,zstd,4,1024,256,128,5,3,32,16,16777216,-11024,90918474
4096,false,360000,snappy,2,16,1,1,10,15,1,4,1073741824,-12223,91880931
8192,false,400000,snappy,2,256,1024,4,6,5,1,4,536870912,-9878,92843896
4096,false,400000,snappy,2,1,8,-1,6,13,64,1,67108864,-13029,93806459
4096,false,400000,snappy,4,16,16,2,2,15,1,4,33554432,-9540,94771312
4096,false,240000,snappy,4,16,16,32,2,15,1,4,67108864,-12551,95733751
4096,false,400000,snappy,1,1,1024,4,0,8,1,4,67108864,-11539,96696432
4096,false,0,snappy,2,16,1,-1,1,9,2,2,67108864,-11148,97658861
4096,false,400000,snappy,4,20,4,2,2,15,16,4,67108864,-10514,98621596
65536,false,120000,zstd,2,128,64,4,3,11,1,2,1073741824,-7139,99585003
4096,false,80000,snappy,4,16,16,2,2,2,1,4,67108864,-14060,100547315
4096,false,0,snappy,4,32,1024,-1,2,13,1,8,67108864,-13426,101509416
4096,false,360000,snappy,4,16,32,16,9,11,8,1,67108864,-12749,102471842
4096,false,80000,snappy,4,8,16,2,-1,7,1,2,268435456,-11633,103433804
4096,false,80000,snappy,2,16,16,-1,1,12,1,32,67108864,-12184,104396347
4096,false,400000,zstd,4,16,16,2,2,15,1,4,134217728,-13516,105359296
4096,false,240000,snappy,2,1024,128,-1,6,13,16,1,67108864,-12858,106323354
4096,false,0,snappy,1,16,16,1,1,12,2,2,67108864,-10958,107286320
8192,false,280000,zstd,32,32,2,256,4,9,128,1,32768,-2804,108264655
8192,true,280000,zstd,1,20,1024,256,7,7,1,2,1073741824,-10509,109227863
4096,false,280000,lz4,1,20,256,8,4,15,16,32,67108864,-13244,110191311
