shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,cost,time,status,seed
3072,14336,0.5,200,20,1,4,4,10,0.9,2016383,4608,6656,500,500,75,1000,-1035.6151344116788,0.1,SUCCESS,1
3584,30720,2.5,100,20,1,4,4,10,0.9,3145728,11776,9728,500,200,115,8000,-1109.645096167695,0.1,SUCCESS,1
7680,6144,5.0,300,24,8,4,4,10,0.9,6291456,10752,8192,1500,500,75,8000,-971.5211122147962,0.1,SUCCESS,1
2560,29696,8.0,100,32,2,8,4,10,0.9,4194304,9728,14848,2000,300,115,8000,-1040.9884483215417,0.1,SUCCESS,1
2048,13312,0.5,100,64,1,4,4,5,0.9,4194304,9728,1536,100,500,75,500,-1023.1364323629928,0.1,SUCCESS,1
3072,7168,7.5,300,64,8,4,4,10,0.9,1048576,11776,11776,1500,250,100,6000,-1067.2877028099983,0.1,SUCCESS,1
1280,40960,1.0,100,20,1,4,4,10,0.9,1572864,11776,4608,2000,150,100,1000,-1027.6582270997085,0.1,SUCCESS,1
768,46080,4.5,1,8,16,4,4,10,0.9,524288,8704,6656,100,300,100,1000,-885.0711212504389,0.1,SUCCESS,1
3072,11264,1.0,200,20,1,4,4,10,0.9,4194304,6656,8192,1000,200,85,8000,-1090.989062474914,0.1,SUCCESS,1
2560,35840,2.5,300,32,8,4,4,10,0.9,4194304,14848,512,500,300,85,6000,-1070.4827773080542,0.1,SUCCESS,1
5632,17408,7.0,1,16,16,4,4,10,0.9,6291456,10752,9728,2000,200,85,3000,-992.2372523834524,0.1,SUCCESS,1
3072,13312,0.5,200,64,1,4,4,10,0.9,4194304,9728,1536,1000,500,75,500,-1023.7219897858791,0.1,SUCCESS,1
2560,29696,0.1,400,16,2,4,4,10,0.9,4194304,512,6656,100,300,100,3000,-914.0798620531612,0.1,SUCCESS,1
3072,6990,1.5,200,16,2,4,4,10,0.9,2016383,4608,10752,1000,250,115,500,-1072.558162657153,0.1,SUCCESS,1
3072,40960,0.5,400,20,1,4,4,10,0.9,4194304,9728,5632,500,300,75,500,-1024.0800433704972,0.1,SUCCESS,1
1024,11264,7.5,1,20,16,4,10,10,0.9,524288,10752,2560,2000,500,100,6000,-1034.2399642000444,0.1,SUCCESS,1
