compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,4,32,32,512,2048,2048,heap_buffers,0,50,-3709.0,947827.0
32,14,31,22,512,3754,4096,offheap_objects,13,30,-3906.0,1900369.0
16,13,56,64,512,3413,2389,heap_buffers,10,50,-4359.0,2846745.0
32,10,64,40,256,1365,2389,offheap_buffers,16,100,-6365.0,3722243.0
16,10,22,18,256,1706,3072,heap_buffers,4,20,-4174.0,4666368.0
64,13,49,39,256,4096,3413,offheap_buffers,7,70,-4284.0,5627014.0
16,14,15,40,1024,1706,2389,offheap_objects,2,20,-4552.0,6579251.0
16,11,15,50,256,3413,1024,offheap_objects,1,70,-4061.0,7493697.0
64,6,37,10,2048,2730,4096,heap_buffers,5,10,-3737.0,8445853.0
64,14,43,57,1024,1024,2389,offheap_objects,8,20,-3493.0,9399966.0
16,6,18,42,1024,2389,2730,offheap_buffers,9,0,-3412.0,10348821.0
32,16,64,45,512,1024,3754,heap_buffers,9,100,-3659.0,11305875.0
64,8,49,27,2048,3413,4096,heap_buffers,0,60,-3802.0,12261783.0
16,13,61,9,256,2048,3754,offheap_objects,16,10,-3868.0,13214234.0
64,3,63,8,256,1024,1365,offheap_buffers,0,0,-3393.0,14173068.0
16,14,62,55,256,3413,1706,offheap_buffers,16,100,-4851.0,15127591.0
64,10,64,15,512,3754,3754,offheap_buffers,16,100,-3312.0,16078037.0
16,9,64,37,256,1365,1706,heap_buffers,16,100,-3293.0,17036069.0
16,10,64,40,256,1365,2389,offheap_buffers,16,100,-6307.0,18231608.0
16,10,64,16,256,1024,1706,offheap_buffers,16,90,-7618.0,19381968.0
16,10,64,40,256,1024,2730,offheap_buffers,16,90,-4586.0,20582394.0
32,10,22,59,512,1706,2730,heap_buffers,5,100,-5773.0,21785232.0
