block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
128,False,160000,snappy,1,1,2,2,10,10,32,32,1073741824,-265145,0.1,SUCCESS,1
128,False,160000,snappy,1,1,2,4,6,7,16,1,1073741824,-258427,0.1,SUCCESS,1
1,False,160000,snappy,1,4,512,4,9,10,16,1,1073741824,-250102,0.1,SUCCESS,1
1,False,280000,snappy,1,0,1,128,9,7,32,2,1073741824,-261187,0.1,SUCCESS,1
128,False,0,snappy,1,1,2,4,6,10,16,4,1073741824,-263607,0.1,SUCCESS,1
8,False,40000,lz4,2,0,4,2,8,13,1,2,1073741824,-255660,0.1,SUCCESS,1
1024,False,240000,snappy,1,0,2,4,6,11,32,8,1073741824,-267839,0.1,SUCCESS,1
1024,True,280000,lz4,4,2,1024,1,1,9,4,4,128,-3634,0.1,SUCCESS,1
1024,False,0,lz4,1,1,2,4,6,10,16,4,1073741824,-264233,0.1,SUCCESS,1
1024,False,40000,lz4,2,0,2,8,4,11,32,16,1073741824,-262155,0.1,SUCCESS,1
32,True,360000,snappy,64,1,16,-1,10,15,4,16,256,-592,0.1,SUCCESS,1
1024,False,40000,lz4,2,0,2,2,4,11,2,4,1073741824,-258910,0.1,SUCCESS,1
128,False,240000,snappy,4,0,1,2,7,11,64,32,1073741824,-125696,0.1,SUCCESS,1
128,False,240000,snappy,1,0,2,8,10,5,32,4,1073741824,-256513,0.1,SUCCESS,1
8192,False,240000,snappy,2,4,2,128,4,11,64,8,1073741824,-222509,0.1,SUCCESS,1
1,False,200000,snappy,2,2,36,256,10,12,32,16,1073741824,-248544,0.1,SUCCESS,1
1024,False,0,lz4,1,1,2,4,6,10,16,8,268435456,-213027,0.1,SUCCESS,1
4,False,200000,zstd,1,0,1,2,6,10,64,8,1073741824,-229553,0.1,SUCCESS,1
16384,False,120000,snappy,1,0,2,8,7,11,1,32,1073741824,-187515,0.1,SUCCESS,1
64,False,240000,snappy,1,0,2,16,2,9,16,16,1073741824,-255622,0.1,SUCCESS,1
256,False,0,lz4,1,0,2,2,6,11,32,2,1073741824,-268839,0.1,SUCCESS,1
256,False,0,lz4,1,0,1,2,6,11,32,1,1073741824,-263662,0.1,SUCCESS,1
128,False,320000,snappy,1,0,1,2,6,11,64,32,1073741824,-262561,0.1,SUCCESS,1
1024,False,80000,snappy,1,0,2,4,7,11,32,4,1073741824,-258773,0.1,SUCCESS,1
128,False,280000,lz4,1,20,36,2,6,14,64,32,1073741824,-249202,0.1,SUCCESS,1
512,False,0,snappy,1,0,2,1,6,12,32,1,1073741824,-264462,0.1,SUCCESS,1
8,False,0,lz4,1,0,2,4,0,12,32,2,1073741824,-255609,0.1,SUCCESS,1
512,False,0,lz4,2,0,32,2,3,11,32,8,1073741824,-264412,0.1,SUCCESS,1
128,False,120000,snappy,2,1,32,2,3,11,32,8,1073741824,-252129,0.1,SUCCESS,1
512,False,80000,snappy,2,1,128,4,7,15,64,8,1073741824,-264474,0.1,SUCCESS,1
256,False,0,zstd,1,1,8,1,6,10,16,4,1073741824,-233318,0.1,SUCCESS,1
256,False,0,lz4,1,0,1,2,6,11,128,1,1073741824,-257177,0.1,SUCCESS,1
512,False,0,lz4,1,0,32,2,3,11,8,2,1073741824,-257476,0.1,SUCCESS,1
256,True,200000,zstd,128,8,1,-1,7,14,16,4,1073741824,-721,0.1,SUCCESS,1
128,False,240000,snappy,2,2,1,32,9,6,8,8,1073741824,-253157,0.1,SUCCESS,1
512,False,160000,lz4,1,1,64,4,-1,15,4,2,1073741824,-257476,0.1,SUCCESS,1
256,False,160000,snappy,1,20,16,4,1,7,32,2,1073741824,-255707,0.1,SUCCESS,1
64,False,200000,lz4,2,1,16,8,3,13,1,8,16777216,-97055,0.1,SUCCESS,1
512,False,0,lz4,2,0,32,4,3,11,32,8,1073741824,-255130,0.1,SUCCESS,1
64,False,400000,lz4,1,0,64,128,8,10,32,1,1073741824,-248603,0.1,SUCCESS,1
