block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
64,false,0,zstd,64,8,256,4,8,5,67108864,-77982,89429647
128,false,200000,zstd,16,1024,4,16,2,7,8388608,-60637,90446046
64,false,120000,zstd,4,4,512,2,5,0,16777216,-27360,91467210
64,false,0,zstd,64,0,128,128,4,0,16777216,-75728,92482222
4,false,0,zstd,128,0,2,1,9,4,33554432,-85653,93497070
4,false,0,zstd,32,64,128,64,2,1,33554432,-84087,94513517
16,false,0,zstd,4,1024,8,2,5,0,33554432,-83297,95532914
16,false,0,zstd,4,1024,8,2,5,0,8388608,-65344,96549881
32,false,0,zstd,128,4,256,1,5,5,33554432,-83300,97568220
128,false,0,zstd,4,256,256,16,7,0,16777216,-72191,98583834
32,false,160000,zstd,8,1024,8,2,5,0,33554432,-83615,99601440
16,false,280000,zstd,8,1024,512,32,6,0,33554432,-84265,100620607
16,false,80000,zstd,8,128,512,8,9,0,67108864,-75455,101638404
