block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,write_buffer_size,Throughput,Timestamp
2048,false,120000,lz4,1,512,16,32,5,7,1073741824,-71870,89726705
1024,false,240000,zstd,1,8,16,256,9,6,1073741824,-68110,90725632
256,false,120000,zstd,1,16,2,256,7,15,1073741824,-70253,91728200
512,false,160000,lz4,1,16,8,64,5,0,268435456,-75153,92730461
256,false,120000,zstd,1,16,32,256,7,15,268435456,-81788,93734026
8,true,40000,lz4,1,8,32,64,7,6,16384,-554,94826283
4096,false,240000,snappy,4,0,32,1,6,15,33554432,-67227,95826298
512,false,120000,zstd,32,1,32,8,9,15,536870912,-63175,96834363
4096,false,320000,lz4,1,1024,256,64,5,5,268435456,-71858,97832882
1,false,360000,zstd,4,256,64,4,10,7,268435456,-67328,98853910
256,false,160000,zstd,1,8,4,2,3,14,536870912,-66457,99864643
128,false,320000,zstd,1,1,32,256,8,6,268435456,-74517,100882391
256,false,40000,zstd,1,32,128,16,9,11,268435456,-80195,101888363
