block_size,cache_index_and_filter_blocks,level0_file_num_compaction_trigger,max_background_compactions,write_buffer_size,Throughput,Timestamp
4096,false,4,-1,67108864,-97406,960888
8,true,32,128,67108864,-1704,1941288
4096,false,16,1,256,-3998,2936897
8192,true,16,16,1048576,-23286,3902745
32768,true,16,2,2048,-3960,4924979
16384,true,256,4,1073741824,-21492,5885206
1,false,2,-1,1048576,-12456,6863635
8,false,64,1,1073741824,-112061,7826143
1,true,16,1,67108864,-1686,8802695
1,false,64,32,32768,-5399,9793212
8,false,128,1,1073741824,-112061,10753164
4,false,128,4,1073741824,-112760,11715640
4,false,64,2,1073741824,-114533,12676534
4,false,8,-1,1073741824,-113365,13636353
4,false,4,8,268435456,-111100,14600699
4,false,16,128,536870912,-115576,15562144
1,false,8,256,134217728,-101865,16524893
262144,true,8,32,32,-6436,17529109
8192,false,16,64,536870912,-111658,18492042
4,false,4,-1,67108864,-89277,19455267
4096,false,64,256,536870912,-118527,20414864
1,false,16,128,268435456,-109532,21381593
16,true,8,256,536870912,-1671,22370226
32,false,2,128,536870912,-126557,23330527
32,false,1,16,536870912,-126426,24291687
16384,false,2,1,268435456,-106237,25252727
32768,false,1,16,1073741824,-110543,26212380
4,false,1,256,8388608,-61422,27173034
1,false,1,16,536870912,-125070,28135423
1,false,1,8,536870912,-126053,29095171
32,false,256,128,536870912,-117289,30056120
4,false,1,-1,536870912,-126938,31016593
1,false,2,2,536870912,-126055,31990722
1,false,2,-1,536870912,-125800,32951867
128,false,2,-1,536870912,-126068,33912244
1,false,2,4,536870912,-127029,34874645
16,false,2,64,536870912,-126430,35839298
16,false,2,256,536870912,-125680,36802371
1,false,2,1,536870912,-127800,37765479
4,false,2,-1,536870912,-126279,38730516
1,false,2,256,536870912,-124479,39696043
1,false,2,-1,1073741824,-128014,40655568
1,false,1,2,67108864,-90241,41620280
2048,false,2,1,536870912,-125237,42581291
4096,false,2,4,536870912,-126867,43543969
4096,false,2,1,536870912,-122610,44519434
1,false,256,256,536870912,-110085,45490620
1,false,1,-1,1073741824,-130369,46451456
1,false,64,16,536870912,-116220,47413976
4,false,2,1,1073741824,-128893,48377876
1,false,32,32,536870912,-115481,49340683
32,false,32,128,67108864,-83565,50301239
8,false,4,32,536870912,-116988,51262561
4096,false,1,-1,1073741824,-127829,52225387
4,false,2,32,1073741824,-127902,53187785
64,false,32,8,536870912,-115477,54147797
16384,false,32,256,1073741824,-104893,55116197
4,false,2,1,33554432,-68999,56080497
4,false,1,256,1073741824,-128204,57041301
4096,false,64,1,536870912,-118497,58000430
4096,false,1,1,1073741824,-128688,58961401
8,false,1,256,1073741824,-130517,59922093
1,false,256,1,67108864,-82571,60886324
1,false,1,256,1073741824,-129258,61849100
4096,false,4,1,536870912,-114178,62809650
1,false,64,-1,536870912,-118895,63772151
1,false,64,32,536870912,-117122,64732053
1,false,1,2,1073741824,-129825,65693218
1,false,2,2,1073741824,-129829,66654037
262144,true,16,32,64,-2817,67719712
1,false,1,4,1073741824,-132035,68693037
1,false,128,32,536870912,-115512,69656909
1,false,1,-1,268435456,-119418,70624857
4096,false,16,-1,1073741824,-114716,71587649
32,true,16,2,4,-622,72679688
1,false,2,256,67108864,-89201,73654219
4,false,32,-1,536870912,-114058,74618078
256,false,64,1,536870912,-117639,75579917
4096,false,64,1,268435456,-107928,76539662
4,false,4,1,536870912,-117152,77516802
1,false,2,1,134217728,-104982,78479096
4096,false,16,1,536870912,-113245,79441057
1,false,2,256,1073741824,-128053,80403500
4,false,1,4,1073741824,-128582,81368359
4,false,1,2,1073741824,-128083,82334627
1,false,2,-1,268435456,-114707,83296269
4096,false,1,-1,67108864,-115281,84256536
8,false,1,2,1073741824,-128018,85222254
4096,false,2,-1,2097152,-40561,86195444
4096,false,2,-1,1073741824,-129336,87154521
1,false,1,1,1073741824,-132380,88117079
4096,false,2,-1,536870912,-125633,89081531
8192,false,2,-1,1073741824,-125962,90041126
512,true,128,2,4096,-2678,91053532
1,false,64,128,536870912,-115631,92016668
1,false,1,32,1073741824,-128373,92978306
1024,false,16,32,67108864,-89618,93942666
1,false,256,8,4096,-8638,94929528
1,false,64,1,536870912,-116296,95895835
1,false,4,-1,1073741824,-114025,96858102
128,false,256,32,536870912,-115733,97821407
4,false,2,256,1073741824,-127594,98785629
1,false,2,1,1073741824,-131346,99746620
256,false,256,-1,536870912,-120396,100717035
1,false,256,256,1073741824,-115918,101679664
64,false,1,128,1073741824,-128962,102641275
1024,false,256,-1,536870912,-118691,103601416
2048,false,2,-1,134217728,-117308,104565790
8192,false,2,-1,536870912,-119002,105526116
64,false,32,1,536870912,-116075,106485943
4096,false,1,-1,33554432,-101815,107444551
256,false,256,8,536870912,-121100,108403787
2048,false,128,2,33554432,-64286,109364967
64,true,4,1,536870912,-1677,110345723
4,false,1,1,1073741824,-128537,111313860
1,false,1,8,1073741824,-127377,112275102
1024,true,256,8,32768,-4080,113259519
16,false,1,256,1073741824,-129274,114220630
8192,false,2,-1,16777216,-87261,115182932
1024,false,16,16,536870912,-118148,116142041
1,false,256,4,536870912,-115435,117102862
4,false,64,8,536870912,-114662,118078850
32768,false,256,1,536870912,-94650,119039305
1,false,256,2,536870912,-115330,120004990
4096,false,16,4,16777216,-57424,120964762
2048,false,256,16,536870912,-116757,121928794
8192,false,16,256,16384,-3790,122938405
2048,false,1,256,536870912,-130098,123898189
2048,false,256,128,536870912,-115049,124858083
4096,false,1,64,16777216,-85200,125820186
8192,false,1,-1,1073741824,-124608,126780376
2048,false,2,256,2097152,-66642,127740123
8192,false,32,4,536870912,-107824,128701629
1024,false,2,64,1073741824,-129811,129663421
4,false,1,256,536870912,-124676,130627095
8192,false,16,32,1073741824,-108300,131586114
2048,false,2,256,1073741824,-129259,132545403
4096,false,1,256,1073741824,-129584,133509723
1024,false,1,64,1073741824,-130490,134469536
2048,false,1,256,1073741824,-130481,135429300
1,false,16,-1,33554432,-64041,136391385
8,false,2,4,1073741824,-134853,137351000
8,true,2,2,1073741824,-1556,138356333
256,false,64,32,536870912,-116920,139318967
8,false,128,-1,4194304,-19519,140281861
1,false,2,-1,67108864,-88866,141244288
8,false,2,-1,1073741824,-128303,142207955
4096,false,2,256,1073741824,-126722,143168836
8,false,2,8,1073741824,-127978,144131892
4096,false,1,256,134217728,-121211,145091623
8192,false,4,256,1073741824,-109059,146051503
4096,false,1,64,1073741824,-125364,147013500
8192,false,8,-1,536870912,-112450,147975417
4096,false,2,256,67108864,-108274,148942587
2048,false,16,128,536870912,-116455,149902092
16384,false,2,4,1073741824,-116241,150867739
