block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-136628,956451
512,false,120000,lz4,1,8,64,128,1,15,128,8,1024,-15212,1981517
2048,false,200000,snappy,256,1024,512,64,2,7,8,16,1048576,-20648,2955293
8192,true,160000,snappy,4,256,256,128,9,13,16,4,4,-23231,4013758
65536,true,240000,lz4,8,64,36,64,8,14,128,32,32768,-30054,5052515
65536,false,0,lz4,2,8,512,16,6,8,4,16,33554432,-98374,6009012
16,false,40000,lz4,4,1024,128,128,7,13,2,2,1073741824,-163451,6976086
65536,false,320000,zstd,256,0,36,8,6,14,32,2,8192,-1324,8026757
8192,true,160000,lz4,32,512,32,16,-1,15,1,2,1048576,-21036,8986326
4,true,200000,snappy,2,1,256,32,1,15,8,8,128,-808,10013106
512,true,320000,zstd,64,16,36,8,8,9,8,4,1,-1355,11005924
512,true,80000,snappy,64,1024,2,4,1,15,16,4,1,-3083,11993774
262144,false,360000,snappy,4,16,256,64,7,11,64,2,128,-11132,12978554
1,true,320000,zstd,256,1,8,64,4,11,32,2,4194304,-713,13985702
1,true,0,lz4,1,0,8,32,10,8,16,32,134217728,-3388,14980512
1,false,0,lz4,256,1,2,4,4,8,4,32,1073741824,-166723,15942516
131072,false,0,zstd,128,2,1024,8,8,11,2,32,8388608,-4507,16915225
32,false,360000,zstd,32,4,512,2,3,10,4,1,33554432,-66763,17886327
128,false,40000,lz4,2,4,4,4,9,6,2,8,1073741824,-185960,18844847
1,true,320000,snappy,16,0,4,4,7,5,16,2,1073741824,-1735,19837930
4,true,0,snappy,32,1,2,32,8,5,1,2,536870912,-1725,20824809
8,false,40000,snappy,64,4,64,64,4,5,4,1,1073741824,-167635,21785013
1024,false,80000,zstd,32,4,1024,64,8,12,1,4,1073741824,-168739,22744004
128,false,40000,lz4,2,4,4,4,9,6,16,8,1073741824,-187154,23704397
256,false,0,zstd,2,16,36,16,9,7,128,4,1073741824,-183783,24669632
262144,false,40000,lz4,1,0,1024,32,9,9,32,16,1073741824,-124477,25633951
128,false,40000,lz4,2,4,4,4,9,6,2,2,1073741824,-188880,26592149
1,false,160000,zstd,64,1024,36,2,9,8,64,1,1048576,-13437,27562028
1,false,40000,snappy,64,0,36,2,9,5,128,1,1073741824,-177802,28520792
16,false,40000,zstd,16,32,512,4,10,9,1,4,1048576,-26614,29489039
