block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-113092,956798
524288,true,360000,snappy,4,64,16,128,10,6,2,2,1073741824,-54823,1913450
64,true,40000,snappy,2,20,1024,16,1,8,1,4,262144,-3767,2887379
2048,true,360000,snappy,128,128,1,4,1,10,32,32,2048,-25250,3855480
2048,true,240000,snappy,128,20,2,8,0,4,16,8,16777216,-25631,4815017
4096,true,160000,snappy,16,8,256,256,3,1,32,32,32,-29492,5783002
16,true,400000,snappy,256,128,64,64,0,9,2,4,268435456,-7782,6765671
32768,true,0,snappy,2,32,64,128,8,7,16,4,1048576,-76451,7723125
128,true,0,snappy,8,512,8,2,2,4,4,32,16,-3323,8716871
2048,true,160000,snappy,4,1024,2,256,3,6,2,16,8388608,-35264,9673796
131072,true,120000,snappy,256,64,8,-1,5,0,4,1,16384,-12587,10642593
524288,true,80000,snappy,256,512,1024,128,6,3,8,1,65536,-7812,11613238
128,true,120000,snappy,8,0,2,256,2,2,16,1,256,-520,12683051
512,true,120000,snappy,256,32,36,2,8,9,2,4,128,-8465,13655688
262144,true,200000,snappy,8,1024,128,256,10,5,32,32,256,-24311,14621401
262144,true,80000,snappy,128,0,512,128,5,0,128,2,536870912,-69301,15577573
64,true,200000,snappy,16,2,512,128,5,5,16,4,16777216,-4531,16553060
4,true,160000,snappy,1,20,32,32,2,0,128,32,134217728,-7089,17516937
4096,true,320000,snappy,64,1,256,8,7,9,16,16,32768,-29390,18483338
16,true,200000,snappy,2,2,128,1,6,2,4,8,16777216,-4754,19458058
32768,true,200000,snappy,16,256,512,-1,6,8,1,8,4,-12520,20428423
65536,true,80000,snappy,1,0,128,4,3,1,64,1,4194304,-13148,21386817
256,true,320000,lz4,128,4,1024,-1,2,9,32,4,1048576,-9318,22350532
262144,true,200000,lz4,32,8,8,16,4,4,16,4,4,-13113,23324293
1024,true,240000,lz4,4,512,1,-1,9,9,8,8,16384,-18881,24291664
8,true,40000,lz4,4,128,32,1,3,2,2,16,2097152,-5873,25260125
32,true,200000,lz4,32,64,32,2,2,9,64,1,2048,-4445,26241188
4096,true,240000,lz4,4,512,16,4,3,6,1,8,8,-27243,27206639
1024,true,240000,lz4,8,4,32,256,1,3,2,2,536870912,-30532,28164820
16384,true,160000,lz4,64,128,2,1,9,6,128,32,536870912,-72502,29121722
4096,true,40000,lz4,1,512,4,1,11,4,32,8,8192,-26123,30089210
8,true,320000,lz4,64,32,36,1,2,10,1,4,8388608,-4971,31064639
4,true,120000,lz4,1,1,64,-1,1,9,16,16,4,-813,32094951
32,true,360000,lz4,2,64,128,8,11,6,16,8,1048576,-5357,33065176
524288,true,400000,lz4,32,256,8,-1,1,9,64,2,67108864,-45220,34024773
4,true,280000,lz4,16,0,16,128,5,1,2,8,524288,-3143,35015468
64,true,280000,lz4,1,20,32,16,0,0,4,32,4096,-4300,35993909
524288,true,240000,lz4,256,16,1,16,0,8,4,2,65536,-9190,36974522
128,true,120000,lz4,1,16,16,256,0,3,8,8,16,-4539,37961663
256,true,400000,lz4,1,256,32,32,9,3,8,4,131072,-7595,38930215
1,true,120000,lz4,32,128,256,-1,9,0,32,1,2097152,-5374,39900329
32,true,40000,lz4,1,64,1024,32,1,10,4,2,8192,-4237,40879699
256,true,280000,lz4,64,16,16,32,7,1,8,2,134217728,-10321,41846903
131072,true,160000,zstd,64,16,4,16,9,10,128,2,16777216,-20689,42805272
65536,true,0,zstd,64,4,32,16,6,0,128,4,268435456,-65203,43764754
512,true,40000,zstd,256,128,8,32,5,0,8,16,4096,-5794,44752554
131072,true,360000,zstd,16,1,2,4,8,6,32,16,268435456,-59443,45711778
16,true,80000,zstd,256,512,36,32,11,4,1,2,1048576,-2594,46705025
32768,true,280000,zstd,8,2,36,2,11,1,128,16,1048576,-46296,47663374
512,true,200000,zstd,2,32,128,4,11,4,64,1,16777216,-6112,48632800
16,true,40000,zstd,128,128,512,64,3,10,1,1,256,-1097,49634781
524288,true,160000,zstd,1,0,128,4,8,5,8,1,8192,-164,50941910
1,true,80000,zstd,2,0,32,-1,8,3,128,8,16,-317,52119729
8192,true,0,zstd,2,16,64,32,4,4,4,32,67108864,-38709,53076531
2048,true,0,zstd,4,16,1,64,9,2,8,2,536870912,-34539,54039422
1,true,200000,zstd,32,1024,128,4,0,2,64,16,4096,-2554,55056667
16,true,320000,zstd,4,4,1,2,4,6,128,2,1,-144,56461569
1024,true,120000,zstd,2,0,512,4,4,10,128,4,16384,-433,57548556
8,true,200000,zstd,64,4,128,64,0,8,8,16,67108864,-4091,58524371
8,true,360000,zstd,64,16,8,128,11,9,8,32,131072,-1886,59532774
131072,true,400000,zstd,4,512,512,8,4,7,2,8,512,-14758,60505504
65536,true,320000,zstd,4,1,256,128,7,7,128,1,134217728,-61818,61465348
524288,true,320000,zstd,256,128,1024,64,10,3,4,16,64,-2032,62462469
65536,true,280000,zstd,32,256,128,32,4,5,16,8,65536,-11158,63433346
65536,false,120000,snappy,128,16,36,-1,11,1,16,2,128,-17951,64401404
1024,false,200000,snappy,2,64,64,8,7,10,2,32,33554432,-115430,65358871
32768,false,120000,snappy,1,128,36,16,11,6,2,1,67108864,-107339,66314641
16384,false,240000,snappy,128,0,8,4,0,10,128,2,1073741824,-103677,67270310
1,false,80000,snappy,64,16,16,128,2,6,64,16,8192,-33795,68242527
256,false,320000,snappy,16,20,32,16,9,6,2,4,32768,-1660,69239195
32,false,0,snappy,8,2,64,128,5,7,32,4,2097152,-38878,70194483
1,false,160000,snappy,8,512,4,128,9,7,16,1,4096,-18152,71167006
8192,false,120000,snappy,32,64,4,1,6,5,16,32,32768,-46205,72131824
16,false,280000,snappy,16,4,8,8,4,8,1,32,128,-1148,73129344
32768,false,240000,snappy,1,20,512,64,6,7,4,32,4194304,-93786,74085331
32768,false,400000,snappy,2,8,36,8,11,7,4,2,2097152,-79672,75042619
262144,false,360000,snappy,1,512,1024,16,4,8,2,16,262144,-23018,76006395
1,false,80000,snappy,32,1024,4,128,11,5,64,8,8388608,-99720,76966182
8,false,360000,snappy,4,20,8,16,8,1,1,8,4,-7188,77956739
65536,false,280000,snappy,8,32,64,2,4,1,1,4,128,-24887,78923074
512,false,80000,snappy,8,2,256,2,7,1,8,8,16,-5985,79894594
131072,false,360000,snappy,16,8,64,2,6,5,2,2,65536,-3278,80874507
128,false,360000,snappy,8,1,4,-1,1,1,128,4,67108864,-118735,81834518
1024,false,280000,snappy,64,1024,36,64,3,7,32,1,2048,-31199,82801508
32768,false,0,snappy,32,0,128,16,8,6,32,32,32,-43120,83769034
128,false,280000,lz4,64,2,256,256,4,0,16,2,64,-7463,84746669
16384,false,400000,lz4,16,1,1024,2,3,5,4,16,1024,-8540,85714991
8,false,160000,lz4,128,256,16,16,10,1,64,1,65536,-15306,86682647
256,false,80000,lz4,128,4,8,128,7,10,64,8,32,-33225,87652186
16384,false,280000,lz4,16,20,4,64,2,5,2,8,1024,-3376,88626643
16,false,80000,lz4,1,4,1024,4,7,8,1,32,536870912,-109311,89584104
1024,false,120000,lz4,16,8,512,64,1,9,32,32,134217728,-106679,90556910
32,false,0,lz4,8,256,32,1,4,2,1,16,1,-5659,91559281
