block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
256,true,400000,zstd,64,16,16,64,0,9,64,1,524288,-75,78059508
128,true,280000,zstd,1,256,1024,256,1,9,16,2,4,-45,79070072
256,true,240000,zstd,1,2,8,2,0,5,32,16,4,-57,80080693
8192,true,160000,zstd,32,32,256,2,7,4,2,8,128,-2016,81073134
262144,true,400000,zstd,128,32,512,-1,4,5,64,4,4096,-2814,82052695
1,true,360000,zstd,2,4,64,1,6,6,2,8,67108864,-43,83041919
16384,true,240000,lz4,32,32,8,4,11,10,128,32,1,-6254,84017387
128,true,320000,lz4,4,2,256,256,8,1,8,8,33554432,-106,84994342
256,true,40000,lz4,1,0,8,1,1,0,64,16,65536,-111,85990266
262144,true,80000,lz4,256,8,36,32,3,4,4,16,4194304,-1152,86953372
8,true,280000,lz4,128,8,1,32,1,4,16,4,8192,-58,87973067
1024,true,200000,lz4,8,16,256,-1,0,3,32,8,536870912,-564,88940071
1,true,160000,lz4,2,256,2,4,3,4,128,2,1,-57,89960139
32,true,400000,lz4,256,1024,64,2,1,1,1,16,262144,-103,90932357
8,true,400000,lz4,64,4,4,64,8,7,8,2,65536,-56,91928069
4,true,0,lz4,4,2,1024,256,0,1,4,4,128,-55,92941646
8192,true,360000,lz4,32,2,32,1,1,0,16,8,2097152,-732,93906681
256,true,400000,lz4,2,1,1,128,9,3,4,1,268435456,-109,94879123
4096,true,120000,lz4,32,2,512,32,9,6,32,32,1,-5697,95862465
64,true,320000,lz4,1,1,64,32,8,10,128,2,32,-47,96859135
512,true,160000,lz4,8,128,8,64,8,2,16,16,1024,-237,97861408
1024,true,320000,lz4,16,128,32,-1,4,8,32,2,32768,-1293,98840594
512,true,0,lz4,8,0,36,8,10,4,128,32,128,-279,99819218
8192,true,120000,lz4,256,0,1024,64,5,2,32,16,16,-6562,100794023
524288,true,160000,lz4,8,512,64,1,3,9,32,4,32,-2525,101769953
262144,true,240000,lz4,256,1024,2,32,9,3,4,1,2097152,-988,102733461
65536,true,240000,lz4,128,512,16,64,7,1,8,1,134217728,-1284,103696050
131072,true,40000,snappy,32,128,36,-1,4,3,16,16,8,-4706,104672898
1024,true,80000,snappy,32,512,64,1,10,0,8,32,536870912,-911,105637431
262144,true,0,snappy,32,128,64,8,4,2,2,1,256,-3400,106613936
1,true,120000,snappy,64,20,512,16,4,10,2,8,1048576,-117,107586405
262144,true,400000,snappy,8,512,8,1,5,5,8,32,2048,-3902,108562735
1,true,240000,snappy,16,128,4,4,4,6,1,4,256,-59,109558624
131072,true,280000,snappy,4,0,64,16,2,7,8,8,1048576,-5434,110522934
65536,true,40000,snappy,128,256,256,1,8,3,2,1,256,-3860,111503773
4096,true,200000,snappy,32,256,2,8,11,0,1,4,8192,-1362,112482498
65536,true,120000,snappy,8,1024,1024,16,3,2,2,16,128,-3659,113463304
131072,true,120000,snappy,64,1,256,256,9,10,128,4,536870912,-1247,114427656
1,true,360000,snappy,64,1024,1024,2,10,7,2,16,4194304,-220,115401814
128,true,0,snappy,32,32,16,2,2,6,8,1,1073741824,-557,116369258
131072,true,80000,snappy,32,512,36,128,3,5,128,16,4,-4202,117344368
32768,true,240000,snappy,64,4,128,16,4,5,4,8,16384,-5338,118320465
8,true,120000,snappy,128,512,512,256,3,0,1,16,2097152,-175,119288810
524288,true,200000,snappy,8,16,1,1,10,7,1,2,536870912,-1223,120252633
32768,true,320000,snappy,2,4,1024,4,2,5,8,16,131072,-6313,121222380
16384,true,360000,snappy,128,20,128,1,2,4,1,1,16384,-5017,122198482
128,true,160000,snappy,256,8,36,8,8,10,4,16,131072,-90,123191749
4,true,280000,snappy,1,20,512,256,6,2,128,1,33554432,-63,124183735
524288,false,0,zstd,128,16,1,64,0,10,64,1,524288,-781,125152738
16384,false,200000,lz4,16,8,16,8,10,6,1,2,1,-2954,126132192
32768,false,360000,snappy,8,32,36,1,11,8,16,16,134217728,-1322,127097587
4096,false,0,zstd,8,32,128,1,-1,7,8,2,2097152,-6901,128063561
