block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-12615,964402
512,false,240000,snappy,8,0,16,64,9,4,16,16,16,-1815,1974163
256,false,360000,snappy,64,0,4,128,11,10,1,1,2048,-963,2958154
262144,false,200000,snappy,64,20,1,64,9,8,2,1,16,-3371,3933427
4,false,80000,snappy,128,20,8,8,0,1,8,16,8192,-774,4914819
1024,false,120000,snappy,4,4,512,2,3,5,16,1,134217728,-5057,5878491
4096,false,280000,snappy,4,256,1024,32,5,1,8,2,16384,-1445,6856132
8192,false,240000,snappy,64,32,32,64,0,2,128,8,32768,-6336,7832453
256,false,400000,snappy,16,256,32,4,8,0,128,8,1048576,-1343,8796541
512,false,80000,snappy,32,128,64,4,7,2,8,32,4194304,-389,9761190
32768,false,160000,snappy,1,16,1,256,4,4,1,32,64,-756,10742851
1,false,0,snappy,4,256,4,-1,2,10,32,2,268435456,-1838,11708557
8,false,320000,snappy,16,512,256,-1,10,0,32,16,512,-1332,12691061
16,false,360000,snappy,64,0,8,2,10,1,128,32,131072,-261,13671446
32768,false,120000,snappy,256,128,64,8,0,5,16,2,256,-4111,14651557
64,false,240000,snappy,2,512,512,256,6,7,16,32,4,-1371,15630414
32,false,120000,snappy,1,32,8,2,6,2,4,4,536870912,-1448,16596301
1,false,80000,snappy,16,2,64,16,2,8,32,8,16777216,-383,17565077
4096,false,120000,snappy,64,256,16,1,2,7,2,2,4096,-3191,18543668
131072,false,160000,snappy,256,32,64,16,6,10,32,16,8388608,-1177,19506531
1024,false,360000,snappy,8,32,32,16,6,2,64,8,1073741824,-1035,20470711
131072,false,0,snappy,2,1,128,1,3,4,32,32,1,-5265,21449983
1,false,120000,zstd,1,2,64,8,1,10,4,16,32,-366,22439004
16,false,80000,zstd,128,4,4,4,7,10,2,1,536870912,-563,23408745
32768,false,120000,zstd,2,1,36,1,11,4,128,8,262144,-5622,24377030
4096,false,360000,zstd,8,64,1,2,1,0,2,1,4096,-1386,25356329
8192,false,40000,zstd,64,4,1,16,10,6,128,8,128,-6123,26335048
8,false,360000,zstd,8,8,36,2,10,3,64,32,67108864,-810,27303865
4096,false,320000,zstd,8,1024,64,128,6,10,128,4,32,-2052,28284078
65536,false,320000,zstd,2,16,2,16,1,10,8,8,536870912,-7329,29249445
8192,false,320000,zstd,4,16,2,64,4,1,2,1,33554432,-8840,30213130
8192,false,200000,zstd,32,1,512,-1,8,3,32,4,256,-4438,31193758
1,false,0,zstd,16,64,64,256,9,3,2,8,16777216,-409,32168148
524288,false,280000,zstd,8,2,512,64,0,1,16,16,16384,-1804,33146504
256,false,400000,zstd,32,128,256,4,6,1,128,4,65536,-1666,34127992
8192,false,320000,zstd,16,20,1,4,8,0,32,4,32,-5023,35105504
1024,false,200000,zstd,256,512,36,16,0,1,128,32,2048,-3172,36087220
2048,false,120000,zstd,128,20,128,128,3,4,4,32,268435456,-988,37053367
1,false,360000,zstd,4,1,4,128,8,8,2,1,33554432,-1635,38021175
4,false,40000,zstd,8,16,256,128,7,2,2,16,1,-1112,39003775
1024,false,360000,zstd,2,128,8,128,7,4,16,16,8192,-1742,39988021
128,false,280000,zstd,16,32,4,-1,11,2,16,8,2097152,-1609,40958265
65536,false,280000,zstd,2,8,8,4,1,2,1,8,536870912,-7525,41922732
524288,false,40000,lz4,16,128,512,16,7,7,1,1,131072,-2260,42894951
256,false,0,lz4,256,0,2,1,5,2,1,2,262144,-358,43869884
16,false,400000,lz4,1,1,4,32,3,5,16,4,33554432,-1679,44837112
524288,false,160000,lz4,128,512,1,32,7,1,32,2,2048,-2170,45813289
512,false,80000,lz4,128,0,256,-1,8,9,2,1,4096,-1786,46793151
2048,false,400000,lz4,256,256,8,32,10,0,8,16,16384,-5659,47769036
8,false,0,lz4,128,64,16,256,5,8,4,1,4194304,-219,48740032
262144,false,40000,lz4,64,256,36,4,4,9,1,4,4,-3229,49716723
524288,false,200000,lz4,256,0,1,2,6,4,4,1,16,-2074,50696089
1024,false,40000,lz4,8,256,1024,-1,11,6,1,16,256,-1321,51672499
8,false,280000,lz4,2,8,256,16,2,8,128,2,128,-878,52652626
4096,false,400000,lz4,4,2,1024,8,8,8,16,2,524288,-3889,53617254
131072,false,280000,lz4,32,20,32,256,4,8,4,2,1073741824,-1160,54581108
16384,false,200000,lz4,16,2,128,128,7,7,32,2,32768,-4010,55556752
512,false,0,lz4,1,8,1024,32,11,1,2,32,2097152,-1226,56519782
16384,false,200000,lz4,256,128,256,4,9,2,32,4,1024,-5077,57495131
262144,false,280000,lz4,64,1024,16,128,1,4,4,2,1,-3618,58469202
262144,false,240000,lz4,64,512,36,64,9,3,1,4,2048,-3433,59444460
2048,false,280000,lz4,64,4,36,-1,1,0,32,1,4,-2485,60420037
131072,false,240000,lz4,256,16,16,256,11,2,16,4,128,-4157,61397247
32,false,240000,lz4,32,0,2,16,5,3,128,32,524288,-1461,62364771
32,true,80000,snappy,128,8,32,16,5,8,8,16,4,-47,63368107
16384,true,40000,snappy,1,64,128,8,1,9,16,4,1073741824,-9012,64331182
128,true,160000,snappy,4,128,32,256,7,3,64,8,1048576,-80,65320827
524288,true,200000,snappy,8,64,128,8,9,6,32,8,1,-2216,66299506
8192,true,40000,snappy,256,16,1024,1,3,0,4,16,65536,-4044,67276994
8,true,400000,snappy,1,64,16,32,3,0,64,4,2097152,-55,68286316
524288,true,240000,snappy,64,2,36,1,4,3,32,16,1048576,-951,69251453
32,true,0,snappy,64,0,1024,-1,3,6,2,32,32768,-49,70258207
64,true,120000,snappy,16,32,36,128,8,9,128,4,2097152,-60,71249520
512,true,200000,snappy,64,1024,64,64,3,0,128,8,1048576,-509,72214761
128,true,160000,snappy,32,1024,32,-1,0,5,2,2,4194304,-271,73185062
512,true,360000,snappy,64,128,512,64,8,8,16,4,8192,-192,74171513
32768,true,400000,snappy,1,4,512,2,8,6,64,16,8,-1934,75152305
32,true,120000,snappy,4,8,512,64,11,7,4,32,2048,-60,76145248
128,true,200000,snappy,4,256,16,64,5,6,2,16,64,-86,77130106
16,true,120000,snappy,16,1024,128,64,9,6,64,32,8388608,-308,78098269
256,true,400000,snappy,256,1024,2,256,2,8,4,16,16777216,-544,79062759
4,true,360000,snappy,2,2,4,-1,9,6,64,32,8,-48,80079849
64,true,160000,snappy,256,1,128,256,0,4,1,1,1073741824,-78,81067515
16384,true,400000,snappy,128,64,16,1,2,9,64,1,131072,-4805,82037998
131072,true,40000,snappy,4,512,16,4,4,4,64,2,32,-3161,83019111
4,true,240000,zstd,2,2,32,8,7,9,64,16,256,-32,84023527
32768,true,120000,zstd,16,20,32,8,8,1,128,1,134217728,-935,84986575
16,true,240000,zstd,256,64,128,8,1,9,4,1,32768,-35,85993414
64,true,0,zstd,32,4,1,256,1,7,2,16,256,-32,86998854
16384,true,80000,zstd,4,32,32,4,0,6,32,8,1,-3104,87977917
512,true,80000,zstd,1,128,16,256,5,10,1,32,64,-141,88966289
256,true,0,zstd,128,128,1024,16,3,2,64,2,16384,-73,89976280
4,true,320000,zstd,32,16,1024,1,1,0,4,1,8192,-38,90996758
128,true,200000,zstd,32,512,36,4,3,10,8,4,512,-40,91998928
32,true,360000,zstd,128,4,512,1,11,3,4,16,1024,-25,93015766
1,true,360000,zstd,4,1,64,32,11,6,64,8,1024,-30,94033483
32,true,400000,zstd,2,16,4,-1,1,6,64,2,1073741824,-30,95052750
64,true,160000,zstd,2,32,1,128,10,9,8,2,4194304,-42,96068244
32768,true,160000,zstd,16,2,1024,2,5,9,1,1,65536,-2658,97051087
262144,true,240000,zstd,8,1,8,256,4,5,16,8,134217728,-415,98013914
8,true,160000,zstd,1,20,256,2,10,1,16,2,524288,-35,99001389
2048,true,160000,zstd,8,64,2,32,7,4,1,1,1024,-1158,99982129
256,true,120000,zstd,128,4,4,32,9,7,8,32,134217728,-759,100949958
65536,true,200000,zstd,1,4,256,8,11,9,8,16,32768,-2138,101927784
