block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,cpu_time,wallclock_time,evaluations
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-103190,0.1,0.1,0
1024,False,240000,lz4,1,256,16,8,7,11,16,1,536870912,-135777,0.1,0.1,0
1024,False,280000,snappy,1,4,8,32,9,8,8,1,1073741824,-137022,0.1,0.1,0
4096,False,360000,snappy,1,0,4,-1,3,12,8,1,1073741824,-139259,0.1,0.1,0
4096,False,400000,snappy,1,4,1,-1,7,13,1,8,1073741824,-139626,0.1,0.1,0
1024,False,400000,snappy,1,2,32,-1,5,15,128,1,1073741824,-141545,0.1,0.1,0
1024,False,200000,lz4,2,2,32,32,10,15,4,1,1073741824,-142708,0.1,0.1,0
512,False,120000,snappy,2,20,1,8,9,8,4,1,1073741824,-143933,0.1,0.1,0
