block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
128,false,40000,lz4,16,64,1024,1,4,5,8,4,1073741824,-117431,74647687
128,false,320000,snappy,2,64,128,-1,10,10,8,8,1073741824,-138505,75606402
256,false,0,lz4,128,32,512,-1,7,0,64,32,536870912,-113863,76564454
256,false,0,snappy,1,128,64,-1,2,7,2,2,268435456,-132296,77523961
512,false,400000,snappy,2,0,1,16,3,5,16,4,1073741824,-142198,78482530
128,false,240000,lz4,1,128,1,-1,0,6,16,4,1073741824,-138664,79442613
1024,false,80000,lz4,2,4,1,4,1,7,1,4,1073741824,-140916,80399946
8,false,400000,zstd,2,1024,4,-1,4,8,1,2,268435456,-110055,81371558
1,true,320000,zstd,64,128,4,-1,11,3,16,16,1048576,-1091,82405536
256,false,0,zstd,2,20,512,-1,-1,11,8,16,1073741824,-130102,83371088
128,false,400000,zstd,2,1024,4,-1,10,8,2,2,1073741824,-131721,84339373
32768,false,120000,snappy,1,64,32,16,2,10,1,2,1073741824,-118426,85297457
16,true,400000,lz4,1,4,256,16,1,7,32,2,128,-504,86359923
256,false,320000,snappy,2,256,1024,1,7,8,2,1,1073741824,-135101,87319487
128,false,80000,zstd,8,8,32,64,4,10,64,32,8388608,-49315,88288590
1,false,240000,snappy,256,16,512,1,1,6,1,4,1073741824,-120694,89248480
1,false,240000,snappy,128,256,256,4,-1,8,1,2,1073741824,-125286,90207118
256,false,80000,lz4,8,128,4,16,9,14,1,2,536870912,-126472,91167165
524288,false,120000,zstd,64,2,128,128,2,9,64,2,1,-3294,92160561
1,false,80000,zstd,16,2,256,128,0,9,1,2,1073741824,-112272,93199261
65536,false,320000,zstd,2,16,128,2,6,7,1,32,536870912,-52997,94159547
1,false,240000,snappy,32,256,16,128,6,12,32,2,536870912,-120064,95117708
256,false,160000,zstd,2,32,1,2,1,8,8,8,1073741824,-130445,96081710
512,false,280000,zstd,2,256,1,2,6,7,16,2,1073741824,-137347,97042717
4096,false,0,lz4,2,0,128,-1,10,7,8,2,1073741824,-135839,97999048
16384,false,280000,lz4,2,8,4,16,5,2,2,2,268435456,-109700,98956567
2048,false,360000,snappy,16,512,8,16,7,0,1,2,1073741824,-118360,99914486
32,false,40000,zstd,2,64,16,16,4,7,64,2,1073741824,-128541,100897136
32,false,0,lz4,16,1,1,1,6,2,8,8,512,-9697,101869412
128,false,0,snappy,2,1,64,1,4,3,4,32,1073741824,-137800,102828276
16384,false,160000,snappy,32,256,1024,-1,11,8,1,1,536870912,-106393,103787116
32768,false,400000,snappy,1,8,16,1,7,10,16,4,67108864,-100432,104745031
512,false,120000,snappy,2,1024,64,32,2,5,2,4,1073741824,-138660,105701863
256,false,0,snappy,1,128,64,-1,2,7,1,8,1073741824,-137782,106660082
8,true,40000,snappy,4,16,1024,256,11,10,32,2,8192,-1001,107699165
1,false,0,snappy,256,2,4,16,6,2,1,1,1073741824,-120148,108660080
1024,false,400000,lz4,1,4,36,16,4,7,2,32,1073741824,-140229,109618858
512,false,0,snappy,2,8,512,2,2,5,32,2,536870912,-132919,110577943
