block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,Throughput,Timestamp
4096,false,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-138504,955454
512,true,400000,lz4,8,4,2,-1,7,9,4,8,256,-2038,1939139
32768,true,280000,lz4,32,64,64,32,9,1,4,8,32768,-19391,2907448
131072,true,80000,zstd,4,0,1,2,0,3,2,4,2048,-3258,3887694
1,true,320000,zstd,8,1,4,128,5,8,8,2,262144,-287,4958233
2048,true,0,snappy,64,8,128,-1,11,4,16,2,8192,-5813,5931924
16,true,240000,snappy,2,1024,32,64,4,5,1,1,1048576,-1823,6981357
8192,false,40000,lz4,128,32,256,1,10,2,1,4,67108864,-85904,7937741
262144,false,320000,lz4,128,128,36,8,4,0,32,16,16777216,-14791,8896092
64,false,360000,zstd,256,20,16,256,6,6,64,1,64,-7387,9887999
65536,false,40000,zstd,16,256,8,16,3,7,128,32,4,-7528,10868373
128,false,200000,snappy,64,512,1024,8,9,3,128,16,1073741824,-130045,11825420
4,false,160000,snappy,1,16,512,4,2,6,16,16,4194304,-95952,12782987
1024,true,160000,lz4,1,2,128,64,1,10,32,32,32,-4266,13760462
1,true,280000,lz4,4,2,64,32,-1,6,1,32,67108864,-1174,14765074
16384,false,360000,snappy,128,2,8,1,2,2,32,32,1048576,-6806,15728581
128,false,0,snappy,32,1,1,4,-1,12,8,4,67108864,-106681,16687523
1024,false,0,snappy,4,256,32,-1,7,8,128,1,16777216,-130223,17648095
256,false,200000,zstd,8,64,2,-1,9,12,2,2,4194304,-28948,18613480
65536,false,240000,snappy,64,128,1024,-1,5,8,4,2,16777216,-27410,19572515
16384,false,120000,snappy,16,128,16,-1,-1,8,32,32,16777216,-50166,20530401
4,false,0,snappy,32,32,64,-1,6,5,16,2,8388608,-42841,21489880
1,true,0,snappy,4,256,8,1,7,10,128,1,33554432,-3439,22534558
16,false,80000,zstd,1,256,32,16,2,7,128,1,16777216,-65093,23503382
32,false,40000,snappy,64,2,32,2,8,8,8,1,67108864,-108287,24462761
2048,false,80000,lz4,16,4,256,16,11,6,16,1,16777216,-66288,25419601
1,false,40000,snappy,1,1024,8,1,4,11,16,4,67108864,-169265,26378666
1,false,400000,snappy,1,1024,64,4,5,5,16,16,67108864,-135715,27338001
4,false,160000,zstd,1,1024,36,64,5,8,16,8,67108864,-124634,28310830
1,false,0,snappy,1,1024,2,16,6,12,16,32,67108864,-135010,29270225
1,false,0,zstd,4,512,32,-1,1,2,128,4,268435456,-117888,30237613
1,false,360000,lz4,1,512,1024,2,4,12,64,8,67108864,-138411,31197635
1,false,400000,snappy,2,64,2,128,5,13,32,2,67108864,-163948,32159032
65536,true,200000,zstd,1,256,128,256,2,7,16,8,8388608,-38448,33116913
4096,false,80000,snappy,1,64,8,-1,9,12,16,1,67108864,-195786,34075282
524288,false,280000,lz4,1,64,4,-1,9,10,1,2,134217728,-33218,35037328
