block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-144202,0.1,SUCCESS,1
16384,True,160000,snappy,32,512,128,256,2,5,128,32,2048,-54434,0.1,SUCCESS,1
128,True,120000,zstd,16,1024,8,64,5,1,8,16,1,-2762,0.1,SUCCESS,1
65536,True,160000,zstd,1,0,512,32,2,5,32,16,4096,-1804,0.1,SUCCESS,1
128,False,40000,snappy,2,0,2,32,3,3,32,1,1048576,-2794,0.1,SUCCESS,1
262144,False,120000,zstd,256,8,64,16,5,10,64,32,134217728,-112657,0.1,SUCCESS,1
524288,False,360000,lz4,16,1,64,8,7,0,128,16,32,-19333,0.1,SUCCESS,1
4,True,40000,zstd,256,20,16,-1,6,8,32,4,4,-2011,0.1,SUCCESS,1
16,True,40000,lz4,16,0,64,32,9,0,4,4,32768,-1983,0.1,SUCCESS,1
8192,True,40000,snappy,64,256,1024,256,6,3,64,16,268435456,-104277,0.1,SUCCESS,1
512,True,360000,snappy,8,8,64,16,10,10,2,4,536870912,-22787,0.1,SUCCESS,1
32,False,320000,snappy,64,4,256,256,5,6,16,1,262144,-15278,0.1,SUCCESS,1
16,False,320000,zstd,1,128,2,4,11,2,2,4,2097152,-46687,0.1,SUCCESS,1
512,False,360000,snappy,64,0,64,256,0,9,64,1,65536,-20341,0.1,SUCCESS,1
131072,True,0,snappy,128,0,16,16,5,1,8,2,128,-14500,0.1,SUCCESS,1
32768,False,320000,snappy,4,16,1024,256,10,9,2,32,134217728,-131296,0.1,SUCCESS,1
8,True,0,lz4,128,2,8,4,11,1,2,32,524288,-5081,0.1,SUCCESS,1
512,False,40000,lz4,16,2,1,16,8,9,4,16,4,-4847,0.1,SUCCESS,1
8192,False,120000,zstd,8,4,128,2,6,4,32,16,65536,-10970,0.1,SUCCESS,1
256,False,280000,zstd,32,0,8,-1,1,6,4,32,67108864,-103549,0.1,SUCCESS,1
64,True,320000,snappy,256,128,64,256,0,3,16,32,536870912,-11114,0.1,SUCCESS,1
4096,True,120000,zstd,64,2,4,32,4,7,64,32,536870912,-83142,0.1,SUCCESS,1
256,True,240000,snappy,64,32,4,32,9,9,1,4,1048576,-7350,0.1,SUCCESS,1
256,False,40000,lz4,128,256,256,64,6,5,16,4,512,-31435,0.1,SUCCESS,1
1,False,400000,snappy,16,1,16,256,3,7,16,16,16384,-14959,0.1,SUCCESS,1
4096,False,280000,lz4,64,20,256,4,9,8,32,8,2097152,-96058,0.1,SUCCESS,1
1,False,360000,zstd,16,256,1,32,4,3,4,32,32768,-20869,0.1,SUCCESS,1
131072,True,400000,lz4,16,20,4,1,9,9,4,8,512,-8418,0.1,SUCCESS,1
2048,False,400000,lz4,1,4,1024,4,7,0,32,1,268435456,-155099,0.1,SUCCESS,1
256,False,0,lz4,1,512,16,8,0,8,2,32,67108864,-145790,0.1,SUCCESS,1
8192,False,200000,zstd,8,20,2,-1,10,7,1,8,524288,-7902,0.1,SUCCESS,1
1024,False,0,zstd,128,1,16,2,3,0,64,8,16384,-24927,0.1,SUCCESS,1
1,False,80000,lz4,32,0,32,2,3,9,64,8,128,-14340,0.1,SUCCESS,1
262144,False,160000,zstd,2,4,2,1,2,3,8,16,67108864,-68516,0.1,SUCCESS,1
131072,True,400000,lz4,32,1,512,128,1,4,128,8,512,-23568,0.1,SUCCESS,1
16384,False,320000,snappy,128,1024,36,2,0,0,64,4,2048,-20604,0.1,SUCCESS,1
256,False,120000,lz4,64,0,64,16,11,8,32,16,524288,-77922,0.1,SUCCESS,1
1024,False,40000,snappy,4,20,36,2,2,6,16,1,2097152,-122898,0.1,SUCCESS,1
32,True,200000,lz4,1,512,1,8,1,1,2,1,134217728,-7738,0.1,SUCCESS,1
64,False,80000,lz4,4,512,8,16,6,2,16,16,8,-56789,0.1,SUCCESS,1
4,True,200000,zstd,256,32,512,32,1,6,32,4,64,-2020,0.1,SUCCESS,1
64,True,160000,snappy,2,4,1,32,3,3,1,4,64,-164,0.1,SUCCESS,1
262144,False,0,lz4,256,4,8,32,8,1,1,32,4096,-16006,0.1,SUCCESS,1
16384,True,280000,zstd,128,512,64,-1,5,4,1,2,1073741824,-70012,0.1,SUCCESS,1
256,False,400000,snappy,16,128,512,256,2,1,64,8,16384,-63869,0.1,SUCCESS,1
32768,False,280000,lz4,256,1024,2,2,10,4,16,2,16777216,-95990,0.1,SUCCESS,1
131072,True,320000,zstd,16,20,128,8,5,8,2,8,8,-1711,0.1,SUCCESS,1
131072,True,280000,zstd,64,1,512,1,6,5,8,1,16384,-5817,0.1,SUCCESS,1
16384,True,240000,snappy,4,1,1,8,7,7,4,16,1048576,-27803,0.1,SUCCESS,1
65536,False,80000,lz4,128,32,36,1,2,5,2,2,16384,-14832,0.1,SUCCESS,1
