block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
4,False,40000,snappy,8,32,36,2,4,0,64,8,1024,-44894,0.1,SUCCESS,1
128,True,80000,zstd,256,20,32,64,0,2,2,4,8192,-284,0.1,SUCCESS,1
512,False,320000,lz4,16,16,1,-1,4,7,64,16,1073741824,-129376,0.1,SUCCESS,1
65536,False,200000,snappy,8,256,1024,-1,4,9,4,4,64,-15673,0.1,SUCCESS,1
256,True,200000,lz4,128,8,1,256,3,10,128,4,134217728,-2079,0.1,SUCCESS,1
4096,True,160000,snappy,128,32,32,128,6,6,16,16,1024,-10160,0.1,SUCCESS,1
65536,False,240000,lz4,128,128,36,8,10,2,32,8,512,-7458,0.1,SUCCESS,1
1,True,200000,lz4,64,1,4,8,10,9,128,4,4194304,-1352,0.1,SUCCESS,1
1,True,280000,lz4,8,128,128,64,9,3,2,16,64,-615,0.1,SUCCESS,1
65536,False,280000,zstd,64,20,16,256,5,8,32,16,134217728,-45766,0.1,SUCCESS,1
256,True,240000,zstd,256,512,8,1,11,3,1,32,268435456,-720,0.1,SUCCESS,1
8192,True,200000,snappy,32,20,2,-1,3,7,16,16,2048,-18675,0.1,SUCCESS,1
1,True,120000,zstd,256,20,1024,-1,9,7,4,8,16777216,-382,0.1,SUCCESS,1
8,True,320000,lz4,2,4,64,256,2,2,1,32,8388608,-2350,0.1,SUCCESS,1
65536,True,0,zstd,16,32,36,-1,4,6,4,2,1048576,-7899,0.1,SUCCESS,1
262144,True,80000,snappy,256,256,4,8,9,3,1,2,16,-2991,0.1,SUCCESS,1
16384,False,0,zstd,64,512,512,-1,2,6,64,8,16,-7162,0.1,SUCCESS,1
32,False,200000,snappy,32,128,256,2,2,7,64,32,33554432,-77032,0.1,SUCCESS,1
1024,True,0,lz4,4,32,2,1,2,10,128,2,256,-4281,0.1,SUCCESS,1
32,True,120000,snappy,256,1024,1024,128,1,6,32,16,134217728,-922,0.1,SUCCESS,1
64,True,0,lz4,64,512,128,8,8,7,128,4,64,-687,0.1,SUCCESS,1
64,False,40000,lz4,1,4,1024,4,2,2,16,8,65536,-6342,0.1,SUCCESS,1
4096,True,320000,zstd,4,128,1024,256,1,2,128,1,33554432,-7765,0.1,SUCCESS,1
65536,False,80000,lz4,2,1,16,16,9,4,1,1,131072,-7491,0.1,SUCCESS,1
