block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
64,True,200000,lz4,8,1024,1024,4,11,0,8,8,33554432,-111,0.1,SUCCESS,1
1024,False,0,snappy,16,1024,4,-1,7,2,8,1,16777216,-700,0.1,SUCCESS,1
8,True,320000,snappy,1,20,1024,32,0,5,128,16,8,-44,0.1,SUCCESS,1
262144,False,160000,zstd,8,1024,256,-1,1,5,128,2,134217728,-1061,0.1,SUCCESS,1
16,False,200000,snappy,2,1,4,128,11,7,4,2,16384,-873,0.1,SUCCESS,1
16,False,40000,snappy,64,256,2,-1,3,0,128,4,268435456,-695,0.1,SUCCESS,1
524288,True,160000,lz4,16,8,1024,256,10,10,128,2,67108864,-1135,0.1,SUCCESS,1
8192,False,160000,zstd,64,20,2,128,1,9,2,16,8,-4645,0.1,SUCCESS,1
512,False,160000,lz4,2,4,256,8,7,2,8,16,16777216,-2938,0.1,SUCCESS,1
64,True,40000,lz4,2,1,36,-1,1,9,2,32,33554432,-64,0.1,SUCCESS,1
32,False,80000,lz4,32,128,256,256,6,3,32,32,65536,-632,0.1,SUCCESS,1
8192,True,360000,snappy,16,32,1024,-1,2,3,16,2,8192,-3088,0.1,SUCCESS,1
16,False,0,snappy,128,32,36,4,1,0,32,8,512,-1481,0.1,SUCCESS,1
16384,False,360000,zstd,8,512,1,32,8,8,2,8,33554432,-1083,0.1,SUCCESS,1
32,False,160000,zstd,256,128,512,2,1,7,16,4,512,-1034,0.1,SUCCESS,1
512,False,200000,lz4,64,0,4,16,4,9,8,4,4,-1581,0.1,SUCCESS,1
65536,True,80000,snappy,2,8,36,4,6,0,8,8,1024,-4650,0.1,SUCCESS,1
32768,True,0,lz4,32,8,36,-1,10,8,8,32,268435456,-1195,0.1,SUCCESS,1
1,False,360000,snappy,256,16,16,-1,3,2,128,8,2097152,-128,0.1,SUCCESS,1
1024,True,40000,snappy,16,256,2,64,11,2,128,1,268435456,-513,0.1,SUCCESS,1
524288,False,80000,zstd,1,2,64,128,10,9,8,2,32,-1111,0.1,SUCCESS,1
32768,True,0,lz4,16,16,512,1,5,7,16,8,4096,-6164,0.1,SUCCESS,1
65536,True,240000,lz4,16,128,1024,8,5,5,2,8,64,-3867,0.1,SUCCESS,1
