block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
2048,False,200000,zstd,32,8,512,8,3,10,2,8,65536,-3817,0.1,SUCCESS,1
262144,True,120000,snappy,16,0,36,1,8,6,1,16,8192,-5716,0.1,SUCCESS,1
256,True,240000,snappy,256,256,4,-1,11,5,32,2,536870912,-3302,0.1,SUCCESS,1
16384,True,360000,snappy,64,64,36,128,3,6,64,2,1048576,-20596,0.1,SUCCESS,1
256,True,320000,snappy,4,16,64,128,7,9,128,4,32768,-1818,0.1,SUCCESS,1
1024,True,400000,snappy,1,0,1,-1,10,8,1,16,268435456,-7309,0.1,SUCCESS,1
32,True,240000,snappy,8,2,16,64,1,7,2,32,16777216,-1383,0.1,SUCCESS,1
32,True,200000,snappy,128,8,1,8,2,0,16,16,524288,-2005,0.1,SUCCESS,1
8192,True,280000,snappy,16,64,512,8,2,10,2,32,512,-25113,0.1,SUCCESS,1
65536,True,160000,snappy,2,32,36,-1,10,1,16,32,268435456,-140235,0.1,SUCCESS,1
2048,True,40000,snappy,128,32,8,16,9,9,16,32,536870912,-15168,0.1,SUCCESS,1
64,True,360000,snappy,256,20,256,4,11,10,16,8,256,-1088,0.1,SUCCESS,1
131072,True,200000,snappy,8,32,1024,16,3,10,8,1,32,-12510,0.1,SUCCESS,1
512,True,40000,snappy,2,4,2,16,10,3,128,4,2048,-1338,0.1,SUCCESS,1
524288,True,240000,snappy,32,64,512,256,7,5,1,8,4096,-6373,0.1,SUCCESS,1
256,True,160000,snappy,256,16,32,32,1,7,32,16,33554432,-2912,0.1,SUCCESS,1
256,True,40000,snappy,2,20,128,2,6,10,32,16,32768,-1761,0.1,SUCCESS,1
8,True,40000,snappy,64,512,64,128,4,7,2,8,1,-896,0.1,SUCCESS,1
32768,True,240000,snappy,1,16,4,32,8,4,8,8,8192,-39015,0.1,SUCCESS,1
32768,True,360000,snappy,32,512,8,64,3,4,8,8,268435456,-21051,0.1,SUCCESS,1
524288,True,240000,snappy,256,8,128,16,3,7,1,4,536870912,-13981,0.1,SUCCESS,1
524288,True,80000,snappy,64,1,128,8,0,4,1,1,1,-10220,0.1,SUCCESS,1
65536,True,160000,lz4,8,2,36,16,11,0,32,16,67108864,-20219,0.1,SUCCESS,1
16384,True,280000,lz4,32,128,16,1,0,0,2,8,4096,-11148,0.1,SUCCESS,1
8192,True,200000,lz4,256,1024,16,16,9,5,4,4,2048,-5953,0.1,SUCCESS,1
128,True,160000,lz4,2,256,2,32,1,1,2,16,524288,-2113,0.1,SUCCESS,1
4,True,120000,lz4,16,128,36,64,8,0,16,32,4194304,-2358,0.1,SUCCESS,1
64,True,40000,lz4,256,1024,512,4,0,0,64,16,4,-1223,0.1,SUCCESS,1
1024,True,80000,lz4,4,8,32,1,4,4,16,32,16777216,-9099,0.1,SUCCESS,1
65536,True,160000,lz4,4,16,1024,256,4,8,128,4,32,-30839,0.1,SUCCESS,1
524288,True,0,lz4,2,16,2,128,4,2,32,8,1,-9575,0.1,SUCCESS,1
1,True,80000,lz4,4,1,1,256,5,2,2,16,32,-327,0.1,SUCCESS,1
131072,True,280000,lz4,4,4,128,4,5,3,32,8,8388608,-45424,0.1,SUCCESS,1
4,True,160000,lz4,1,8,1024,32,10,1,64,1,128,-879,0.1,SUCCESS,1
128,True,200000,lz4,32,1024,8,4,10,1,128,2,128,-1116,0.1,SUCCESS,1
4,True,400000,lz4,1,64,16,1,11,9,4,32,262144,-1025,0.1,SUCCESS,1
4,True,200000,lz4,16,1,16,8,0,6,16,4,134217728,-2115,0.1,SUCCESS,1
512,True,80000,lz4,64,1024,128,4,11,6,1,8,1024,-3056,0.1,SUCCESS,1
1024,True,240000,lz4,32,2,4,1,4,6,128,4,2097152,-6629,0.1,SUCCESS,1
128,True,240000,lz4,1,1,36,32,1,8,2,4,64,-538,0.1,SUCCESS,1
65536,True,400000,lz4,2,32,4,32,0,8,32,1,8,-28559,0.1,SUCCESS,1
262144,True,400000,lz4,64,1024,1024,-1,7,8,8,1,16,-5482,0.1,SUCCESS,1
131072,True,80000,lz4,1,256,2,32,6,7,128,1,8,-19889,0.1,SUCCESS,1
32768,True,360000,zstd,128,128,16,64,9,1,8,16,2048,-3639,0.1,SUCCESS,1
64,True,80000,zstd,16,1,32,16,8,2,8,32,8192,-483,0.1,SUCCESS,1
128,True,360000,zstd,8,20,2,2,11,8,32,8,131072,-491,0.1,SUCCESS,1
16,True,0,zstd,256,1024,8,1,2,0,32,1,1048576,-995,0.1,SUCCESS,1
16,True,120000,zstd,128,0,32,16,6,6,2,16,16,-430,0.1,SUCCESS,1
8,True,0,zstd,256,20,64,128,7,3,64,32,524288,-1244,0.1,SUCCESS,1
128,True,280000,zstd,4,2,1024,64,5,10,1,32,1073741824,-745,0.1,SUCCESS,1
1,True,80000,zstd,32,16,512,64,2,2,4,4,1073741824,-746,0.1,SUCCESS,1
32,True,40000,zstd,128,20,8,4,10,5,32,2,4,-496,0.1,SUCCESS,1
4,True,200000,zstd,1,128,256,64,9,5,64,8,32768,-459,0.1,SUCCESS,1
2048,True,400000,zstd,16,256,16,4,6,7,32,1,4194304,-6892,0.1,SUCCESS,1
8,True,400000,zstd,2,16,4,1,1,0,16,8,16384,-424,0.1,SUCCESS,1
32,True,200000,zstd,8,64,2,1,7,5,8,8,512,-488,0.1,SUCCESS,1
2048,True,40000,zstd,8,1,128,8,9,8,4,32,262144,-3740,0.1,SUCCESS,1
64,True,0,zstd,256,1024,128,256,9,7,4,32,256,-916,0.1,SUCCESS,1
128,True,80000,zstd,2,64,8,2,0,0,8,4,262144,-480,0.1,SUCCESS,1
32768,True,320000,zstd,32,1024,8,16,6,2,2,8,8388608,-7279,0.1,SUCCESS,1
64,True,120000,zstd,64,1024,512,-1,9,6,16,2,2097152,-675,0.1,SUCCESS,1
8192,True,80000,zstd,64,64,1024,16,10,1,2,4,134217728,-14274,0.1,SUCCESS,1
16,True,160000,zstd,8,16,128,-1,5,7,2,2,262144,-489,0.1,SUCCESS,1
16384,True,280000,zstd,16,20,32,16,5,6,32,2,1024,-5194,0.1,SUCCESS,1
2048,False,360000,snappy,256,32,256,64,8,4,4,2,64,-10710,0.1,SUCCESS,1
4096,False,360000,lz4,2,1,2,8,1,2,8,4,16384,-2730,0.1,SUCCESS,1
16,False,280000,zstd,64,8,32,4,0,5,4,8,131072,-8823,0.1,SUCCESS,1
512,False,160000,snappy,64,256,1,64,11,3,1,1,536870912,-128183,0.1,SUCCESS,1
