block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,cpu_time,wallclock_time,evaluations
4096,False,0,snappy,4,20,36,-1,-1,10,2,1,67108864,-109168,0.1,0.1,0
4096,False,40000,lz4,2,20,512,2,11,9,32,16,67108864,-116609,0.1,0.1,0
